l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at
01-awards-award-beauty-trend-analysis,01-awards,01,award-beauty-trend-analysis,시상식 뷰티 트렌드 분석,시상식 뷰티 트렌드 분석,info,tip,시상식 뷰티 트렌드를 분석합니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-online-watching-guide,01-awards,01,award-online-watching-guide,시상식 온라인 시청 방법,시상식 온라인 시청 가이드,howto,tip,시상식 온라인 시청 방법을 알려드립니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-show-acceptance-speeches,01-awards,01,award-show-acceptance-speeches,시상식 수상 소감 모음,시상식 수상 소감 베스트,info,tip,시상식 수상자들의 감동적인 소감 모음,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-show-highlights,01-awards,01,award-show-highlights,시상식 하이라이트 영상,시상식 하이라이트 영상 모음,info,tip,시상식의 감동적인 순간들,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-show-host-role,01-awards,01,award-show-host-role,시상식 진행자 역할,시상식 MC 역할과 책임,info,tip,시상식 진행자의 역할과 책임에 대해 알아보기,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-show-performance-footage,01-awards,01,award-show-performance-footage,시상식 공연 실황,시상식 공연 실황 영상,info,tip,시상식 공연 실황 영상 모음,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-award-show-theme-meaning,01-awards,01,award-show-theme-meaning,시상식 테마 이해,시상식 테마와 의미,info,tip,시상식 테마의 숨겨진 의미,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-celebrity-award-controversy,01-awards,01,celebrity-award-controversy,연예계 시상식 논란 사례,시상식 논란 사례 모음,info,tip,연예계 시상식 논란 사례를 정리합니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-celebrity-award-makeup-tutorial,01-awards,01,celebrity-award-makeup-tutorial,연예인 시상식 메이크업,시상식 메이크업 튜토리얼,howto,tip,연예인 시상식 메이크업 방법을 알려드립니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
01-awards-celebrity-fashion-award-trend,01-awards,01,celebrity-fashion-award-trend,연예인 패션 시상식 트렌드,시상식 패션 트렌드 분석,info,tip,연예인들의 시상식 패션 트렌드를 분석합니다.,slot_2step,2026-06-08T12:00:42.668305+00:00
