l3_id,l2_id,l1_code,l3_slug,focus_keyword,seo_title,search_intent,topic_angle,sort_order
01-tv이슈-tv-예능-프로듀서의-비밀-01,01-tv이슈,01,tv-예능-프로듀서의-비밀,TV 예능 프로듀서의 비밀,TV 예능 제작비가 궁금한 사람!,info,issue,1
01-tv이슈-tv-프로그램-메이킹-비하인드-02,01-tv이슈,01,tv-프로그램-메이킹-비하인드,TV 프로그램 메이킹 비하인드,TV 예능 메이킹 비하인드에 대한 모든 것!,info,issue,2
01-tv이슈-tv-예능-우정-이펙트-03,01-tv이슈,01,tv-예능-우정-이펙트,TV 예능 우정 이펙트,TV 예능 우정 이펙트는 실제일까?,info,issue,3
01-tv이슈-tv-예능-리얼리티-쇼-04,01-tv이슈,01,tv-예능-리얼리티-쇼,TV 예능 리얼리티 쇼,TV 예능 리얼리티 쇼는 무엇인가?,info,start,4
01-tv이슈-tv-예능-제작비-vs-예산-05,01-tv이슈,01,tv-예능-제작비-vs-예산,TV 예능 제작비 vs 예산,"TV 예능 제작비와 예산, 궁금한 사람!",compare,issue,5
02-tv이슈분석-tv-예능-제작비-절약-방법-01,02-tv이슈분석,02,tv-예능-제작비-절약-방법,TV 예능 제작비 절약 방법,TV 예능 제작비 절약 방법 총정리!,howto,tip,1
02-tv이슈분석-tv-예능-우정-이펙트-분석-02,02-tv이슈분석,02,tv-예능-우정-이펙트-분석,TV 예능 우정 이펙트 분석,TV 예능 우정 이펙트가 뭘까? 분석!,info,issue,2
02-tv이슈분석-tv-프로그램-메이킹-비하인드-스토리-03,02-tv이슈분석,02,tv-프로그램-메이킹-비하인드-스토리,TV 프로그램 메이킹 비하인드 스토리,TV 프로그램 메이킹 비하인드 스토리 총정리!,news,start,3
02-tv이슈분석-tv-예능-프로듀서의-비밀-04,02-tv이슈분석,02,tv-예능-프로듀서의-비밀,TV 예능 프로듀서의 비밀,TV 예능 프로듀서의 비밀은 뭘까?,info,review,4
02-tv이슈분석-tv-리얼리티-쇼-vs-예능-프로그램-05,02-tv이슈분석,02,tv-리얼리티-쇼-vs-예능-프로그램,TV 리얼리티 쇼 VS 예능 프로그램,TV 리얼리티 쇼 VS 예능 프로그램!?,compare,issue,5
02-tv속-이야기속으로-tv-예능-우정-이펙트-분석-팁-01,02-tv속-이야기속으로,02,tv-예능-우정-이펙트-분석-팁,TV 예능 우정 이펙트 분석 팁,TV 예능의 친구 효과 분석하는 방법,howto,tip,1
02-tv속-이야기속으로-tv-리얼리티-쇼-vs-예능-프로그램-특징-02,02-tv속-이야기속으로,02,tv-리얼리티-쇼-vs-예능-프로그램-특징,TV 리얼리티 쇼 VS 예능 프로그램 특징,TV 리얼리티 쇼와 예능 프로그램의 차이점,compare,compare,2
02-tv속-이야기속으로-tv-프로그램-메이킹-비하인드-스토리-정리-03,02-tv속-이야기속으로,02,tv-프로그램-메이킹-비하인드-스토리-정리,TV 프로그램 메이킹 비하인드 스토리 정리,TV 프로그램 메이킹 비하인드 스토리 총정리,info,issue,3
02-tv속-이야기속으로-tv-예능-제작비-절약-방법-04,02-tv속-이야기속으로,02,tv-예능-제작비-절약-방법,TV 예능 제작비 절약 방법,TV 예능 제작비 절약하는 방법,howto,tip,4
02-tv속-이야기속으로-tv-예능-프로듀서의-비밀-요약-05,02-tv속-이야기속으로,02,tv-예능-프로듀서의-비밀-요약,TV 예능 프로듀서의 비밀 요약,TV 예능의 프로듀서들의 비밀,info,start,5
