l2_id,l1_code,name_ko,description
02-insurance-info,02,보험 정보,"실손·보장성 보험의 청구, 약관, 비교, 제도 등 보험 일반 정보. 자동차보험(06)·펫보험(13)은 제외."
02-pension-system,02,연금 제도,"국민·퇴직·기초·주택연금 등 연금 제도와 실무 절차. 연금저축 등 금융상품은 02-연금저축, 노후 설계는 02-재무 설계 담당."
03-back-joint-health,03,허리·관절 건강,허리·무릎·어깨·손목 등 부위별 관절 관리 생활 정보. 자세 습관은 03-바른 자세 교정 담당.
03-eye-health,03,눈 건강,"눈 피로, 건조, 시력 관리, 보호 습관 등 눈 건강 생활 정보."
03-health-checkup,03,건강검진 가이드,"국가·직장 건강검진의 대상, 준비, 결과 해석, 비용 등 검진 실무 정보."
03-immunity-care,03,면역력 관리,면역과 생활 요소(수면·스트레스·운동)의 관계 정보. 감염병 예방 수칙은 03-질병 예방 담당.
03-mens-health,03,남성 건강,"남성 갱년기, 전립선, 탈모 등 남성 특화 건강 생활 정보."
03-oral-health,03,구강 건강,"양치, 치실, 스케일링, 치과 검진 등 구강 관리 생활 정보."
03-posture-care,03,바른 자세 교정,"거북목, 라운드숄더, 앉는 자세 등 자세 습관 교정 정보. 부위 통증 관리는 03-허리·관절 담당."
03-quit-smoking-drinking,03,금연·금주,"금연·절주 도전과 지원 제도, 습관 전환 정보."
03-senior-health,03,시니어 건강,"어르신 낙상 예방, 복약 관리, 검진, 돌봄 등 시니어 건강 생활 정보."
03-womens-health,03,여성 건강,"생리 주기, 갱년기, 여성 검진 등 여성 특화 건강 생활 정보."
04-athleisure,04,애슬레저,"운동복의 일상화 — 레깅스·요가복 코디, 브랜드, 소재 정보. 운동 자체는 03, 일반 코디는 04-스타일링 담당."
04-golf-wear,04,골프웨어,"골프장 복장 — 드레스코드, 계절별 라운딩 복장, 골프화·모자·장갑. 레슨·클럽 등 장비는 05-골프 레슨·장비 담당."
04-guest-look,04,하객룩,결혼식·돌잔치·장례식·상견례 등 경조사 복장과 매너. 임산부 복장은 04-임부복 담당.
04-jewelry-watch,04,주얼리·시계,"귀금속·시계 — 소재, 관리, 선물, 예물. 모자·가방·스카프 등 잡화는 04-액세서리 담당."
04-luxury-resell,04,명품·리셀,"명품 구매·감정·관리와 리셀 시장. 가방 일반은 04-가방, 브랜드 일반은 04-브랜드 리뷰 담당."
04-maternity-wear,04,임부복,"임신 기간 의류 — 시기별 전환, 필수템, 속옷·신발. 육아 생활은 16 담당."
05-badminton,05,배드민턴,"생활체육 배드민턴 — 장비, 규칙, 동호회, 연습법."
05-golf-lesson-gear,05,골프 레슨·장비,"골프 입문 레슨과 클럽·용품. 복장은 04-골프웨어, 대회는 05-골프 대회 담당."
05-running-start,05,러닝 입문,"일상 러닝 입문 — 시작법, 러닝화, 코스, 크루. 대회·풀코스는 05-마라톤 담당."
05-swimming,05,수영,수영장 강습·영법·용품·에티켓. 바다 수상레저는 14 담당.
05-table-tennis,05,탁구,"생활체육 탁구 — 라켓·러버, 규칙, 탁구장, 연습법."
05-tennis,05,테니스,"생활체육 테니스 — 입문, 레슨, 코트 예약, 장비. 그랜드슬램 등 대회 구조 포함(해외 스포츠는 테니스 제외)."
05-winter-sports,05,동계 스포츠,스키·보드·스케이트 등 동계 종목과 장비·강습. 스키장 숙박 여행은 11 담당.
06-camping-car,06,캠핑카·카라반,"캠핑카·카라반 전용 — 렌트, 견인, 개조(합법 기준 포함). 일반차 차박은 06-자동차 여행, 일반 튜닝은 06-차량 튜닝 담당."
06-car-accident-response,06,차량 사고 대처,"사고 발생 후 절차 — 현장 대응, 보험 접수, 과실, 합의. 사고 예방·안전장비는 06-차량 안전 담당."
06-car-tuning,06,차량 튜닝,"합법 튜닝·구조변경 — 휠, 썬팅, 머플러, 랩핑. 캠핑카 개조는 06-캠핑카 담당."
06-drivers-license,06,운전면허,자동차 면허 취득·갱신·벌점. 이륜차 면허는 06-오토바이 담당.
06-motorcycle,06,오토바이,"이륜차 전반 — 면허, 보험, 검사, 장비, 투어링."
07-ai-creative-tools,07,AI 창작 도구,이미지·음악·영상·음성 생성 도구와 저작권 이슈. 텍스트 챗봇 활용은 07-ChatGPT 팁 담당.
07-coding-start,07,코딩 입문,"프로그래밍 학습 입문 — 언어 선택, 독학, 부트캠프. 노코드는 07-업무 자동화·노코드 담당."
07-creator-gear,07,크리에이터 장비,"방송·촬영 장비 — 마이크, 조명, 카메라, 캡처보드. 웹캠은 07-화상회의, 키보드·모니터·이어폰은 각 전용 L2 담당."
07-nocode-automation,07,업무 자동화·노코드,노코드 도구와 업무 자동화 — 시트·폼·봇·RPA. 프로그래밍 학습은 07-코딩 입문 담당.
07-smart-home,07,스마트홈 활용,"가정 자동화 활용 — 루틴, 음성비서, 스마트 기기 세팅, 절전. IoT 기술·표준·생태계는 07-사물인터넷 담당."
08-beauty-device,08,뷰티 디바이스,"홈 뷰티 기기 — LED 마스크, 클렌저, 고주파, 스타일러. 제모기는 08-제모·왁싱, 네일 램프는 08-네일아트 담당."
08-hair-removal,08,제모·왁싱,"홈 제모 중심 — 면도, 왁싱, 제모 크림, 가정용 제모기. 레이저 등 시술은 08-시술 정보 담당."
08-nail-art,08,네일아트,"네일 디자인·셀프 아트 — 젤네일, 스티커, 네일샵. 손톱 건강은 08-네일 케어 담당."
08-perfume,08,향수,"신체 향수 — 노트, 계열, 시향, 보관. 룸스프레이·디퓨저는 15 담당."
08-scalp-care,08,두피 케어,"두피 스킨케어 한정 — 비듬, 유분, 스케일링, 감는 주기. 탈모는 03 담당(절대 침범 금지)."
09-fine-dining,09,파인다이닝,코스 요리·미쉐린·다이닝 문화. 오마카세는 09-오마카세 별도 담당.
09-old-school-restaurants,09,노포 맛집,오래된 가게 문화·노포 투어·백년가게. 지역 L2는 노포 키워드 양보.
09-omakase,09,오마카세,스시·한우 오마카세 입문·예절·가격대. 웨이팅·예약 일반론은 09-웨이팅·예약 담당.
09-pocha-pub,09,포차·술집,"포차, 이자카야, 펍, 막걸리집 등 술집 공간. 혼술 포함(혼밥 L2에서 양보). 술안주 레시피는 10 담당."
09-vegan-restaurants,09,비건 맛집,비건 식당·옵션·인증. 채식 레시피는 10-채식 레시피 담당.
09-wine-bar,09,와인바,와인바 공간·이용·페어링. 보틀숍 비교 가능. 홈 음주는 10-홈칵테일 담당.
10-fermentation,10,발효·장 담그기,"장·식초·청·발효음료·그릭요거트. 김치는 10-김치·절임, 빵 발효는 10-베이킹 담당."
10-food-storage,10,식재료 보관,냉장·냉동·실온 보관과 소분. 원두 보관은 09-수제 커피 담당.
10-home-cafe-drinks,10,홈카페 음료,집에서 만드는 음료 레시피(라떼·에이드·차·모카포트). 카페·원두 문화는 09-수제 커피 담당.
10-home-cocktail,10,홈칵테일·전통주,"홈칵테일·하이볼·전통주·위스키 홈 음주. 술집 공간은 09-포차·술집, 안주는 10-술안주 담당."
10-kimchi-pickles,10,김치·절임,김장·겉절이·피클·장아찌. 장·식초·청·발효음료는 10-발효·장 담그기 담당.
10-meal-prep,10,밀프렙,"주간 식단 준비·용기·데우기. 보관 기술은 10-식재료 보관, 도시락은 10-도시락 담당."
11-bali-travel,11,발리 여행,발리 지역·음식·교통·일정. 비자·환전·경비·회화는 해당 일반 L2 담당.
11-china-travel,11,중국 여행,중국 도시·결제앱·고속철·일정. 비자·환전·경비·회화는 해당 일반 L2 담당.
11-dubai-travel,11,두바이 여행,두바이 명소·사막·복장·일정. 환승 스탑오버는 11-환승 공항 담당.
11-east-europe-travel,11,동유럽 여행,프라하·부다페스트·크로아티아 등 동유럽 루트·물가·치안.
11-mongolia-travel,11,몽골 여행,고비·게르·승마·푸르공 투어. 투어 중심 여행지 특성 반영.
11-monthly-stay,11,한달살기,한달살기 준비·생활·적응·복귀. 일과 병행은 11-워케이션 담당.
11-north-europe-travel,11,북유럽 여행,오로라·피오르·사우나·디자인. 고물가 대비 포함.
11-swiss-travel,11,스위스 여행,융프라우·하이킹·스위스패스·산악열차.
10-restaurant-review,10,레스토랑 리뷰,리뷰 작성·별점·광고 구별 등 리뷰 문화·방법론. 지역·테마 맛집 추천은 09 담당.
11-turkiye-travel,11,튀르키예 여행,"이스탄불·카파도키아·파묵칼레 등 지역·음식·일정. 비자·환전·회화는 일반 L2, 온천은 11-온천 여행 담당."
11-workation,11,워케이션,일과 휴가 병행 — 업무 환경·루틴·시차 회의. 생활 정착형 체류는 11-한달살기 담당.
12-current-affairs,12,시사 이슈 해설,"뉴스 리터러시·팩트체크·이슈 정리 방법론. 정치적 중립 유지, 해외 뉴스 소스는 12-국제 정세 담당."
12-environment-climate,12,환경·기후,기후·환경 개념과 이슈 이해. 분리수거 등 생활 실천 노하우는 15 리빙 담당.
12-exhibition-performance,12,전시·공연,전시·공연 관람 문화와 티켓팅. 미술 작품 감상법은 12-미술 감상 담당.
12-global-affairs,12,국제 정세,"국제기구·지정학 개념·해외 뉴스 소스. 중립 유지, 특정 분쟁 비특정."
12-language-learning,12,외국어 학습법,일반 외국어 학습법(암기·쉐도잉·어학시험). 여행 회화는 11-여행 회화 담당.
12-space-astronomy,12,우주·천문,별 관측·망원경·우주 뉴스 중심. 별자리 신화는 12-인문 지식 담당.
12-study-methods,12,공부법·자격증,자격증·노트·암기 등 일반 공부법. 어학 시험은 12-외국어 학습법 담당.
12-writing-skills,12,글쓰기,"문장력·퇴고·에세이·블로그 등 일반 글쓰기. 논술·논증은 12-논술 가이드, 필사는 12-문학 리뷰 담당."
13-aquarium-fish,13,관상어·어항,어항 입문·물잡이·어종·수초 등 물생활 전반.
13-hamster-small-pets,13,햄스터·소동물,"햄스터·기니피그·고슴도치. 토끼는 13-토끼, 파충류는 13-파충류 담당."
13-parrot-birds,13,앵무새·조류,앵무 중심 반려조류 — 새장·먹이·교감·소음. 야생 조류 관찰 제외.
13-pet-loss,13,펫로스,"반려동물과의 이별·장례·추모·마음 회복. 위로 톤 유지, 깊은 우울감은 전문 상담 권유."
13-pet-tech,13,펫테크,펫캠·자동급식기·웨어러블 등 스마트 기기. 자동 장난감은 13-고양이 놀이터 담당.
13-rabbit-care,13,토끼,토끼 사육 전반 — 건초·케이지·행동·중성화.
13-reptiles,13,파충류,게코·거북 등 사육장 환경 중심. 합법 사육 종 확인 강조.
13-rescue-adoption,13,유기동물 입양,유기·보호소·임시보호 특화. 일반 입양 절차는 13-반려견/반려묘 입양 담당.
14-climbing,14,클라이밍,실내 암장·볼더링 중심 — 장비·자세·예절.
14-cycling,14,자전거,자전거 입문·정비·라이딩 전반.
14-kayak-sup,14,카약·SUP,수상 패들 스포츠 — 장비·안전·코스. 서핑은 기존 L2 담당.
14-picnic,14,피크닉·차크닉,돗자리·바구니·핑거푸드·명소 등 피크닉/차크닉 전반.
14-ski-snowboard,14,스키·스노보드,겨울 스포츠 입문·장비·강습·안전·스키장.
14-surfing-watersports,14,서핑·수상레저,서핑·제트스키 등 수상레저. 카약/SUP는 14-카약·SUP 담당.
15-appliance-usage,15,가전 활용,가전 활용·관리·전기료 절약. 제품 구매 리뷰는 15-생활용품 담당.
15-cleaning-tips,15,청소 꿀팁,공간별 청소·천연세제·청소 루틴.
