phase,l1_code,l2_id,l2_name_ko,priority,l2_type,l3_tier,l3_cap,l3_slot_axes,l3_generation,l4_engine,l4_primary_axes,l4_secondary_axes,l4_cap_per_l3,l4_total_est,publish_l3_cap,publish_url_m1,warehouse_kw_est,notes
1,11,11-travel-essentials,여행준비물,S,hub,hub,12,"대상(아기/노인/장애인)|상황(기내/캠핑/배낭)|목적(의약품/보험/서류)|방법(짐싸기/분실방지)|비교(캐리어/백팩)",slot_2step,llm,"대상|상황|목적","제품군(충전기/어댑터)",15,180,8,15,180,기간(단기/장기/여름/겨울) 슬롯 1개만. 추천 suffix L3≤2
1,11,11-accommodation-recommendations,숙소추천,S,geo,seed,15,"지역(시/구)|숙소유형(호텔/펜션/게하)|상황(가족/커플/혼자)|예산대",slot_2step,hybrid,"지역|숙소유형","뷰/온천/풀빌라",80,1200,10,15,1200,지역 테이블 fan-out 메인
1,11,11-domestic-travel,국내여행,S,geo,seed,12,"지역(도/시)|여행유형(당일/1박2일/드라이브)|동반(가족/아이/반려견)",slot_2step,program,"지역|여행유형","계절(봄/가을)",60,720,10,15,720,국내여행지 L2 merge 후 시드 정리
1,11,11-overseas-travel,해외여행,S,geo_intl,seed,15,"국가|준비(비자/환전/eSIM)|여행유형(신혼/가족/배낭)",slot_2step,hybrid,"국가|준비주제","도시(도쿄/오사카)",50,750,10,15,750,국가×준비howto 조합
1,11,11-travel-tips,여행꿀팁,S,howto,seed,15,"문제(환전/짐/분실/지연)|장소(공항/면세/환승)|앱/도구",slot_2step,llm,"문제유형|장소","대상(초보/가족)",12,180,8,10,180,뉴스성 키워드 hold
1,09,09-seoul-food,서울 맛집,S,geo_local,seed,15,"구/동(강남/홍대/성수)|메뉴(한식/일식/고기)|상황(데이트/회식/혼밥)",slot_2step,program,"구동|메뉴","시간대(점심/야식)",120,1800,12,15,1800,Phase1 geo 핵심. 역×메뉴 테이블
1,09,09-busan-food,부산 맛집,S,geo,seed,12,"구/명소(해운대/광안리/서면)|메뉴|상황",slot_2step,program,"명소|메뉴","회/돼지국밥",80,960,10,12,960,지역 프로그램 우선
1,09,09-cafe-recommend,카페 추천,S,cafe,seed,12,"지역|카페유형(디저트/루프탑/뷰/공부)|상황(데이트/작업)",slot_2step,program,"지역|카페유형","반려견",60,720,8,12,720,
1,09,09-solo-food,혼밥 맛집,S,situation,seed,10,"지역(서울/부산)|메뉴(한식/일식)|좌석(바/카운터)",slot_2step,program,"지역|메뉴","가성비",40,400,6,10,400,상황 L2 — 지역 곱 작게
1,09,09-date-course,데이트 코스,A,composite,seed,10,"지역|코스유형(맛집+카페/야경)|예산",slot_2step,hybrid,"지역|코스유형","기념일",25,250,5,8,250,복합 intent — L4는 코스 단위
1,10,10-korean-recipe,한식 레시피,S,cuisine,seed,18,"요리명(김치찌개/불고기)|난이도|인분|조리도구",slot_2step,hybrid,"요리명|변형(매콤/저염)","재료 대체",30,540,12,15,540,요리명 시드 LLM + 재료 조합 코드
1,10,10-cooking-tips,요리 팁,S,howto,seed,12,"기법(손질/양념/보관)|재료|실수방지",slot_2step,llm,"기법|재료","초보",15,180,8,12,180,
1,10,10-baking-guide,베이킹 가이드,S,howto,seed,12,"베이킹종류(쿠키/빵/케이크)|난이도|오븐/에어프라이어",slot_2step,llm,"종류|도구","실패원인",18,216,8,10,216,
1,10,10-dessert-making,디저트 만들기,A,cuisine,seed,12,"디저트(마들렌/푸딩/젤리)|재료|노오븐",slot_2step,llm,"디저트|방법","계절",15,180,6,10,180,
1,10,10-healthy-convenience-food,건강 간편식,A,meal,seed,10,"식단(다이어트/고단백)|상황(도시락/야식)|조리시간",slot_2step,llm,"식단|상황","재료",12,120,5,8,120,
1,08,08-skin-type-care,피부 타입별 케어,S,concern,seed,12,"피부타입(지성/건성/복합/민감)|고민(모공/여드름)|루틴단계",slot_2step,hybrid,"피부타입|고민","계절",20,240,8,12,240,타입×고민 매트릭스
1,08,08-skincare-routine,스킨케어 루틴,S,hub,hub,10,"연령|시간대(아침/저녁)|피부고민|제품단계",slot_2step,llm,"연령|시간대","브랜드 무",12,120,6,12,120,허브 — 제품추천 L3≤3
1,08,08-hair-care-tips,헤어 케어 팁,S,howto,seed,12,"고민(탈모/손상/두피)|모발타입|케어방법",slot_2step,llm,"고민|모발타입","계절",15,180,8,10,180,
1,08,08-makeup-tutorial,메이크업 튜토리얼,S,howto,seed,12,"부위(립/아이/베이스)|상황(데일리/면접)|피부톤",slot_2step,llm,"부위|상황","난이도",15,180,8,10,180,
1,08,08-cosmetic-ingredient-analysis,화장품 성분 분석,A,info,seed,10,"성분(레티놀/나이아신/히알루론)|피부고민|제품유형",slot_2step,llm,"성분|고민","복합성분",10,100,5,8,100,YMYL 톤 주의
1,13,13-dog-health,강아지 건강,S,concern,seed,12,"증상(구토/설사/기침)|견종|생애주기(퍼피/노견)",slot_2step,hybrid,"증상|생애주기","응급여부",18,216,8,12,216,수의 일반정보 면책
1,13,13-cat-food,고양이 사료,S,compare,seed,12,"사료유형(건식/습식)|연령|브랜드비교",slot_2step,program,"연령|유형","알레르기",25,300,8,12,300,브랜드 비교 프로그램
1,13,13-dog-training,강아지 훈련,S,howto,seed,12,"행동(짖음/배변/분리불안)|견종|연령",slot_2step,llm,"행동|연령","환경(아파트)",15,180,8,10,180,
1,13,13-pet-care-tips,펫 케어 팁,S,howto,seed,10,"일상(목욕/브러싱/산책)|계절|다묘/다견",slot_2step,llm,"일상|계절","반려유형",12,120,6,10,120,
1,13,13-pet-hospital,반려동물 병원,A,geo_local,seed,10,"지역(구)|동물종(犬/猫)|응급/야간",slot_2step,program,"지역|동물종","진료과",30,300,5,8,300,지역 병원 롱테일
