wave,l1_code,l1_slug,name_ko,action,l2_type,name_ko_hint,expansion_axis,priority,target_l3,status,notes
1,09,cafe,맛집/카페,add,geo,제주 맛집,광역시·도 확장,S,40,done,
1,09,cafe,맛집/카페,add,geo,울산 맛집,광역시·도 확장,S,40,done,
1,09,cafe,맛집/카페,add,geo,세종 맛집,광역시·도 확장,A,35,done,
1,09,cafe,맛집/카페,add,geo,충북 맛집,광역시·도 확장,A,35,done,
1,09,cafe,맛집/카페,add,geo,충남 맛집,광역시·도 확장,A,35,done,
1,09,cafe,맛집/카페,add,geo,전북 맛집,광역시·도 확장,A,35,done,
1,09,cafe,맛집/카페,add,geo,전남 맛집,광역시·도 확장,A,35,done,
1,09,cafe,맛집/카페,add,geo,경북 맛집,광역시·도 확장,A,35,done,
1,09,cafe,맛집/카페,add,geo,경남 맛집,광역시·도 확장,A,35,done,
1,09,cafe,맛집/카페,add,geo_local,강남 맛집,서울 구별,S,50,done,
1,09,cafe,맛집/카페,add,geo_local,홍대 맛집,서울 구별,S,50,done,
1,09,cafe,맛집/카페,add,geo_local,성수 맛집,서울 구별,S,45,done,
1,09,cafe,맛집/카페,add,geo_local,잠실 맛집,서울 구별,A,45,done,
1,09,cafe,맛집/카페,add,geo_local,이태원 맛집,서울 구별,A,45,done,
1,11,travel,여행,merge,hub,국내여행,중복 통합,S,30,deferred,11-domestic-travel + 11-domestic-travel-destinations
1,11,travel,여행,merge,hub,해외여행,중복 통합,S,30,deferred,11-overseas-travel + 11-overseas-travel-destinations
1,11,travel,여행,add,geo,제주 여행,국내 지역,S,45,done,
1,11,travel,여행,add,geo,부산 여행,국내 지역,S,45,done,
1,11,travel,여행,add,geo,강원 여행,국내 지역,S,40,done,
1,11,travel,여행,add,geo,경주 여행,국내 지역,A,40,done,
1,11,travel,여행,add,geo,전주 여행,국내 지역,A,40,done,
1,11,travel,여행,add,geo,여수 여행,국내 지역,A,40,done,
1,11,travel,여행,add,geo_intl,일본 여행,해외 국가,S,50,done,
1,11,travel,여행,add,geo_intl,태국 여행,해외 국가,S,45,done,
1,11,travel,여행,add,geo_intl,베트남 여행,해외 국가,S,45,done,
1,11,travel,여행,add,geo_intl,대만 여행,해외 국가,A,40,done,
1,11,travel,여행,add,geo_intl,유럽 여행,해외 국가,A,45,done,
1,11,travel,여행,add,geo_intl,미국 여행,해외 국가,A,45,done,
1,10,food,푸드,add,cuisine,일식 레시피,국가별 요리,S,35,done,
1,10,food,푸드,add,cuisine,중식 레시피,국가별 요리,S,35,done,
1,10,food,푸드,add,cuisine,이탈리안 레시피,국가별 요리,A,30,done,
1,10,food,푸드,add,method,에어프라이어 레시피,조리법,S,30,done,
1,10,food,푸드,add,method,도시락 레시피,조리법,S,30,done,
1,10,food,푸드,add,meal,아침 레시피,식사 유형,A,25,done,
1,10,food,푸드,add,meal,술안주 레시피,식사 유형,A,25,done,
1,10,food,푸드,add,ingredient,닭고기 레시피,재료별,S,35,done,
1,10,food,푸드,add,ingredient,두부 레시피,재료별,A,25,done,
1,10,food,푸드,add,ingredient,면 요리 레시피,재료별,A,30,done,
1,08,beauty,뷰티,add,concern,여드름 케어,피부 고민별,S,25,done,
1,08,beauty,뷰티,add,concern,모공 케어,피부 고민별,S,25,done,
1,08,beauty,뷰티,add,concern,주름 케어,피부 고민별,A,25,done,
1,08,beauty,뷰티,add,audience,남성 뷰티,연령·성별,A,20,done,
1,08,beauty,뷰티,add,body_part,네일 케어,부위별,A,20,done,
1,13,pet,펫,add,breed,푸들 케어,견종별,S,25,done,
1,13,pet,펫,add,breed,말티즈 케어,견종별,S,25,done,
1,13,pet,펫,add,cat,고양이 화장실,고양이 세분,S,25,done,
1,13,pet,펫,add,life_stage,노견 케어,상황별,A,20,done,
1,13,pet,펫,add,situation,반려견 입양,상황별,S,25,done,
1,13,pet,펫,add,situation,다묘 가정,상황별,A,20,done,
2,09,cafe,맛집/카페,add,menu,한식 맛집,메뉴·음식군,S,40,done,
2,09,cafe,맛집/카페,add,menu,일식 맛집,메뉴·음식군,S,40,done,
2,09,cafe,맛집/카페,add,menu,중식 맛집,메뉴·음식군,S,40,done,
2,09,cafe,맛집/카페,add,menu,양식 맛집,메뉴·음식군,A,35,done,
2,09,cafe,맛집/카페,add,menu,고기 맛집,메뉴·음식군,S,40,done,
2,09,cafe,맛집/카페,add,menu,해산물 맛집,메뉴·음식군,A,35,done,
2,09,cafe,맛집/카페,add,menu,분식 맛집,메뉴·음식군,A,30,done,
2,09,cafe,맛집/카페,add,situation,회식 맛집,상황·의도,S,35,done,
2,09,cafe,맛집/카페,add,situation,가족 모임 맛집,상황·의도,A,30,done,
2,09,cafe,맛집/카페,add,situation,기념일 맛집,상황·의도,A,30,pending,
2,09,cafe,맛집/카페,add,situation,야식 맛집,상황·의도,A,30,done,
2,09,cafe,맛집/카페,add,situation,배달 맛집,상황·의도,A,25,done,
2,09,cafe,맛집/카페,add,cafe,디저트 카페,카페 세분,S,35,done,
2,11,travel,여행,add,howto,여행 비자,실무 howto,S,30,done,
2,11,travel,여행,add,howto,환전 가이드,실무 howto,S,30,done,
2,11,travel,여행,add,howto,eSIM 가이드,실무 howto,S,30,done,
2,11,travel,여행,add,howto,렌터카 여행,실무 howto,A,30,done,
2,11,travel,여행,add,howto,공항 이용법,실무 howto,A,25,done,
2,11,travel,여행,add,howto,면세점 쇼핑,실무 howto,A,25,done,
2,10,food,푸드,add,cuisine,멕시칸 레시피,국가별 요리,A,30,done,
2,10,food,푸드,add,cuisine,프렌치 레시피,국가별 요리,A,25,done,
2,10,food,푸드,add,method,전자레인지 요리,조리법,A,25,done,
2,10,food,푸드,add,method,냄비 요리,조리법,A,25,done,
2,10,food,푸드,add,meal,유아 식단,식사 유형,A,25,done,
2,10,food,푸드,add,meal,다이어트 레시피,식사 유형,S,30,done,
2,10,food,푸드,add,ingredient,돼지고기 레시피,재료별,A,30,done,
2,10,food,푸드,add,ingredient,밥 요리 레시피,재료별,A,25,done,
2,10,food,푸드,add,ingredient,간식 레시피,재료별,A,25,done,
2,10,food,푸드,add,ingredient,샐러드 레시피,재료별,A,25,done,
2,14,outdoor,아웃도어,add,geo,강원 캠핑,지역,S,40,done,
2,14,outdoor,아웃도어,add,geo,제주 캠핑,지역,S,40,done,
2,14,outdoor,아웃도어,add,season,겨울 캠핑,시즌,S,30,done,
2,14,outdoor,아웃도어,add,season,여름 캠핑,시즌,S,30,done,
2,14,outdoor,아웃도어,add,gear,텐트 추천,장비 세분,S,30,done,
2,14,outdoor,아웃도어,add,gear,침낭 추천,장비 세분,A,25,done,
2,14,outdoor,아웃도어,add,gear,캠핑 버너,장비 세분,A,25,done,
2,14,outdoor,아웃도어,add,gear,캠핑 랜턴,장비 세분,A,25,done,
2,14,outdoor,아웃도어,add,gear,아웃도어 의류,장비 세분,A,25,pending,
2,14,outdoor,아웃도어,add,geo,경기 등산,지역,A,35,done,
2,14,outdoor,아웃도어,add,geo,제주 등산,지역,A,35,done,
2,14,outdoor,아웃도어,add,fishing,낚시터 정보,낚시,A,30,done,
2,14,outdoor,아웃도어,add,fishing,바다낚시,낚시,A,30,done,
2,06,cars,자동차,add,type,SUV 가이드,차종,S,30,done,
2,06,cars,자동차,add,type,경차 가이드,차종,A,25,done,
2,06,cars,자동차,add,type,수입차 가이드,차종,A,30,done,
2,06,cars,자동차,add,type,하이브리드 차,차종,A,25,done,
2,06,cars,자동차,add,situation,초보 운전,상황,S,30,done,
2,06,cars,자동차,add,situation,장거리 운전,상황,A,25,done,
2,06,cars,자동차,add,situation,겨울 운전,상황,A,25,done,
3,09,cafe,맛집/카페,add,geo_local,명동 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,신촌 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,건대 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,을지로 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,망원 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,연남 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,송파 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,종로 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,노원 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,목동 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,상암 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,여의도 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,판교 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,일산 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,geo_local,분당 맛집,서울·수도권 세분,A,40,done,
3,09,cafe,맛집/카페,add,cafe,베이커리 카페,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,루프탑 카페,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,반려견 카페,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,뷰 카페,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,대학가 맛집,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,역세권 맛집,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,숨은 맛집,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,예약 맛집,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,점심 맛집,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,저녁 맛집,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,가성비 맛집,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,웨이팅 맛집,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,현지인 맛집,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,포장 맛집,카페·상황,A,35,done,
3,09,cafe,맛집/카페,add,cafe,브런치 맛집,카페·상황,A,35,pending,
3,09,cafe,맛집/카페,add,menu,냉면 맛집,메뉴 확장,A,35,done,
3,09,cafe,맛집/카페,add,menu,칼국수 맛집,메뉴 확장,A,35,done,
3,09,cafe,맛집/카페,add,menu,피자 맛집,메뉴 확장,A,35,done,
3,09,cafe,맛집/카페,add,menu,햄버거 맛집,메뉴 확장,A,35,done,
3,09,cafe,맛집/카페,add,menu,파스타 맛집,메뉴 확장,A,35,done,
3,09,cafe,맛집/카페,add,menu,떡볶이 맛집,메뉴 확장,A,35,done,
3,09,cafe,맛집/카페,add,menu,곱창 맛집,메뉴 확장,A,35,done,
3,09,cafe,맛집/카페,add,menu,삼겹살 맛집,메뉴 확장,A,35,pending,
3,09,cafe,맛집/카페,add,menu,회 맛집,메뉴 확장,A,35,pending,
3,09,cafe,맛집/카페,add,menu,치킨 맛집,메뉴 확장,A,35,done,
3,11,travel,여행,add,travel_type,가족 여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,혼자 여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,커플 여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,배낭 여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,골프 여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,온천 여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,크루즈 여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,신혼 여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,당일치기 여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,기차 여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,호캉스,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,겨울 해외여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,여름 해외여행,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,환승 공항,여행 유형,A,40,done,
3,11,travel,여행,add,travel_type,여행 보험,여행 유형,A,40,done,
3,11,travel,여행,add,howto,여행 앱,여행 실무,A,30,done,
3,11,travel,여행,add,howto,짐 싸기,여행 실무,A,30,done,
3,11,travel,여행,add,howto,여행 회화,여행 실무,A,30,done,
3,11,travel,여행,add,howto,관광지 예약,여행 실무,A,30,done,
3,11,travel,여행,add,howto,현지 교통,여행 실무,A,30,done,
3,11,travel,여행,add,howto,여권 발급,여행 실무,A,30,done,
3,11,travel,여행,add,howto,항공권 예약,여행 실무,A,30,done,
3,11,travel,여행,add,howto,숙소 예약,여행 실무,A,30,done,
3,11,travel,여행,add,howto,여행 경비,여행 실무,A,30,done,
3,11,travel,여행,add,howto,여행 일정표,여행 실무,A,30,done,
3,11,travel,여행,add,geo_intl,싱가포르 여행,해외 국가 확장,A,40,done,
3,11,travel,여행,add,geo_intl,필리핀 여행,해외 국가 확장,A,40,done,
3,11,travel,여행,add,geo_intl,호주 여행,해외 국가 확장,A,40,done,
3,11,travel,여행,add,geo_intl,캐나다 여행,해외 국가 확장,A,40,done,
3,11,travel,여행,add,geo_intl,홍콩 여행,해외 국가 확장,A,40,done,
3,11,travel,여행,add,geo_intl,마카오 여행,해외 국가 확장,A,40,done,
3,11,travel,여행,add,geo_intl,스페인 여행,해외 국가 확장,A,40,done,
3,11,travel,여행,add,geo_intl,이탈리아 여행,해외 국가 확장,A,40,done,
