question_id,qid,keyword_ko,keyword_en,popularity,seo_question,search_intent,seo_format,model
Q10707-seo,Q10707,로버트 무가베,Robert_Mugabe,120.0,로버트 무가베의 역할과 영향 | 짐바브웨 독재의 역사,info,pipe,llama-3.1-8b-instant
Q22706-seo,Q22706,차량 번호판,Vehicle_registration_plate,87.0,차량 번호판을 쉽게 인식하는 방법 | 초보자용 가이드 생성,howto,pipe,llama-3.1-8b-instant
Q16424695-seo,Q16424695,감수분열,Meiosis,71.0,유성 생식의 감수분열 방법 | 생식자 만들기 위한 세포 분열 가이드,howto,pipe,llama-3.1-8b-instant
Q381045-seo,Q381045,선서,Oath,60.0,선서는 많은 사람들 앞에서 공표하는 것 | 공포감 없는 선서 방법을 소개합니다.,howto,pipe,llama-3.1-8b-instant
Q39330-seo,Q39330,요크셔 테리어,Yorkshire_Terrier,52.0,요크셔 테리어 개 품종 특징 | 초보자 가이드,howto,pipe,llama-3.1-8b-instant
Q4473-seo,Q4473,제넷 매커디,Jennette_McCurdy,46.0,영문 이름 제넷 매커디 미국 배우 | 미국 배우로서의 대표작과 영향력,info,pipe,llama-3.1-8b-instant
Q5214275-seo,Q5214275,댄 레이놀즈,Dan_Reynolds,41.0,이매진 드래곤스의 멤버는 кто인가요 | 미국 싱어송라이터 댄 레이놀즈의 소개,info,pipe,llama-3.1-8b-instant
Q8159-seo,Q8159,폴 보퀴즈,Paul_Bocuse,37.0,폴 보퀴즈와 프랑스 요리의 차이점 | 프랑스 요리사 폴 보퀴즈 소개와 작품 가이드,compare,pipe,llama-3.1-8b-instant
Q373034-seo,Q373034,사이드 타그마우이,Saïd_Taghmaoui,33.0,사이드 타그마우이 | 실전에서 바로 쓰는 팁,info,pipe,llama-3.1-8b-instant
Q809114-seo,Q809114,배리 타운 유나이티드 FC,Barry_Town_United_F.C.,30.0,웨일스의 축구 클럽을 찾아보는 방법 | 배리 타운 유나이티드 FC 소개 및 최근 성적,howto,pipe,llama-3.1-8b-instant
Q687785-seo,Q687785,포 시즌스,The_Four_Seasons_(band),27.0,포 시즌스 미국의 로큰롤 밴드에 관해 공부하는 방법 | 리더와 주요 멤버 소개에 따라 음악 스타일을 비교할 수 있음,howto,pipe,llama-3.1-8b-instant
Q277021-seo,Q277021,어떤 마술의 금서목록,A_Certain_Magical_Index,24.0,일본 라이트 노벨 시리즈의 금서 목록 정리 | 어떤 마술의 금서 목록 완전 가이드,howto,pipe,llama-3.1-8b-instant
Q732049-seo,Q732049,울프 호프만,Wolf_Hoffmann,22.0,울프 호프만 기타 레슨 방법 | 초보자를 위한 독일 뮤지션 강습 가이드,howto,pipe,llama-3.1-8b-instant
Q12344159-seo,Q12344159,윌리엄,William,19.0,윌리엄 이름의 유래와 다양한 의미 | 성경의 사도 윌리엄과 같이 이름이 알려진 역사적 인물의 예시,info,pipe,llama-3.1-8b-instant
Q16930989-seo,Q16930989,명량,The_Admiral:_Roaring_Currents,17.0,이순신 영화 명량 이해하는 방법 | 첫 번째 작품의 조작과 의의,howto,pipe,llama-3.1-8b-instant
Q16061428-seo,Q16061428,다미안 하르둥,Damian_Hardung,15.0,다미안 하르둥 배우 이름 올바르게 적는 방법 | 초보자를 위한 이력서 작성 팁,howto,pipe,llama-3.1-8b-instant
Q11395269-seo,Q11395269,시원찮은 그녀를 위한 육성방법,Saekano,13.0,일본 라이트 노벨 시리즈 '시원찮은 그녀를 위한 육성방법' 읽는 방법 | 시작하기 전에 추천한다는 점과 그 이유,info,pipe,llama-3.1-8b-instant
Q55614424-seo,Q55614424,동남 아시아 인도화,Indianization_of_Southeast_Asia,12.0,동남 아시아 인도화 현상 이해하기 | 인도 문화 확산 방법과 역사적 영향,howto,pipe,llama-3.1-8b-instant
Q16201205-seo,Q16201205,이슈와리야 메논,Iswarya_Menon,10.0,인도 여배우의 대표 작품 '이슈와리야 메논' 시청 가이드 | 다양한 연출과 등장인물 분석,howto,pipe,llama-3.1-8b-instant
Q5214174-seo,Q5214174,댄 패트릭,Dan_Patrick_(politician),9.0,미국 정치인 댄 패트릭의 정치 활동 방법 | 미국 정부 및 정치 시스템 이해하기,howto,pipe,llama-3.1-8b-instant
Q1077966-seo,Q1077966,인절미,Injeolmi,7.0,인절미 만들기 방법과 전통적인 방법 | 초보자를 위한 전통 떡 요리 가이드,howto,pipe,llama-3.1-8b-instant
Q1999032-seo,Q1999032,1934년 증권거래법,Securities_Exchange_Act_of_1934,6.0,1934년 증권거래법 | 개념과 차이점 한눈에 보기,info,pipe,llama-3.1-8b-instant
Q4376364-seo,Q4376364,몽골의 공휴일,Public_holidays_in_Mongolia,5.0,몽골의 공휴일이 무엇일까요 | 초보자를 위한 공휴일 목록과 설명,info,pipe,llama-3.1-8b-instant
Q184485-seo,Q184485,공연 예술,Performing_arts,78.0,공연 예술에 취미가 있다면 꼭 따라하는 작품 소개 | 인기 공연 가이드와 예술가 인생 이야기,info,pipe,llama-3.1-8b-instant
