l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,topic_angle,seo_format
01-diary-1인-가구-일기기록-현실-팁-01,01-diary,01,time-slot-01,1인 가구 일기·기록 현실 팁,1인 가구 일기·기록 현실 팁 | 핵심 총정리,routine,pipe
01-diary-번아웃-올-때-일기기록-조절-02,01-diary,01,life-change-02,번아웃 올 때 일기·기록 조절,번아웃 올 때 일기·기록 조절 | 꿀팁 모음,benefit,pipe
01-diary-비-오는-날-일기기록-대체-활동-03,01-diary,01,seasonal-03,비 오는 날 일기·기록 대체 활동,"비 오는 날 일기·기록 대체 활동, 완벽 가이드",season,summary
01-diary-30일-일기기록-챌린지-설계-04,01-diary,01,compare-style-04,30일 일기·기록 챌린지 설계,30일 일기·기록 챌린지 설계 | 최신 정리,choose,pipe
01-diary-꾸준히-하는-일기기록-습관-05,01-diary,01,seasonal-05,꾸준히 하는 일기·기록 습관,꾸준히 하는 일기·기록 습관 | 최신 정리,season,pipe
01-diary-계절-바뀔-때-일기기록-변화-06,01-diary,01,one-month-06,계절 바뀔 때 일기·기록 변화,"계절 바뀔 때 일기·기록 변화, 꿀팁 모음",challenge,summary
01-diary-퇴사-후-일기기록-리셋-07,01-diary,01,life-change-07,퇴사 후 일기·기록 리셋,퇴사 후 일기·기록 리셋 | 꿀팁 모음,benefit,pipe
01-diary-20대-일기기록-입문-가이드-08,01-diary,01,solo-08,20대 일기·기록 입문 가이드,"20대 일기·기록 입문 가이드, 핵심 총정리",solo,summary
01-diary-친구랑-함께하는-일기기록-09,01-diary,01,common-mistake-09,친구랑 함께하는 일기·기록,친구랑 함께하는 일기·기록 | 꿀팁 모음,pitfall,pipe
01-diary-새해-일기기록-목표-세우기-10,01-diary,01,first-step-10,새해 일기·기록 목표 세우기,"새해 일기·기록 목표 세우기, 얼마나 걸릴까?",start,ask
01-diary-처음-일기기록-전에-확인할-것-11,01-diary,01,light-habit-11,처음 일기·기록 전에 확인할 것,"처음 일기·기록 전에 확인할 것 vs 메모 앱, 어떤 것이 더 좋을까",habit,vs
01-diary-직장인-일기기록-시간-관리-12,01-diary,01,life-change-12,직장인 일기·기록 시간 관리,직장인 일기·기록 시간 관리 | 최신 정리,benefit,pipe
01-diary-명절연휴-일기기록-준비-13,01-diary,01,seasonal-13,명절·연휴 일기·기록 준비,명절·연휴 일기·기록 준비 | 핵심 총정리,season,pipe
01-diary-취미로-전환한-일기기록-14,01-diary,01,with-friend-14,취미로 전환한 일기·기록,"취미로 전환한 일기·기록 vs 기존 습관, 어떤 것이 더 좋을까",social,vs
01-diary-30대-일기기록-후기-정리-15,01-diary,01,one-month-15,30대 일기·기록 후기 정리,"30대 일기·기록 후기 정리 vs 메모 앱, 어떤 것이 더 좋을까",challenge,vs
01-diary-혼자-하는-일기기록-장단점-16,01-diary,01,life-change-16,혼자 하는 일기·기록 장단점,"혼자 하는 일기·기록 장단점, 완벽 가이드",benefit,summary
01-diary-월급날-후-일기기록-정리-17,01-diary,01,time-slot-17,월급날 후 일기·기록 정리,"월급날 후 일기·기록 정리 vs 종이 노트, 어떤 것이 더 좋을까",routine,vs
