seq,batch,l2_id,l1_code,name_ko
1,8,01-actor-filmography,01,배우 필모그래피
2,8,01-awards,01,시상식
3,8,01-celeb-diet,01,연예인 다이어트
4,8,01-celeb-insta,01,연예인 인스타
5,8,01-celeb-wedding,01,연예인 결혼
6,8,01-celeb-youtube,01,연예인 유튜브
7,8,01-celebrity-gossip,01,연예 가십
8,8,01-concert-info,01,콘서트 정보
9,8,01-drama-actor,01,드라마 배우
10,8,01-foreign-drama,01,해외 드라마
11,8,01-idol-news,01,아이돌 소식
12,8,01-k-movie,01,한국 영화
13,8,01-k-pop,01,K-POP
14,8,01-kpop-concert,01,아이돌 콘서트
15,8,01-kpop-fansign,01,아이돌 팬사인회
16,8,01-kpop-merchandise,01,아이돌 굿즈
17,8,01-mc,01,예능 MC
18,8,01-music-chart,01,가요 차트
19,8,01-music-show,01,음악방송
20,8,01-netflix-drama,01,넷플릭스 드라마
21,8,01-ost,01,드라마 OST
22,8,01-ott-recommend,01,OTT 추천
23,8,01-reality-show,01,리얼리티 예능
24,8,01-variety-highlight,01,예능 명장면
25,8,01-webtoon-recommend,01,웹툰 추천
26,8,02-budget-friendly-phone,02,알뜰폰
27,8,02-communication-cost-saving,02,통신비 절약
28,8,02-consumption-habits,02,소비습관
29,8,02-credit-card-benefits,02,카드 혜택
30,8,02-credit-score,02,신용점수
31,9,02-cryptocurrency-intro,02,코인 입문
32,9,02-deposit-interest-rate,02,예금 금리
33,9,02-dividend-stocks,02,배당주
34,9,02-etf-investment,02,ETF 투자
35,9,02-exchange-rate-info,02,환율 정보
36,9,02-financial-planning-beginner,02,재테크 입문
37,9,02-freelancer-tax,02,프리랜서 세금
38,9,02-gov-support-money,02,정부지원금
39,9,02-household-book-keeping,02,가계부 작성
40,9,02-inheritance-donation,02,상속 증여
41,9,02-irp-account,02,IRP 계좌
42,9,02-kr-stocks,02,국내 주식
43,9,02-lease-vs-rent,02,전세 vs 월세
44,9,02-living-cost-saving,02,생활비 절약
45,9,02-loan-interest-rate,02,대출 금리
46,9,02-real-estate-subscription,02,부동산 청약
47,9,02-retirement-savings,02,연금저축
48,9,02-small-business-support,02,소상공인 지원
49,9,02-startup-funding,02,창업 자금
50,9,02-stock-beginner,02,주식 입문
51,9,02-tax-saving-methods,02,절세 방법
52,9,02-time-deposit-recommendation,02,적금 추천
53,9,02-unemployment-benefits,02,실업급여
54,9,02-us-stocks,02,미국 주식
55,9,02-year-end-tax-adjustment,02,연말정산
56,9,02-youth-jump-account,02,청년 도약계좌
57,9,03-blood-sugar-management,03,혈당 관리
58,9,03-cholesterol-management,03,콜레스테롤 관리
59,9,03-gym-beginner,03,헬스 입문
60,9,03-home-training,03,홈트레이닝
61,10,03-intermittent-fasting,03,간헐적 단식
62,10,03-low-sodium-diet,03,저염 식단
63,10,03-pilates,03,필라테스
64,10,03-protein-diet,03,단백질 식단
65,10,03-stretching,03,스트레칭
66,10,03-yoga-beginner,03,요가 입문
67,10,04-autumn-outfit,04,가을 코디
68,10,04-casual-outfit,04,캐주얼 코디
69,10,04-daily-outfit,04,데일리룩
70,10,04-date-night-outfit,04,데이트룩
71,10,04-denim-coordination,04,데님 코디
72,10,04-interview-outfit,04,면접 복장
73,10,04-office-wear,04,오피스룩
74,10,04-plus-size-fashion,04,플러스사이즈
75,10,04-spring-outfit,04,봄 코디
76,10,04-street-fashion,04,스트릿 패션
77,10,04-summer-outfit,04,여름 코디
78,10,04-transitional-season-outfit,04,환절기 코디
79,10,04-vintage-fashion,04,빈티지 패션
80,10,04-winter-outfit,04,겨울 코디
81,10,05-baseball-goods,05,야구 굿즈
82,10,05-baseball-tactics,05,야구 전술
83,10,05-basketball-analysis,05,농구 분석
84,10,05-champions-league-info,05,챔스 정보
85,10,05-epl-analysis,05,EPL 분석
86,10,05-esports,05,e스포츠
87,10,05-football-tactics,05,축구 전술
88,10,05-football-youtube,05,축구 유튜브
89,10,05-golf-tournament,05,골프 대회
90,10,05-k-league,05,K리그
91,11,05-kbo-league,05,KBO 리그
92,11,05-korea-baseball,05,야구 국가대표
93,11,05-korea-soccer,05,축구 국가대표
94,11,05-marathon,05,마라톤
95,11,05-martial-arts,05,격투기
96,11,05-mlb-info,05,MLB 정보
97,11,05-nba-info,05,NBA 정보
98,11,05-olympics,05,올림픽
99,11,05-overseas-soccer,05,해외축구
100,11,05-player-transfer,05,선수 이적
