l3_id,l2_id,l1_code,focus_keyword,seo_title,search_intent,topic_angle,char_count,file_path,title_model,body_model,meta_model,status,generated_at
11-travel-essentials-domestic-travel-essentials,11-travel-essentials,11,국내 여행 필수 준비물,국내 여행 필수 준비물 리스트: 짐 싸기 효율 높이는 체크리스트,checklist,start,2317,body/11-travel-essentials-domestic-travel-essentials.md,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,draft,2026-06-05T00:21:22.960729+00:00
11-travel-essentials-long-trip-essentials,11-travel-essentials,11,장기 여행 준비물,장기 여행 준비물 리스트: 짐을 가볍게 만드는 효율적인 챙기기 전략,checklist,start,2462,body/11-travel-essentials-long-trip-essentials.md,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,draft,2026-06-05T00:21:22.960729+00:00
11-travel-essentials-overseas-travel-essentials,11-travel-essentials,11,해외 여행 필수품,해외 여행 필수품 준비물 리스트 및 체크리스트 활용법,checklist,start,2493,body/11-travel-essentials-overseas-travel-essentials.md,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,draft,2026-06-05T00:21:22.960729+00:00
11-travel-essentials-short-trip-essentials,11-travel-essentials,11,단기 여행 준비물,단기 여행 준비물 체크리스트: 1박 2일에서 3박 4일 효율적인 짐 싸기 전략,checklist,start,2675,body/11-travel-essentials-short-trip-essentials.md,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,draft,2026-06-05T00:21:22.960729+00:00
11-travel-essentials-summer-travel-essentials,11-travel-essentials,11,여름 여행 준비물,여름 여행 준비물 체크리스트: 쾌적한 휴가를 위한 필수 아이템 정리,checklist,start,2366,body/11-travel-essentials-summer-travel-essentials.md,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,draft,2026-06-05T00:21:22.960729+00:00
11-travel-essentials-travel-medicine-essentials,11-travel-essentials,11,여행용 의약품 준비 물품,여행용 의약품 준비 물품 체크리스트 및 상황별 대처법,checklist,start,2893,body/11-travel-essentials-travel-medicine-essentials.md,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,draft,2026-06-05T00:21:22.960729+00:00
11-travel-essentials-winter-travel-essentials,11-travel-essentials,11,겨울 여행 준비물,겨울 여행 준비물 체크리스트: 필수 방한 용품과 여행 짐 싸기 팁,checklist,start,2434,body/11-travel-essentials-winter-travel-essentials.md,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,draft,2026-06-05T00:21:22.960729+00:00
11-travel-essentials-overseas-travel-insurance,11-travel-essentials,11,해외 여행 보험 신청 방법,해외 여행 보험 신청 방법 및 주요 보험사 비교 분석,howto,howto,2555,body/11-travel-essentials-overseas-travel-insurance.md,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,draft,2026-06-05T00:21:22.960729+00:00
11-travel-essentials-travel-cable-recommend,11-travel-essentials,11,여행용 휴대용 전선 추천,여행용 휴대용 전선 선택 기준과 효율적인 팩킹 노하우,compare,tip,2527,body/11-travel-essentials-travel-cable-recommend.md,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,draft,2026-06-05T00:21:22.960729+00:00
11-travel-essentials-travel-food-packing-tips,11-travel-essentials,11,여행용 간편 식품 포장 팁,여행용 간편 식품 포장 팁: 부피 줄이고 신선함 유지하는 노하우,howto,tip,2324,body/11-travel-essentials-travel-food-packing-tips.md,gemini-3.1-flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,draft,2026-06-05T00:21:22.960729+00:00
