question_id,l3_id,l2_id,l1_code,question_type,seo_format,focus_keyword,question_text
01-diary-1인-가구-일기기록-현실-팁-01,01-diary-1인-가구-일기기록-현실-팁-01,01-diary,01,routine,pipe,1인 가구 일기·기록 현실 팁,1인 가구 일기·기록 현실 팁 | 핵심 총정리
01-diary-번아웃-올-때-일기기록-조절-02,01-diary-번아웃-올-때-일기기록-조절-02,01-diary,01,benefit,pipe,번아웃 올 때 일기·기록 조절,번아웃 올 때 일기·기록 조절 | 꿀팁 모음
01-diary-비-오는-날-일기기록-대체-활동-03,01-diary-비-오는-날-일기기록-대체-활동-03,01-diary,01,season,summary,비 오는 날 일기·기록 대체 활동,"비 오는 날 일기·기록 대체 활동, 완벽 가이드"
01-diary-30일-일기기록-챌린지-설계-04,01-diary-30일-일기기록-챌린지-설계-04,01-diary,01,choose,pipe,30일 일기·기록 챌린지 설계,30일 일기·기록 챌린지 설계 | 최신 정리
01-diary-꾸준히-하는-일기기록-습관-05,01-diary-꾸준히-하는-일기기록-습관-05,01-diary,01,season,pipe,꾸준히 하는 일기·기록 습관,꾸준히 하는 일기·기록 습관 | 최신 정리
01-diary-계절-바뀔-때-일기기록-변화-06,01-diary-계절-바뀔-때-일기기록-변화-06,01-diary,01,challenge,summary,계절 바뀔 때 일기·기록 변화,"계절 바뀔 때 일기·기록 변화, 꿀팁 모음"
01-diary-퇴사-후-일기기록-리셋-07,01-diary-퇴사-후-일기기록-리셋-07,01-diary,01,benefit,pipe,퇴사 후 일기·기록 리셋,퇴사 후 일기·기록 리셋 | 꿀팁 모음
01-diary-20대-일기기록-입문-가이드-08,01-diary-20대-일기기록-입문-가이드-08,01-diary,01,solo,summary,20대 일기·기록 입문 가이드,"20대 일기·기록 입문 가이드, 핵심 총정리"
01-diary-친구랑-함께하는-일기기록-09,01-diary-친구랑-함께하는-일기기록-09,01-diary,01,pitfall,pipe,친구랑 함께하는 일기·기록,친구랑 함께하는 일기·기록 | 꿀팁 모음
01-diary-새해-일기기록-목표-세우기-10,01-diary-새해-일기기록-목표-세우기-10,01-diary,01,start,ask,새해 일기·기록 목표 세우기,"새해 일기·기록 목표 세우기, 얼마나 걸릴까?"
01-diary-처음-일기기록-전에-확인할-것-11,01-diary-처음-일기기록-전에-확인할-것-11,01-diary,01,habit,vs,처음 일기·기록 전에 확인할 것,"처음 일기·기록 전에 확인할 것 vs 메모 앱, 어떤 것이 더 좋을까"
01-diary-직장인-일기기록-시간-관리-12,01-diary-직장인-일기기록-시간-관리-12,01-diary,01,benefit,pipe,직장인 일기·기록 시간 관리,직장인 일기·기록 시간 관리 | 최신 정리
01-diary-명절연휴-일기기록-준비-13,01-diary-명절연휴-일기기록-준비-13,01-diary,01,season,pipe,명절·연휴 일기·기록 준비,명절·연휴 일기·기록 준비 | 핵심 총정리
01-diary-취미로-전환한-일기기록-14,01-diary-취미로-전환한-일기기록-14,01-diary,01,social,vs,취미로 전환한 일기·기록,"취미로 전환한 일기·기록 vs 기존 습관, 어떤 것이 더 좋을까"
01-diary-30대-일기기록-후기-정리-15,01-diary-30대-일기기록-후기-정리-15,01-diary,01,challenge,vs,30대 일기·기록 후기 정리,"30대 일기·기록 후기 정리 vs 메모 앱, 어떤 것이 더 좋을까"
01-diary-혼자-하는-일기기록-장단점-16,01-diary-혼자-하는-일기기록-장단점-16,01-diary,01,benefit,summary,혼자 하는 일기·기록 장단점,"혼자 하는 일기·기록 장단점, 완벽 가이드"
01-diary-월급날-후-일기기록-정리-17,01-diary-월급날-후-일기기록-정리-17,01-diary,01,routine,vs,월급날 후 일기·기록 정리,"월급날 후 일기·기록 정리 vs 종이 노트, 어떤 것이 더 좋을까"
01-diary-부담-없이-시작하는-일기기록-18,01-diary-부담-없이-시작하는-일기기록-18,01-diary,01,social,summary,부담 없이 시작하는 일기·기록,"부담 없이 시작하는 일기·기록, 핵심 총정리"
01-work-life-1인-가구-직장인-일상-현실-팁-01,01-work-life-1인-가구-직장인-일상-현실-팁-01,01-work-life,01,choose,pipe,1인 가구 직장인 일상 현실 팁,1인 가구 직장인 일상 현실 팁 | 완벽 가이드
01-work-life-번아웃-올-때-직장인-일상-조절-02,01-work-life-번아웃-올-때-직장인-일상-조절-02,01-work-life,01,benefit,ask,번아웃 올 때 직장인 일상 조절,"번아웃 올 때 직장인 일상 조절, 얼마나 걸릴까?"
