batch,phase,l2_id,l1_code,name_ko,status
2,fill,02-insurance-info,02,보험 정보,신규
2,fill,02-pension-system,02,연금 제도,신규
2,fill,03-back-joint-health,03,허리·관절 건강,신규
2,fill,03-diet-meal-plan,03,다이어트 식단,기존 유지
2,fill,03-disease-prevention,03,질병 예방,기존 유지
2,fill,03-exercise-routine,03,운동 루틴,기존 유지
2,fill,03-eye-health,03,눈 건강,신규
2,fill,03-fitness,03,피트니스,기존 유지
2,fill,03-health-checkup,03,건강검진 가이드,신규
2,fill,03-health-information,03,건강 상식,개명
2,fill,03-healthy-diet,03,건강 식단,기존 유지
2,fill,03-immunity-care,03,면역력 관리,신규
2,fill,03-lifestyle-habits,03,생활 습관,기존 유지
2,fill,03-mens-health,03,남성 건강,신규
2,fill,03-mental-wellness,03,멘탈 케어,개명
2,fill,03-oral-health,03,구강 건강,신규
2,fill,03-post-workout-recovery,03,운동 후 회복,기존 유지
2,fill,03-posture-care,03,바른 자세 교정,신규
2,fill,03-quit-smoking-drinking,03,금연·금주,신규
2,fill,03-senior-health,03,시니어 건강,신규
2,fill,03-sleep-health,03,수면 건강,기존 유지
2,fill,03-supplement-guide,03,영양제 정보,기존 유지
2,fill,03-weight-management,03,체중 관리,기존 유지
2,fill,03-womens-health,03,여성 건강,신규
2,fill,04-accessories,04,액세서리,기존 유지
2,fill,04-athleisure,04,애슬레저,신규
2,fill,04-brand-reviews,04,브랜드 리뷰,기존 유지
2,fill,04-fashion-items,04,패션 아이템,기존 유지
2,fill,04-fashion-news,04,패션 뉴스,기존 유지
2,fill,04-fashion-trends,04,패션 트렌드,기존 유지
3,fill,04-golf-wear,04,골프웨어,신규
3,fill,04-guest-look,04,하객룩,신규
3,fill,04-handbags,04,가방,기존 유지
3,fill,04-jewelry-watch,04,주얼리·시계,신규
3,fill,04-kids-fashion,04,아동복,기존 유지
3,fill,04-luxury-resell,04,명품·리셀,신규
3,fill,04-maternity-wear,04,임부복,신규
3,fill,04-mens-fashion,04,남성의류,기존 유지
3,fill,04-minimal-fashion,04,미니멀 패션,기존 유지
3,fill,04-shoes,04,신발,기존 유지
3,fill,04-shopping-guide,04,쇼핑 가이드,기존 유지
3,fill,04-styling,04,스타일링,기존 유지
3,fill,04-sustainable-fashion,04,지속가능 패션,기존 유지
3,fill,04-womens-fashion,04,여성의류,기존 유지
3,fill,05-badminton,05,배드민턴,신규
3,fill,05-baseball-analysis,05,야구 분석,기존 유지
3,fill,05-baseball-info,05,야구 정보,기존 유지
3,fill,05-game-schedule,05,경기 일정,기존 유지
3,fill,05-golf-lesson-gear,05,골프 레슨·장비,신규
3,fill,05-international-sports,05,해외 스포츠,기존 유지
3,fill,05-player-profile,05,선수 프로필,기존 유지
3,fill,05-running-start,05,러닝 입문,신규
3,fill,05-soccer-analysis,05,축구 분석,기존 유지
3,fill,05-soccer-player,05,축구 선수,기존 유지
3,fill,05-sports-event,05,스포츠 이벤트,기존 유지
3,fill,05-sports-health,05,스포츠 건강,기존 유지
3,fill,05-sports-issue,05,스포츠 이슈,기존 유지
3,fill,05-sports-marketing,05,스포츠 마케팅,기존 유지
3,fill,05-sports-news,05,스포츠 뉴스,기존 유지
3,fill,05-swimming,05,수영,신규
4,fill,05-table-tennis,05,탁구,신규
4,fill,05-tennis,05,테니스,신규
4,fill,05-winter-sports,05,동계 스포츠,신규
4,fill,06-camping-car,06,캠핑카·카라반,신규
4,fill,06-car-accessories,06,자동차 용품,기존 유지
4,fill,06-car-accident-response,06,차량 사고 대처,신규
4,fill,06-car-comparison,06,자동차 비교,기존 유지
4,fill,06-car-financing,06,자동차 금융,기존 유지
4,fill,06-car-inspection,06,자동차 점검,기존 유지
4,fill,06-car-insurance,06,자동차 보험,기존 유지
4,fill,06-car-maintenance,06,자동차 정비,기존 유지
4,fill,06-car-news,06,자동차 뉴스,기존 유지
4,fill,06-car-taxes,06,자동차 세금,기존 유지
4,fill,06-car-travel,06,자동차 여행,기존 유지
4,fill,06-car-tuning,06,차량 튜닝,신규
4,fill,06-drivers-license,06,운전면허,신규
4,fill,06-driving-tips,06,운전 팁,기존 유지
4,fill,06-ev-guide,06,전기차 가이드,기존 유지
4,fill,06-motorcycle,06,오토바이,신규
4,fill,06-new-car-review,06,신차 리뷰,기존 유지
4,fill,06-used-car-buying,06,중고차 구매,기존 유지
4,fill,06-vehicle-management,06,차량 관리,기존 유지
4,fill,06-vehicle-safety,06,차량 안전,기존 유지
4,fill,07-ai-creative-tools,07,AI 창작 도구,신규
4,fill,07-ai-trend,07,AI 트렌드,기존 유지
4,fill,07-app-review,07,앱 리뷰,기존 유지
4,fill,07-blockchain,07,블록체인,기존 유지
4,fill,07-coding-start,07,코딩 입문,신규
4,fill,07-creator-gear,07,크리에이터 장비,신규
4,fill,07-digital-security,07,디지털 보안,기존 유지
5,fill,07-digital-trend,07,디지털 트렌드,기존 유지
5,fill,07-gadget-review,07,가젯 리뷰,기존 유지
5,fill,07-hardware-review,07,하드웨어 리뷰,기존 유지
5,fill,07-iot,07,사물인터넷,기존 유지
5,fill,07-it-news,07,IT 뉴스,기존 유지
5,fill,07-network-tips,07,네트워크 팁,기존 유지
5,fill,07-nocode-automation,07,업무 자동화·노코드,신규
5,fill,07-pc-build-guide,07,PC 빌드 가이드,기존 유지
5,fill,07-security-issue,07,보안 이슈,기존 유지
5,fill,07-smart-home,07,스마트홈 활용,신규
5,fill,07-smartphone-review,07,스마트폰 리뷰,기존 유지
5,fill,07-software-review,07,소프트웨어 리뷰,기존 유지
5,fill,08-beauty-device,08,뷰티 디바이스,신규
5,fill,08-beauty-product-review,08,뷰티 제품 리뷰,기존 유지
5,fill,08-beauty-tips,08,뷰티 팁,기존 유지
5,fill,08-beauty-trend,08,뷰티 트렌드,기존 유지
5,fill,08-cosmetic-ingredient-analysis,08,화장품 성분 분석,기존 유지
5,fill,08-hair-care-tips,08,헤어 케어 팁,기존 유지
5,fill,08-hair-product-review,08,헤어 제품 리뷰,기존 유지
5,fill,08-hair-removal,08,제모·왁싱,신규
5,fill,08-hair-styling-tips,08,헤어 스타일링 팁,기존 유지
5,fill,08-makeup-art,08,메이크업 아트,기존 유지
5,fill,08-makeup-product-recommendation,08,메이크업 제품 추천,기존 유지
5,fill,08-makeup-tutorial,08,메이크업 튜토리얼,기존 유지
5,fill,08-nail-art,08,네일아트,신규
5,fill,08-perfume,08,향수,신규
5,fill,08-scalp-care,08,두피 케어,신규
5,fill,08-skin-type-care,08,피부 타입별 케어,기존 유지
5,fill,08-skincare-product-recommendation,08,스킨케어 제품 추천,기존 유지
5,fill,08-skincare-routine,08,스킨케어 루틴,기존 유지
6,fill,08-treatment-information,08,시술 정보,기존 유지
6,fill,08-treatment-review,08,시술 후기,기존 유지
6,fill,09-brunch-cafe,09,브런치 카페,기존 유지
6,fill,09-busan-food,09,부산 맛집,기존 유지
6,fill,09-cafe-recommend,09,카페 추천,기존 유지
6,fill,09-daegu-food,09,대구 맛집,기존 유지
6,fill,09-daejeon-food,09,대전 맛집,기존 유지
6,fill,09-date-course,09,데이트 코스,기존 유지
6,fill,09-fine-dining,09,파인다이닝,신규
6,fill,09-gangwon-food,09,강원도 맛집,기존 유지
6,fill,09-gwangju-food,09,광주 맛집,기존 유지
6,fill,09-gyeonggi-food,09,경기도 맛집,기존 유지
6,fill,09-handmade-coffee,09,수제 커피,기존 유지
6,fill,09-incheon-food,09,인천 맛집,기존 유지
6,fill,09-night-view-food,09,야경 맛집,기존 유지
6,fill,09-old-school-restaurants,09,노포 맛집,신규
6,fill,09-omakase,09,오마카세,신규
6,fill,09-partyroom-cafe,09,파티룸 카페,기존 유지
6,fill,09-pocha-pub,09,포차·술집,신규
6,fill,09-seoul-food,09,서울 맛집,기존 유지
6,fill,09-solo-food,09,혼밥 맛집,기존 유지
6,fill,09-vegan-restaurants,09,비건 맛집,신규
6,fill,09-wine-bar,09,와인바,신규
6,fill,10-asian-cuisine,10,아시안 요리,기존 유지
6,fill,10-baking-guide,10,베이킹 가이드,기존 유지
6,fill,10-cooking-tips,10,요리 팁,기존 유지
6,fill,10-dessert-making,10,디저트 만들기,기존 유지
6,fill,10-fermentation,10,발효·장 담그기,신규
6,fill,10-food-storage,10,식재료 보관,신규
6,fill,10-food-styling,10,푸드 스타일링,기존 유지
7,fill,10-food-trend,10,푸드 트렌드,기존 유지
7,fill,10-global-cuisine,10,세계 요리,기존 유지
7,fill,10-healthy-convenience-food,10,건강 간편식,기존 유지
7,fill,10-home-cafe-drinks,10,홈카페 음료,신규
7,fill,10-home-cocktail,10,홈칵테일·전통주,신규
7,fill,10-home-party-food,10,홈파티 음식,기존 유지
7,fill,10-ingredient-info,10,식재료 정보,기존 유지
7,fill,10-kimchi-pickles,10,김치·절임,신규
7,fill,10-korean-recipe,10,한식 레시피,기존 유지
7,fill,10-meal-prep,10,밀프렙,신규
7,fill,10-meat-cooking,10,육식 요리,기존 유지
7,fill,10-restaurant-review,10,레스토랑 리뷰,기존 유지
7,fill,10-seafood-cooking,10,해물 요리,기존 유지
7,fill,10-vegetarian-recipe,10,채식 레시피,기존 유지
7,fill,11-accommodation-recommendations,11,숙소추천,기존 유지
7,fill,11-bali-travel,11,발리 여행,신규
7,fill,11-china-travel,11,중국 여행,신규
7,fill,11-domestic-travel,11,국내여행,기존 유지
7,fill,11-dubai-travel,11,두바이 여행,신규
7,fill,11-east-europe-travel,11,동유럽 여행,신규
7,fill,11-mongolia-travel,11,몽골 여행,신규
7,fill,11-monthly-stay,11,한달살기,신규
7,fill,11-north-europe-travel,11,북유럽 여행,신규
7,fill,11-overseas-travel,11,해외여행,기존 유지
7,fill,11-swiss-travel,11,스위스 여행,신규
7,fill,11-travel-diaries,11,여행기,기존 유지
7,fill,11-travel-essentials,11,여행준비물,기존 유지
7,fill,11-travel-itinerary,11,여행일정,기존 유지
7,fill,11-travel-photography,11,여행사진,기존 유지
7,fill,11-travel-safety,11,여행안전,기존 유지
8,fill,11-travel-tips,11,여행꿀팁,기존 유지
8,fill,11-turkiye-travel,11,튀르키예 여행,신규
8,fill,11-workation,11,워케이션,신규
8,fill,12-academic-research,12,학술 연구,기존 유지
8,fill,12-common-knowledge-dictionary,12,상식 사전,기존 유지
8,fill,12-cultural-exploration,12,문화 탐구,기존 유지
8,fill,12-culture-criticism,12,문화 비평,기존 유지
8,fill,12-current-affairs,12,시사 이슈 해설,신규
8,fill,12-education-information,12,교육 정보,기존 유지
8,fill,12-environment-climate,12,환경·기후,신규
8,fill,12-essay-guide,12,논술 가이드,기존 유지
8,fill,12-exhibition-performance,12,전시·공연,신규
8,fill,12-global-affairs,12,국제 정세,신규
8,fill,12-humanities-knowledge,12,인문 지식,기존 유지
8,fill,12-knowledge-game,12,지식 놀이,기존 유지
8,fill,12-language-learning,12,외국어 학습법,신규
8,fill,12-liberal-arts-lecture,12,교양 강의,기존 유지
8,fill,12-literature-review,12,문학 리뷰,기존 유지
8,fill,12-space-astronomy,12,우주·천문,신규
8,fill,12-study-methods,12,공부법·자격증,신규
8,fill,12-world-culture,12,세계 문화,기존 유지
8,fill,12-writing-skills,12,글쓰기,신규
8,fill,13-aquarium-fish,13,관상어·어항,신규
8,fill,13-cat-behavior,13,고양이 행동,기존 유지
8,fill,13-cat-food,13,고양이 사료,기존 유지
8,fill,13-cat-playground,13,고양이 놀이터,기존 유지
8,fill,13-dog-health,13,강아지 건강,기존 유지
8,fill,13-dog-play,13,강아지 놀이,기존 유지
8,fill,13-dog-training,13,강아지 훈련,기존 유지
8,fill,13-hamster-small-pets,13,햄스터·소동물,신규
9,fill,13-parrot-birds,13,앵무새·조류,신규
9,fill,13-pet-communication,13,펫 커뮤니케이션,기존 유지
9,fill,13-pet-etiquette,13,반려동물 예절,기존 유지
9,fill,13-pet-grooming,13,반려동물 미용,기존 유지
9,fill,13-pet-hospital,13,반려동물 병원,기존 유지
9,fill,13-pet-insurance,13,펫 보험,기존 유지
9,fill,13-pet-living-tips,13,펫 생활 팁,기존 유지
9,fill,13-pet-loss,13,펫로스,신규
9,fill,13-pet-photography,13,펫 사진 촬영,기존 유지
9,fill,13-pet-product-review,13,펫 용품 리뷰,기존 유지
9,fill,13-pet-tech,13,펫테크,신규
9,fill,13-rabbit-care,13,토끼,신규
9,fill,13-reptiles,13,파충류,신규
9,fill,13-rescue-adoption,13,유기동물 입양,신규
9,fill,14-camping-cooking,14,캠핑 요리,기존 유지
9,fill,14-camping-gear,14,캠핑 장비,기존 유지
9,fill,14-camping-sites,14,캠핑 장소,기존 유지
9,fill,14-camping-tips,14,캠핑 노하우,기존 유지
9,fill,14-car-camping-essentials,14,차박 준비물,기존 유지
9,fill,14-car-camping-trip,14,차박 여행,기존 유지
9,fill,14-climbing,14,클라이밍·볼더링,신규
9,fill,14-cycling,14,자전거·라이딩,신규
9,fill,14-fishing-gear,14,낚시 장비,기존 유지
9,fill,14-fishing-tips,14,낚시 팁,기존 유지
9,fill,14-hiking-community,14,등산 커뮤니티,기존 유지
9,fill,14-hiking-gear,14,등산 장비,기존 유지
9,fill,14-hiking-guide,14,등산 가이드,기존 유지
9,fill,14-hiking-health,14,등산 건강,기존 유지
9,fill,14-kayak-sup,14,카약·패들보드,신규
9,fill,14-outdoor-events,14,아웃도어 이벤트,기존 유지
10,fill,14-outdoor-fashion,14,아웃도어 패션,기존 유지
10,fill,14-outdoor-safety,14,아웃도어 안전,기존 유지
10,fill,14-picnic,14,피크닉·차크닉,신규
10,fill,14-ski-snowboard,14,스키·스노보드,신규
10,fill,14-surfing-watersports,14,서핑·수상레저,신규
10,fill,15-appliance-usage,15,가전 활용,신규(확장안 L1)
10,fill,15-cleaning-tips,15,청소 꿀팁,신규(확장안 L1)
10,fill,15-home-fragrance,15,홈프래그런스,신규(확장안 L1)
10,fill,15-home-office,15,홈오피스,신규(확장안 L1)
10,fill,15-household-items,15,생활용품 리뷰,신규(확장안 L1)
10,fill,15-interior,15,인테리어,신규(확장안 L1)
10,fill,15-laundry-care,15,세탁·의류관리,신규(확장안 L1)
10,fill,15-minimal-life,15,미니멀라이프,신규(확장안 L1)
10,fill,15-moving-prep,15,이사 준비,신규(확장안 L1)
10,fill,15-organizing,15,정리수납,신규(확장안 L1)
10,fill,15-plants-gardening,15,식물·가드닝,신규(확장안 L1)
10,fill,15-recycling,15,분리수거·재활용,신규(확장안 L1)
10,fill,15-season-housekeeping,15,계절 살림,신규(확장안 L1)
10,fill,15-self-repair,15,셀프 수리·인테리어,신규(확장안 L1)
10,fill,15-single-living,15,자취 살림,신규(확장안 L1)
10,fill,15-storage-furniture,15,수납·가구,신규(확장안 L1)
10,fill,16-baby-food,16,이유식·유아식,신규(확장안 L1)
10,fill,16-child-health,16,아이 건강,신규(확장안 L1)
10,fill,16-childcare-logistics,16,등하원·돌봄,신규(확장안 L1)
10,fill,16-daycare-kindergarten,16,어린이집·유치원,신규(확장안 L1)
10,fill,16-discipline-habits,16,훈육·생활습관,신규(확장안 L1)
10,fill,16-elementary-learning,16,초등 학습,신규(확장안 L1)
10,fill,16-kids-content,16,키즈 콘텐츠,신규(확장안 L1)
10,fill,16-kids-english,16,유아 영어,신규(확장안 L1)
10,fill,16-newborn-care,16,신생아 케어,신규(확장안 L1)
11,fill,16-parenting-items,16,육아템 리뷰,신규(확장안 L1)
11,fill,16-parenting-subsidy,16,육아 지원금,신규(확장안 L1)
11,fill,16-pregnancy-birth,16,임신·출산,신규(확장안 L1)
11,fill,16-private-education,16,학원·사교육,신규(확장안 L1)
11,fill,16-toddler-play,16,유아 놀이·발달,신규(확장안 L1)
11,fill,16-working-parents,16,워킹맘·워킹대디,신규(확장안 L1)
11,fill,17-career-pivot,17,커리어 전환,신규(확장안 L1)
11,fill,17-civil-service,17,공무원·공기업 준비,신규(확장안 L1)
11,fill,17-freelancer-life,17,프리랜서 라이프,신규(확장안 L1)
11,fill,17-interview-prep,17,면접 준비,신규(확장안 L1)
11,fill,17-job-change,17,이직,신규(확장안 L1)
11,fill,17-job-seeking,17,취업 준비,신규(확장안 L1)
11,fill,17-office-relationships,17,직장 인간관계,신규(확장안 L1)
11,fill,17-part-time-job,17,아르바이트,신규(확장안 L1)
11,fill,17-remote-work,17,재택근무,신규(확장안 L1)
11,fill,17-resume-writing,17,자소서 작성,신규(확장안 L1)
11,fill,17-salary-negotiation,17,연봉·협상,신규(확장안 L1)
11,fill,17-self-development,17,직장인 자기계발,신규(확장안 L1)
11,fill,17-side-job,17,부업·사이드잡,신규(확장안 L1)
11,fill,17-worklife-tips,17,직장생활 팁,신규(확장안 L1)
11,fill,07-game-review,18,게임 리뷰,이동(확장안)
11,fill,18-board-games,18,보드게임,신규(확장안 L1)
11,fill,18-console-games,18,콘솔 게임,신규(확장안 L1)
11,fill,18-game-events,18,게임 행사·페스티벌,신규(확장안 L1)
11,fill,18-game-guides,18,게임 공략,신규(확장안 L1)
11,fill,18-game-news,18,게임 뉴스,신규(확장안 L1)
11,fill,18-gaming-gear,18,게이밍 기어,신규(확장안 L1)
11,fill,18-gaming-terms,18,게임 입문 용어,신규(확장안 L1)
11,fill,18-indie-games,18,인디 게임,신규(확장안 L1)
11,fill,18-mobile-games,18,모바일 게임,신규(확장안 L1)
12,fill,18-pc-games,18,PC 게임,신규(확장안 L1)
12,fill,18-retro-games,18,고전 게임,신규(확장안 L1)
12,fill,18-steam-platform,18,스팀·플랫폼 활용,신규(확장안 L1)
12,replace,01-actor-filmography,01,배우 필모그래피,기존 유지
12,replace,01-celeb-diet,01,연예인 다이어트,기존 유지
12,replace,01-celeb-wedding,01,연예인 결혼,기존 유지
12,replace,01-celeb-youtube,01,연예인 유튜브,기존 유지
12,replace,01-concert-info,01,콘서트 정보,기존 유지
12,replace,01-foreign-drama,01,해외 드라마,기존 유지
12,replace,01-k-movie,01,한국 영화,기존 유지
12,replace,01-k-pop,01,K-POP,기존 유지
12,replace,01-kpop-fansign,01,아이돌 팬사인회,기존 유지
12,replace,01-kpop-merchandise,01,아이돌 굿즈,기존 유지
12,replace,01-mc,01,예능 MC,기존 유지
12,replace,01-music-chart,01,가요 차트,기존 유지
12,replace,01-music-show,01,음악방송,기존 유지
12,replace,01-netflix-drama,01,넷플릭스 드라마,기존 유지
12,replace,01-ost,01,드라마 OST,기존 유지
12,replace,01-ott-recommend,01,OTT 추천,기존 유지
12,replace,01-reality-show,01,리얼리티 예능,기존 유지
12,replace,01-webtoon-recommend,01,웹툰 추천,기존 유지
12,replace,02-budget-friendly-phone,02,알뜰폰,기존 유지
12,replace,02-communication-cost-saving,02,통신비 절약,기존 유지
12,replace,02-consumption-habits,02,소비습관,기존 유지
12,replace,02-credit-card-benefits,02,카드 혜택,기존 유지
12,replace,02-credit-score,02,신용점수,기존 유지
12,replace,02-cryptocurrency-intro,02,코인 입문,기존 유지
12,replace,02-deposit-interest-rate,02,예적금 정보,개명
12,replace,02-dividend-stocks,02,배당주,기존 유지
12,replace,02-etf-investment,02,ETF 투자,기존 유지
13,replace,02-exchange-rate-info,02,환율 정보,기존 유지
13,replace,02-freelancer-tax,02,프리랜서 세금,기존 유지
13,replace,02-gov-support-money,02,정부지원금,기존 유지
13,replace,02-household-book-keeping,02,가계부 작성,기존 유지
13,replace,02-inheritance-donation,02,상속 증여,기존 유지
13,replace,02-irp-account,02,IRP 계좌,기존 유지
13,replace,02-kr-stocks,02,국내 주식,기존 유지
13,replace,02-lease-vs-rent,02,전세 vs 월세,기존 유지
13,replace,02-living-cost-saving,02,생활비 절약,기존 유지
13,replace,02-loan-interest-rate,02,대출 금리,기존 유지
