l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at,monthly_total,tier,meta_source
01-celeb-diet-50-1e3e4ed4,01-celeb-diet,01,50-1e3e4ed4,50대다이어트,"50대다이어트, 건강을 지키며 체중 감량하는 방법",info,tip,중장년층을 위한 맞춤형 다이어트 식단과 운동법을 상세히 안내합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,990,lt,primary_gemini
01-k-pop-8-01c156ba,01-k-pop,01,8-01c156ba,8월콘서트,여름밤을 뜨겁게 달굴 8월콘서트 라인업 및 예매 정보,info,issue,8월에 열리는 주요 뮤직 페스티벌과 콘서트 일정을 정리해 드립니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,990,lt,primary_gemini
01-style-kw-5b2f7f82,01-style,01,kw-5b2f7f82,기획사,엔터테인먼트 기획사 오디션 준비생을 위한 가이드,info,start,연예 기획사의 시스템을 이해하고 오디션을 준비하는 과정을 설명합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,990,lt,primary_gemini
01-celeb-diet-kw-6ac3c02a,01-celeb-diet,01,kw-6ac3c02a,단기다이어트,중요한 날을 위한 단기다이어트 식단과 주의사항,howto,tip,단기간에 효과를 보기 위한 건강한 식단 관리법과 주의점을 알려드립니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,990,lt,primary_gemini
01-style-kw-6f3dd65a,01-style,01,kw-6f3dd65a,동영상제작,초보자도 가능한 고퀄리티 동영상제작 편집 툴 추천,howto,tip,유튜브나 숏폼 영상을 만들기 위해 필요한 편집 소프트웨어와 제작 팁을 소개합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,990,lt,primary_gemini
01-drama-kw-09f386de,01-drama,01,kw-09f386de,오케스트레이션,음악의 풍성함을 더하는 오케스트레이션 기초 이론,info,issue,작곡의 꽃이라 불리는 오케스트레이션의 개념과 기본 원리를 다룹니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,990,lt,primary_gemini
01-k-pop-kw-a3031371,01-k-pop,01,kw-a3031371,웹툰만화,요즘 대세 웹툰만화 추천: 장르별 인기작 모음,info,review,최근 독자들에게 큰 인기를 얻고 있는 웹툰과 만화 작품들을 추천합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,990,lt,primary_gemini
01-drama-kw-24d98053,01-drama,01,kw-24d98053,찬송가듣기,언제 어디서나 마음의 평안을 주는 찬송가듣기 방법,info,tip,다양한 찬송가 채널과 앱을 통해 은혜로운 찬양을 감상하는 법을 안내합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,990,lt,primary_gemini
01-style-kw-31ee3806,01-style,01,kw-31ee3806,간식차,촬영장 필수템! 간식차 서포트 예약 방법 및 비용,cost,tip,연예인 서포트나 행사장에 부르는 간식차의 가격대와 예약 절차를 상세히 설명합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,980,lt,primary_gemini
01-actor-filmography-kw-d0df3524,01-actor-filmography,01,kw-d0df3524,굿즈만들기,"나만의 굿즈만들기, 소량 제작 업체 및 디자인 팁",howto,tip,팬덤 굿즈나 개인 소장용 굿즈를 예쁘게 제작하는 방법을 알려드립니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,980,lt,primary_gemini
01-reality-show-kw-506a7061,01-reality-show,01,kw-506a7061,라디오듣기,스마트폰으로 간편하게 라디오듣기 앱 추천 및 활용법,info,tip,실시간 라디오 방송을 고음질로 청취할 수 있는 앱과 서비스들을 소개합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,980,lt,primary_gemini
01-actor-filmography-kw-7ef686d8,01-actor-filmography,01,kw-7ef686d8,소량스티커제작,다꾸용 소량스티커제작 업체별 품질 비교 및 주문 팁,compare,review,나만의 디자인으로 스티커를 소량 제작할 수 있는 곳들을 비교 분석합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,980,lt,primary_gemini
01-actor-filmography-kw-4e527a3b,01-actor-filmography,01,kw-4e527a3b,데이식스굿즈,품절 대란 데이식스굿즈 구매 방법과 최신 라인업,info,issue,인기 밴드 데이식스의 공식 굿즈를 구하는 방법과 정보를 정리했습니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,970,lt,primary_gemini
01-style-kw-72f3fdaf,01-style,01,kw-72f3fdaf,상량식,"건축의 전통 의식, 상량식의 의미와 현대적 절차",info,issue,건물 골조가 완성될 때 치르는 상량식의 역사와 현재의 의미를 알아봅니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,970,lt,primary_gemini
01-drama-kw-b61130ee,01-drama,01,kw-b61130ee,실용음악,실용음악 입시를 준비하는 학생들을 위한 진로 가이드,info,start,실용음악과 진학을 목표로 하는 학생들에게 필요한 준비 과정과 팁을 제공합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,960,lt,primary_gemini
01-style-kw-692d0020,01-style,01,kw-692d0020,축제행사,성공적인 축제행사 기획을 위한 단계별 체크리스트,checklist,tip,지역 축제나 기업 행사를 기획할 때 놓치지 말아야 할 요소들을 정리합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,960,lt,primary_gemini
01-drama-kw-53dfb9ed,01-drama,01,kw-53dfb9ed,프로필촬영,인생 사진 남기는 프로필촬영 스튜디오 선택 기준,howto,tip,"배우, 모델, 일반인 프로필 촬영 시 만족스러운 결과를 얻는 노하우를 공유합니다.",gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,960,lt,primary_gemini
01-drama-flac-9e510dc2,01-drama,01,flac-9e510dc2,FLAC음원,"고음질 음악의 시작, FLAC음원과 MP3 차이점 비교",compare,tip,음질의 차이를 결정짓는 FLAC 파일의 특징과 감상 환경을 설명합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,950,lt,primary_gemini
01-photo-essay-kw-0050de24,01-photo-essay,01,kw-0050de24,계류장,요트와 보트를 위한 계류장 이용 방법 및 시설 정보,info,issue,해양 레저 활동을 위한 계류장의 정의와 이용 시 알아야 할 정보를 다룹니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,950,lt,primary_gemini
01-drama-kw-398e3e78,01-drama,01,kw-398e3e78,관현악,"웅장한 선율의 세계, 관현악의 구성과 감상 포인트",info,issue,오케스트라 관현악곡을 더 깊이 이해하고 감상하는 방법을 안내합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,950,lt,primary_gemini
01-actor-filmography-kw-34fc03e0,01-actor-filmography,01,kw-34fc03e0,메이크업가방,전문가처럼 정리하는 메이크업가방 추천 및 수납 꿀팁,howto,tip,메이크업 아티스트들이 사용하는 가방의 종류와 효율적인 화장품 정리 방법을 소개한다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,950,lt,primary_gemini
01-drama-kw-989693a9,01-drama,01,kw-989693a9,실시간음원차트,최신 트렌드를 한눈에! 실시간음원차트 보는 법과 활용 가이드,info,start,다양한 플랫폼의 실시간음원차트 확인 방법과 음악 트렌드를 파악하는 법을 다룬다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,950,lt,primary_gemini
