l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at,tier,quality_score,drop_reason
01-award-award-speech-analysis-2024,01-award,01,award-speech-analysis-2024,2024 시상식 수상 연설 분석,2024 시상식 수상 연설 분석 및 팁,howto,tip,2024 시상식 수상 연설 분석 및 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,hold,60,
01-award-award-winning-work-analysis-method,01-award,01,award-winning-work-analysis-method,2024 수상작 작품 분석 방법,2024 수상작 작품 분석 방법과 팁 정리,howto,howto,2024년 수상작 작품 분석 방법 안내,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,hold,56,
01-award-award-winning-soundtrack-analysis,01-award,01,award-winning-soundtrack-analysis,2024 수상작 사운드트랙 분석,2024 수상작 사운드트랙 음악 분석 및 추천,info,review,2024년 수상작 사운드트랙 음악 분석,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,hold,42,
01-award-baeksang-arts-awards-2024,01-award,01,baeksang-arts-awards-2024,백상예술대상 2024 수상작,2024 백상예술대상 TV·영화·연극 수상작,info,review,2024 백상예술대상 TV·영화·연극 수상작 정리,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,hold,42,
01-award-best-actor-comparison-2024,01-award,01,best-actor-comparison-2024,2024 남우주연상 수상자 비교,2024 남우주연상 수상자 비교: 작품 및 연기력,compare,compare,2024 남우주연상 수상자 비교: 작품 및 연기력,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,hold,42,
01-award-best-actress-analysis-2024,01-award,01,best-actress-analysis-2024,2024 여우주연상 수상자 소감 분석,2024 여우주연상 수상자 소감 분석 및 반응,info,review,2024 여우주연상 수상자 소감 분석 및 반응,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,hold,42,
01-award-blue-dragon-film-awards-2024,01-award,01,blue-dragon-film-awards-2024,청룡영화상 2024 수상자,2024 청룡영화상 수상자 및 수상 작품,info,review,2024 청룡영화상 수상자 및 수상 작품 정리,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,hold,42,
01-award-direction-award-analysis-2024,01-award,01,direction-award-analysis-2024,2024 연출상 수상자 분석,2024 연출상 수상자 분석 및 연출 기법,info,review,2024 연출상 수상자 분석 및 연출 기법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,hold,42,
01-award-excellence-award-2024-profile,01-award,01,excellence-award-2024-profile,2024 우수상 수상자 소개,2024 우수상 수상자 소개와 수상 경력 분석,info,start,2024년 우수상 수상자 소개 및 경력 분석,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,hold,42,
01-award-new-artist-introduction-2024,01-award,01,new-artist-introduction-2024,2024 신인 예술인상 수상자 소개,2024 신인 예술인상 수상자 소개 및 작품,info,start,2024 신인 예술인상 수상자 소개 및 작품,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,hold,42,
