l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at
01-actor-filmography-actor-career-details,01-actor-filmography,01,actor-career-details,배우 활동 내역,배우 활동 내역 상세,info,tip,배우의 활동 내역을 상세히 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-debut-work,01-actor-filmography,01,actor-debut-work,배우 데뷔작,배우 데뷔작 찾기,info,tip,배우의 데뷔작 정보를 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-drama-filmography,01-actor-filmography,01,actor-drama-filmography,배우 드라마 출연 이력,배우 드라마 출연 이력 보기,info,tip,배우의 드라마 출연 이력을 확인하는 방법,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-filmography,01-actor-filmography,01,actor-filmography,배우 출연작 리스트,배우 필모그래피 - 출연 영화 드라마 작품 모음,info,tip,배우별 출연 영화 및 드라마 작품 활동을 상세히 기록합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-filmography-site,01-actor-filmography,01,actor-filmography-site,배우 필모그래피 사이트,배우 필모그래피 사이트 모음,info,tip,배우의 필모그래피를 제공하는 웹사이트 모음,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-major-works,01-actor-filmography,01,actor-major-works,배우 주요 작품,배우 주요 작품 모음 보기,info,tip,배우의 주요 작품을 모아서 보기,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-notable-works,01-actor-filmography,01,actor-notable-works,배우 대표작,배우의 대표작은 무엇인가,info,tip,배우의 대표작 정보를 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-actor-salary-comparison,01-actor-filmography,01,actor-salary-comparison,배우 출연료,배우 출연료 비교,info,tip,배우들의 출연료를 비교 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-award-winning-actor-filmography,01-actor-filmography,01,award-winning-actor-filmography,연기대상 수상자 필모그래피,연기대상 수상자 필모그래피 보기,info,tip,연기대상 수상자의 필모그래피를 확인하는 방법,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-award-winning-actors,01-actor-filmography,01,award-winning-actors,영화제 수상 배우,영화제 수상 배우 리스트,info,tip,영화제에서 수상한 배우 리스트를 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-baeu-filmography-see,01-actor-filmography,01,baeu-filmography-see,배우 필모그래피 보는 법,배우 필모그래피 쉽게 보는 법,howto,tip,배우의 영화 및 드라마 출연작을 쉽게 확인하는 방법,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-drama-actor-info,01-actor-filmography,01,drama-actor-info,드라마 배우 정보,드라마 배우 정보 쉽게 찾기,info,tip,드라마에 출연한 배우의 정보를 쉽게 찾는 방법,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-korean-actor-filmography,01-actor-filmography,01,korean-actor-filmography,국내 배우 필모그래피,국내 배우 작품활동 내역,info,tip,국내 배우의 작품활동 내역을 자세히 제공합니다.,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-korean-actor-movie-graph,01-actor-filmography,01,korean-actor-movie-graph,한국 배우 영화 출연작,한국 배우 영화 그래프 보기,info,tip,한국 배우의 영화 출연작을 그래프로 확인하기,slot_2step,2026-06-08T12:01:17.740207+00:00
01-actor-filmography-movie-actor-rating,01-actor-filmography,01,movie-actor-rating,영화 배우 평점,영화 배우 평점 보기,info,review,영화에 출연한 배우의 평점을 확인하는 방법,slot_2step,2026-06-08T12:01:17.740207+00:00
01-award-acceptance-speech-moments,01-award,01,acceptance-speech-moments,수상소감 명장면,감동의 수상소감 명장면 모음,review,review,기억에 남는 수상소감입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-attendance-lineup,01-award,01,attendance-lineup,시상식 참석 라인업,올해 시상식 참석 라인업 소식,news,issue,참석 라인업 소식입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-award-economic-effects,01-award,01,award-economic-effects,수상 후 경제 효과,수상이 가져오는 경제 효과 분석,info,issue,수상의 흥행과 몸값 효과입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-award-show-fashion-rules,01-award,01,award-show-fashion-rules,시상식 복장 불문율,시상식 참석 복장의 숨은 규칙,info,tip,시상식 드레스코드의 관례입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-award-voting-guide,01-award,01,award-voting-guide,시상식 투표 참여 방법,시상식 팬 투표 참여 방법 정리,howto,howto,팬 투표 참여 절차입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-canceled-award-shows,01-award,01,canceled-award-shows,사라진 시상식 역사,역사 속으로 사라진 시상식들,info,review,폐지된 시상식의 역사입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-daesang-winners-history,01-award,01,daesang-winners-history,역대 대상 수상자,역대 연말 시상식 대상 수상자 정리,review,review,역대 대상 수상자 정리입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-fairness-controversies,01-award,01,fairness-controversies,시상식 공정성 논란,시상식 공정성 논란 사례 정리,news,issue,공정성 논란 사례입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-film-awards-overview,01-award,01,film-awards-overview,영화 시상식 종류,국내 영화 시상식 종류와 특징,info,tip,국내 영화 시상식들을 소개합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-grand-vs-main-prize,01-award,01,grand-vs-main-prize,대상 본상 차이,시상식 대상과 본상 차이 알아보기,info,start,대상과 본상의 차이를 설명합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-judges-selection-process,01-award,01,judges-selection-process,심사위원 구성 방식,시상식 심사위원은 어떻게 정해질까,info,tip,심사위원 구성과 심사 방식입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-kpop-global-awards,01-award,01,kpop-global-awards,해외 시상식 K팝 수상,해외 시상식에서 수상한 K팝 기록,info,issue,해외 시상식 K팝 수상 기록입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-legendary-performances,01-award,01,legendary-performances,시상식 축하 무대,역대 시상식 레전드 축하 무대,review,review,레전드 축하 무대를 돌아봅니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-music-award-criteria,01-award,01,music-award-criteria,가요 시상식 수상 기준,가요 시상식 수상 기준과 집계 방식,info,tip,수상 기준과 집계 방식입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-award-year-end-awards-schedule,01-award,01,year-end-awards-schedule,연말 시상식 일정,연말 가요 연기 시상식 일정 총정리,info,tip,연말 시상식 일정과 채널입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-broadcast-all-time-rating-records,01-broadcast,01,all-time-rating-records,역대 시청률 기록 프로그램,역대 최고 시청률 방송 프로그램 기록,info,review,역대 시청률 기록을 돌아봅니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
