l1_code,l1_slug,name_ko,mega_group,sort_order
01,daily-life,일상·에세이,라이프,1
02,self-improvement,자기계발·습관,라이프,2
03,productivity,생산성·도구,라이프,3
04,minimal-organize,미니멀·정리·수납,라이프,4
05,relationships,인간관계·소통,라이프,5
06,dating,연애·썸,라이프,6
07,wedding,결혼·웨딩,라이프,7
08,single-divorce,이혼·재혼·싱글,라이프,8
09,saving-money,재테크·절약,머니,9
10,investing,투자·주식,머니,10
11,real-estate,부동산·청약,머니,11
12,loans-credit,대출·신용·카드,머니,12
13,insurance,보험·연금,머니,13
14,tax-benefits,세금·정부지원,머니,14
15,career-jobs,직장·이직·연봉,머니,15
16,side-business,창업·부업·프리랜스,머니,16
17,interior,인테리어·홈스타일링,홈,17
18,home-decor,집들이·소품,홈,18
19,appliances-review,가전·생활용품 리뷰,홈,19
20,cleaning-tips,청소·살림팁,홈,20
21,moving-repair,이사·입주·집수리,홈,21
22,solo-living,원룸·자취·갓생,홈,22
23,recipes,요리·레시피,푸드,23
24,restaurants,맛집·먹방,푸드,24
25,cafe-dessert,카페·디저트,푸드,25
26,delivery-convenience,배달·편의점·간편식,푸드,26
27,diet-meal,다이어트 식단,푸드,27
28,alcohol,주류·와인·위스키,푸드,28
29,fashion,패션·코디,스타일,29
30,makeup,뷰티·메이크업,스타일,30
31,skincare,스킨케어,스타일,31
32,hair-nail,헤어·네일,스타일,32
33,grooming-perfume,향수·그루밍,스타일,33
34,clinic-treatment,피부과·시술·클리닉,스타일,34
35,weight-loss,다이어트·체중관리,바디,35
36,fitness-home,헬스·홈트,바디,36
37,yoga-pilates,요가·필라테스·스트레칭,바디,37
38,running-outdoor,러닝·등산·아웃도어,바디,38
39,health-disease,건강정보·질병,바디,39
40,supplements,영양제·건강식품,바디,40
41,mental-health,멘탈헬스·번아웃,바디,41
42,pregnancy-birth,임신·출산·태교,패밀리,42
43,parenting,육아·육아템,패밀리,43
44,education-exam,교육·학원·입시,패밀리,44
45,family-generation,부모·세대,패밀리,45
46,pets,반려동물,패밀리,46
47,domestic-travel,국내여행,트립,47
48,international-travel,해외여행,트립,48
49,hotels-stay,호텔·숙소·에어비앤비,트립,49
50,camping-car,캠핑·차박·글램핑,트립,50
51,date-attractions,테마파크·전시·데이트코스,트립,51
52,photo-vlog,사진·영상·브이로그,플레이,52
53,craft-diy,그림·공예·DIY,플레이,53
54,music-performance,음악·악기·공연,플레이,54
55,books-novel,독서·웹소설,플레이,55
56,film-drama-ott,영화·드라마·OTT,플레이,56
57,entertainment-fandom,연예·아이돌·팬,플레이,57
58,comics-anime,웹툰·만화·애니,플레이,58
59,games-esports,게임·e스포츠,플레이,59
60,boardgame-collect,보드게임·수집·피규어,플레이,60
61,smartphone-tablet,스마트폰·태블릿,테크,61
62,pc-laptop-gear,PC·노트북·주변기기,테크,62
63,apps-services,앱·서비스 리뷰,테크,63
64,ai-tools,AI·ChatGPT 활용,테크,64
65,coding-beginner,코딩·개발 입문,테크,65
66,blog-sns-marketing,블로그·SNS·마케팅,테크,66
67,exam-cert-public,시험·자격증·공무원,인포,67
68,language-study-abroad,어학·유학·이민,인포,68
69,cars-driving,자동차·운전·정비,인포,69
70,legal-daily,법·생활법률,인포,70
71,news-opinion,뉴스·시사·오피니언,인포,71
72,local-neighborhood,지역·로컬·동네,인포,72
