l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at
01-drama-shortform-drama-trend,01-drama,01,shortform-drama-trend,숏폼 드라마 인기 이유,요즘 뜨는 숏폼 드라마 인기 이유와 대표작,info,issue,짧은 회차 숏폼 드라마 열풍의 배경을 짚어봅니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-drama-for-parents,01-drama,01,drama-for-parents,부모님과 함께 볼 드라마,부모님과 같이 보기 좋은 세대 공감 드라마,review,review,온 가족이 함께 즐길 드라마를 추천합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-binge-slump-recovery,01-drama,01,binge-slump-recovery,정주행 슬럼프 극복법,드라마 정주행하다 지칠 때 극복하는 법,howto,tip,정주행 피로를 줄이는 시청 요령입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-regression-genre-terms,01-drama,01,regression-genre-terms,회빙환 장르 뜻,회귀 빙의 환생 드라마 장르 용어 정리,info,start,회빙환 등 요즘 드라마 장르 용어를 풀이합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-filming-spot-daytrip,01-drama,01,filming-spot-daytrip,드라마 촬영지 당일치기,드라마 촬영지 당일치기 여행 코스,info,local,명장면 촬영지를 당일 코스로 묶었습니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-saguk-fact-check,01-drama,01,saguk-fact-check,사극 고증 팩트체크,사극 드라마 고증 어디까지 사실일까,info,issue,사극 속 설정과 실제 역사를 대조합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-production-process-steps,01-drama,01,production-process-steps,드라마 제작 과정 단계,드라마 한 편이 만들어지는 제작 과정,info,tip,기획부터 방영까지의 제작 단계를 설명합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-legendary-lines-collection,01-drama,01,legendary-lines-collection,명대사 레전드 모음,시간이 지나도 회자되는 드라마 명대사,review,review,두고두고 회자되는 명대사를 모았습니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-job-depiction-reality,01-drama,01,job-depiction-reality,드라마 속 직업 현실 비교,드라마 속 직업은 현실과 얼마나 다를까,compare,issue,드라마가 그리는 직업과 현실의 간극을 봅니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-tv-vs-ott-simulcast,01-drama,01,tv-vs-ott-simulcast,OTT 동시 공개 편성 차이,TV 편성과 OTT 동시 공개 무엇이 다를까,compare,compare,방영 방식별 공개 구조 차이를 비교합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-ost-title-finding,01-drama,01,ost-title-finding,드라마 OST 찾는 법,드라마 OST 제목 모를 때 찾는 방법,howto,tip,삽입곡 제목을 빠르게 찾는 도구를 안내합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-webtoon-adaptation-changes,01-drama,01,webtoon-adaptation-changes,웹툰 원작 각색 차이,웹툰 원작과 드라마 각색 어떻게 달라질까,info,review,원작과 드라마판의 각색 포인트를 살펴봅니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-first-episode-checklist,01-drama,01,first-episode-checklist,첫 화 판단 체크리스트,첫 화만 보고 정주행 결정하는 체크리스트,checklist,tip,첫 화에서 계속 볼지 판단하는 기준입니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-schedule-change-reasons,01-drama,01,schedule-change-reasons,드라마 결방 이유,드라마 결방과 편성 변경은 왜 생길까,info,tip,결방과 편성 변경이 생기는 구조를 설명합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-drama-kdrama-export-news,01-drama,01,kdrama-export-news,한국 드라마 해외 수출 소식,한국 드라마 해외 수출과 리메이크 소식,news,issue,해외로 수출된 드라마 소식을 정리합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-variety-show-audience-application,01-variety-show,01,audience-application,예능 방청 신청 방법,예능 프로그램 방청 신청하는 방법,howto,howto,공개 녹화 방청 신청 절차를 안내합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
01-variety-show-observational-vs-studio,01-variety-show,01,observational-vs-studio,관찰 예능 스튜디오 예능 차이,관찰 예능과 스튜디오 예능 무엇이 다를까,compare,compare,두 형식의 연출과 재미 포인트를 비교합니다.,claude_direct,2026-06-11T04:28:12.845975+00:00
