l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at,tier,quality_score,drop_reason
01-ent-news-2024-celebrity-personal-brand-analysis,01-ent-news,01,2024-celebrity-personal-brand-analysis,2024 연예인 persoonal 브랜드 분석,2024 연예인 personal 브랜드 분석과 전략,howto,tip,2024년 연예인의 personal 브랜드 분석과 전략,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,drop,0,korean_english_mix
01-variety-show-jtbc-new-variety-shows,01-variety-show,01,jtbc-new-variety-shows,JTBC 예능 프로그램 신작 정보,JTBC 예능 프로그램 신작 정보 2024,info,issue,2024년 JTBC 예능 프로그램 신작 정보 소개,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00,drop,0,korean_english_mix
01-variety-show-jtbc-variety-recommend,01-variety-show,01,jtbc-variety-recommend,JTBC 예능 프로그램 추천,JTBC 예능 프로그램 베스트 리스트,review,tip,JTBC 예능 프로그램 추천 리스트,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00,drop,0,korean_english_mix
01-variety-show-jtbc-variety-show-lineup,01-variety-show,01,jtbc-variety-show-lineup,JTBC 예능 프로그램 라인업,JTBC 예능 프로그램 라인업,info,issue,JTBC 예능 프로그램 라인업 제공,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00,drop,0,korean_english_mix
01-variety-show-jtbc-variety-shows-rating,01-variety-show,01,jtbc-variety-shows-rating,JTBC 예능 프로그램 시청률,JTBC 예능 프로그램 시청률 순위,info,review,JTBC 예능 프로그램 시청률 순위와 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00,drop,0,korean_english_mix
02-asset-management-nisa-asset-management,02-asset-management,02,nisa-asset-management,NISA 자산관리 전략,NISA를 활용한 자산 관리 전략과 팁,howto,tip,NISA로 자산을 관리하는 전략과 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,drop,0,korean_english_mix
02-financial-planning-methods-long-term-vs-short-term-stock-investment,02-financial-planning-methods,02,long-term-vs-short-term-stock-investment,주식 투자 장기 vs.short-term,"주식 투자 장기 vs. 단기, 어떤 것이 나을까?",compare,compare,주식 투자에서 장기와 단기의 장단점 비교,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,drop,0,korean_english_mix
02-global-economy-us-fed-policy-impact-korea,02-global-economy,02,us-fed-policy-impact-korea,미국 Fed 금리 policies,미국 Fed 금리 정책 변화와 한국 경제에 미치는 영향,info,issue,미국 연준의 최신 금리 정책이 한국 경제에 미치는 영향 분석,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,drop,0,korean_english_mix
02-inflation-free-child-club-inflation,02-inflation,02,free-child-club-inflation,물가 상승 무료 자녀동아리 추천,물가 상승 시 무료 자녀동아리와 교육법,review,review,물가 상승 시 무료 자녀동아리를 통한 교육 방법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,drop,0,mixed_topic
03-health-tips-office-exercise-tips,03-health-tips,03,office-exercise-tips,직장에서 Pohza 할 수 있는 운동,직장에서 Pohza 할 수 있는 간단한 운동 5가지,howto,howto,직장에서 간단하게 할 수 있는 Pohza 운동을 소개합니다.,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,drop,0,korean_english_mix
03-post-workout-recovery-bcaa-post-workout,03-post-workout-recovery,03,bcaa-post-workout,운동 후 BCAA 복용 방법,운동 후 BCAA 복용 시간과 양에 대한 가이드,howto,howto,운동 후 BCAA를 제대로 복용하는 방법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,drop,0,korean_english_mix
03-post-workout-recovery-bcaa-timing-dosage,03-post-workout-recovery,03,bcaa-timing-dosage,운동 후 근육 회복 BCAA 복용 시기,운동 후 근육 회복에 BCAA 복용 시기와 양,howto,tip,"운동 후 BCAA를 언제, 얼마나 복용해야 효과적인지",mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,drop,0,korean_english_mix
