l1_code,l1_name,rank,candidate_keyword,norm_stem,monthly_pc,monthly_mobile,monthly_total,comp_idx,depth,source_seed,is_new,note
02,금융·재테크,1,삼성전자주가,삼성전자주가,2654800,33252900,35907700,높음,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
02,금융·재테크,2,환율,환율,4881000,17480600,22361600,중간,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
05,스포츠,3,로또,로또,930300,15292400,16222700,높음,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
07,IT·테크,4,챗지피티,챗지피티,4676800,8357000,13033800,중간,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
05,스포츠,5,프로야구,프로야구,493300,7398900,7892200,낮음,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
05,스포츠,6,동행복권,동행복권,1282100,4502700,5784800,중간,1,05-world-cup|05-k-league|05-kbo-league|05-mlb-info|05-nba-info,Y,
02,금융·재테크,7,금시세,금시세,535900,4405200,4941100,중간,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
05,스포츠,8,KBO,KBO,751400,4165700,4917100,높음,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
02,금융·재테크,9,미국증시,미국증시,94600,4693200,4787800,높음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,10,달러환율,달러환율,599600,3966600,4566200,높음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
07,IT·테크,11,챗GPT,챗GPT,2070000,2383400,4453400,높음,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
02,금융·재테크,12,코스피지수,코스피지수,413700,3799400,4213100,높음,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
02,금융·재테크,13,나스닥선물,나스닥선물,499900,3199400,3699300,중간,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
05,스포츠,14,로또당첨번호,로또당첨번호,80600,3477500,3558100,중간,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
02,금융·재테크,15,미국환율,미국환율,301100,2859200,3160300,높음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
04,패션,16,금값시세,금값시세,145000,3004300,3149300,중간,1,04-guest-look|04-jewelry-watch|04-luxury-resell|04-maternity-wear,Y,
02,금융·재테크,17,나스닥,나스닥,254000,2018000,2272000,높음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,18,검색상위종목,검색상위종목,19700,2196600,2216300,중간,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,19,국제유가,국제유가,113900,2094900,2208800,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
07,IT·테크,20,비트코인시세,비트코인시세,180300,2015000,2195300,중간,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
07,IT·테크,21,CHATGPT,CHATGPT,1157000,978700,2135700,높음,1,07-digital-trend|07-it-news|07-iot|07-blockchain|07-software-review,Y,
07,IT·테크,22,쳇지피티,쳇지피티,728900,1261400,1990300,높음,1,07-printer-review|07-nas-review|07-ai-utilization|07-chatgpt-tips|07-data-backup,Y,
02,금융·재테크,23,코스닥,코스닥,349000,1411600,1760600,높음,1,02-etf-investment|02-dividend-stocks|02-tax-saving-methods|02-retirement-savings|02-irp-account,Y,
05,스포츠,24,야구일정,야구일정,95600,1509600,1605200,낮음,1,05-sports-news|05-soccer-analysis|05-baseball-info|05-international-sports|05-player-profile,Y,
02,금융·재테크,25,삼성전자주식,삼성전자주식,34200,1378700,1412900,높음,1,02-deposit-interest-rate|02-consumption-habits|02-household-book-keeping|02-us-stocks|02-kr-stocks,Y,
02,금융·재테크,26,국제금시세,국제금시세,88800,1282100,1370900,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
02,금융·재테크,27,원달러환율,원달러환율,148600,1201200,1349800,높음,1,02-financial-planning-methods|02-investment-products|02-asset-management|02-financial-news|02-economic-indicators,Y,
11,여행,28,대한항공,대한항공,538200,796400,1334600,높음,1,11-passport-issuance|11-flight-reservation|11-accommodation-reservation|11-travel-expenses|11-singapore-trip,Y,
02,금융·재테크,29,주식시세,주식시세,41600,1252000,1293600,높음,1,02-stock-investment|02-real-estate-market|02-interest-rate-info|02-inflation|02-economic-policy,Y,
