l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at,monthly_total,tier,meta_source
01-drama-kw-98af644a,01-drama,01,kw-98af644a,개봉예정영화,이번 달 놓치지 말아야 할 개봉예정영화 기대작 TOP 5,info,start,다음 달 극장가를 뜨겁게 달굴 개봉예정영화 라인업을 미리 확인해 보세요.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,1136100,hi,primary_gemini
01-drama-kw-905d688d,01-drama,01,kw-905d688d,영화순위,주말 극장가 점령한 현재 영화순위와 관람객 평가,info,issue,박스오피스 영화순위를 통해 현재 가장 인기 있는 작품들의 흥행 이유를 분석합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,1114600,hi,primary_gemini
01-reality-show-kw-d96be1da,01-reality-show,01,kw-d96be1da,멜론,멜론 이용권 할인받는 법과 차트 활용 꿀팁,howto,tip,멜론 음원 플랫폼을 더 알뜰하고 스마트하게 사용하는 방법을 소개합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,759400,hi,primary_gemini
01-style-kt-dd867a68,01-style,01,kt-dd867a68,KT,KT 멤버십 혜택 총정리: 영화부터 통신비 할인까지,info,tip,KT 사용자가 놓치면 손해인 멤버십 등급별 혜택과 활용법을 정리했습니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,436900,hi,primary_gemini
01-drama-kw-d6e7e1fd,01-drama,01,kw-d6e7e1fd,현재상영영화,오늘 뭐 볼까? 현재상영영화 예매율 및 장르별 추천,compare,review,현재상영영화 중 장르별로 취향에 맞는 작품을 골라 예매 정보를 안내합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,375900,hi,primary_gemini
01-k-pop-kw-0f0dde42,01-k-pop,01,kw-0f0dde42,토일드라마,주말을 책임질 화제의 토일드라마 라인업과 줄거리,info,issue,현재 방영 중인 토일드라마의 주요 내용과 시청 포인트를 요약합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,289800,hi,primary_gemini
01-celeb-diet-kw-c4078df4,01-celeb-diet,01,kw-c4078df4,헬스장,실패 없는 헬스장 고르는 법과 등록 전 체크리스트,checklist,howto,운동을 시작하려는 초보자를 위한 헬스장 선택 기준과 필수 확인 사항을 알려드립니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,252200,hi,primary_gemini
01-drama-kw-c8c7420b,01-drama,01,kw-c8c7420b,상영중인영화,상영중인영화 관람 전 꼭 확인해야 할 할인 카드 혜택,howto,tip,상영중인영화를 더 저렴하게 관람할 수 있는 각종 제휴 할인 정보를 공유합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,241100,hi,primary_gemini
01-k-pop-kw-c208d1e6,01-k-pop,01,kw-c208d1e6,카카오웹툰,카카오웹툰 입문자를 위한 장르별 추천작 베스트 10,info,start,카카오웹툰에서 정주행하기 좋은 인기 작품들을 장르별로 엄선했습니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,224000,hi,primary_gemini
01-k-pop-kw-d7f1f853,01-k-pop,01,kw-d7f1f853,수영,수영 초보를 위한 준비물과 기초 강습 팁,howto,start,수영을 처음 시작하는 분들을 위해 필요한 용품과 기초 수칙을 정리했습니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,181700,hi,primary_gemini
01-drama-kw-5670faae,01-drama,01,kw-5670faae,최신영화,이번 주 개봉한 최신영화 평점 및 관람 포인트,review,review,새로 개봉한 최신영화에 대한 솔직한 리뷰와 관람 가이드를 제공합니다.,gemini:gemini-3.1-flash-lite,2026-06-17T08:28:51.163364+00:00,147700,hi,primary_gemini
