l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at
08-treatment-information-treatment-overview,08-treatment-information,08,treatment-overview,피부과 시술 종류 한눈에,피부 시술 종류 가볍게 알기,info,start,시술 종류 안내입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-laser-toning,08-treatment-information,08,laser-toning,레이저 토닝 알아보기,레이저 토닝 어떤 시술일지 들여다보기,review,tip,레이저 토닝 정보입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-botox-vs-filler,08-treatment-information,08,botox-vs-filler,보톡스 필러 차이,보톡스와 필러 무엇이 다를까,compare,tip,보톡스 필러 비교입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-consultation-questions,08-treatment-information,08,consultation-questions,상담 때 질문 목록,시술 상담 때 물어볼 것들,checklist,tip,상담 질문 목록입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-pricing-structure,08-treatment-information,08,pricing-structure,시술 가격 구조 이해,시술 비용 왜 천차만별일까,cost,issue,시술 비용 구조입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-downtime-planning,08-treatment-information,08,downtime-planning,다운타임 뜻과 계획,다운타임 고려해 일정 잡기,info,tip,다운타임 이해입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-laser-hair-removal,08-treatment-information,08,laser-hair-removal,레이저 제모 정보,레이저 제모 미리 알아두기,info,tip,레이저 제모 정보입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-skin-boosters,08-treatment-information,08,skin-boosters,스킨부스터 이해,스킨부스터 어떤 원리일까,info,tip,스킨부스터 이해입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-lifting-types,08-treatment-information,08,lifting-types,리프팅 시술 종류,리프팅 시술 종류 구분,info,tip,리프팅 종류 구분입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-side-effects-awareness,08-treatment-information,08,side-effects-awareness,시술 부작용 알 권리,시술 전 알아야 할 부작용,info,issue,부작용 정보입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-clinic-selection,08-treatment-information,08,clinic-selection,피부과 고르는 기준,시술 받을 병원 고르기,info,tip,병원 선택 기준입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-maintenance-cycles,08-treatment-information,08,maintenance-cycles,시술 주기와 유지,시술 효과 유지 기간 이해,info,tip,시술 주기 이해입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-event-price-caution,08-treatment-information,08,event-price-caution,이벤트가 함정 주의,저가 이벤트 시술 따져보기,review,issue,이벤트가 주의점입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-terminology,08-treatment-information,08,terminology,헷갈리는 용어 풀이,시술 상담 용어 쉽게 풀이,info,tip,시술 용어 풀이입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-information-treatment-trends,08-treatment-information,08,treatment-trends,시술 트렌드 소식,요즘 많이 받는 시술 흐름,news,issue,시술 트렌드입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-reading-reviews,08-treatment-review,08,reading-reviews,시술 후기 읽는 법,시술 후기 똑똑하게 읽기,info,start,후기 읽는 법입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-viral-filtering,08-treatment-review,08,viral-filtering,병원 바이럴 구별,병원 바이럴 후기 구별하기,info,issue,바이럴 후기 구별입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-toning-experience,08-treatment-review,08,toning-experience,토닝 받아본 경험담,레이저 토닝 받아본 이야기,review,review,토닝 경험담입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-hair-removal-review,08-treatment-review,08,hair-removal-review,제모 시술 후기,레이저 제모 받은 후기,review,review,제모 시술 후기입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-before-after-skepticism,08-treatment-review,08,before-after-skepticism,전후 사진 믿을 수 있나,전후 사진 그대로 믿어도 될까,info,issue,전후 사진 판단입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-first-time-story,08-treatment-review,08,first-time-story,첫 시술 긴장담,시술 처음 받던 날 이야기,review,review,첫 시술 이야기입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-pain-honesty,08-treatment-review,08,pain-honesty,통증 후기 솔직하게,시술 통증 어느 정도였나,review,review,통증 솔직 후기입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-recovery-journal,08-treatment-review,08,recovery-journal,다운타임 회복 일지,시술 후 회복 과정 기록,review,review,회복 과정 기록입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-community-usage,08-treatment-review,08,community-usage,후기 커뮤니티 활용,시술 후기 커뮤니티 활용법,howto,tip,후기 커뮤니티 활용입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-satisfaction-regret,08-treatment-review,08,satisfaction-regret,만족 후회 갈린 시술,만족과 후회가 갈린 경험,review,issue,만족과 후회 경험입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-consultation-only,08-treatment-review,08,consultation-only,상담만 받은 이야기,상담만 받고 결정 미룬 이야기,review,review,상담 후 보류담입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-cost-disclosure,08-treatment-review,08,cost-disclosure,비용 공개 후기 보기,시술 비용 공개 후기 참고,cost,tip,비용 공개 후기입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-duration-experience,08-treatment-review,08,duration-experience,유지 기간 체감기,효과 얼마나 갔는지 체감담,review,review,유지 기간 체감담입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-multi-clinic-compare,08-treatment-review,08,multi-clinic-compare,병원 비교 상담기,병원 세 곳 상담 비교담,compare,review,병원 상담 비교담입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
08-treatment-review-aftercare-experience,08-treatment-review,08,aftercare-experience,시술 후 관리 경험,시술 후 관리 어떻게 했나,info,tip,시술 후 관리 경험입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
09-busan-food-pork-soup-intro,09-busan-food,09,pork-soup-intro,부산 돼지국밥 입문,부산 돼지국밥 처음 먹기,info,start,돼지국밥 입문입니다.,claude_direct,2026-06-12T06:41:15.826851+00:00
