l2_id,l1_code,l2_slug,name_ko,sort_order
01-diary,01,diary,일기·기록,1
01-work-life,01,work-life,직장인 일상,2
01-weekend,01,weekend,주말·휴일,3
01-mindfulness,01,mindfulness,마음챙김·명상,4
01-seasonal,01,seasonal,계절·명절 일상,5
01-home-cafe,01,home-cafe,홈카페·취미생활,6
01-gratitude,01,gratitude,감사·긍정,7
01-life-review,01,life-review,연말·월간 리뷰,8
02-habits,02,habits,습관 만들기,1
02-morning-routine,02,morning-routine,모닝 루틴,2
02-goals,02,goals,목표·플래너,3
02-reading,02,reading,독서·글쓰기,4
02-time-management,02,time-management,시간·우선순위,5
02-motivation,02,motivation,동기부여,6
02-digital-detox,02,digital-detox,디톡스·집중,7
02-life-tips,02,life-tips,생활 원칙,8
03-notion,03,notion,노션·위키,1
03-todo-apps,03,todo-apps,할일·캘린더 앱,2
03-automation,03,automation,자동화·매크로,3
03-note-taking,03,note-taking,메모·PKM,4
03-workspace,03,workspace,책상·장비,5
03-study-workflow,03,study-workflow,공부·업무 흐름,6
03-templates,03,templates,템플릿·세팅,7
03-tools-review,03,tools-review,생산성 도구 리뷰,8
04-declutter,04,declutter,정리·버리기,1
04-storage,04,storage,수납·정리함,2
04-minimal-living,04,minimal-living,미니멀 라이프,3
04-closet,04,closet,옷장·의류 정리,4
04-kitchen-organize,04,kitchen-organize,주방 정리,5
04-small-space,04,small-space,좁은 집 정리,6
04-capsule,04,capsule,캡슐·소비 줄이기,7
04-before-after,04,before-after,정리 전후,8
05-friends,05,friends,친구·지인,1
05-workplace,05,workplace,직장 관계,2
05-boundaries,05,boundaries,거리두기·경계,3
05-communication,05,communication,대화·표현,4
05-conflict,05,conflict,갈등·화해,5
05-introvert,05,introvert,내향·소규모,6
05-networking,05,networking,네트워킹·모임,7
05-etiquette,05,etiquette,매너·예절,8
06-dating-tips,06,dating-tips,연애 팁,1
06-first-date,06,first-date,첫 데이트,2
06-apps,06,apps,소개팅·앱,3
06-long-distance,06,long-distance,장거리 연애,4
06-breakup,06,breakup,이별·정리,5
06-anniversary,06,anniversary,기념일·선물,6
06-compatibility,06,compatibility,궁합·성향,7
06-couple-life,06,couple-life,커플 일상,8
07-preparation,07,preparation,결혼 준비,1
07-wedding-hall,07,wedding-hall,웨딩홀·예식,2
07-studio-dress,07,studio-dress,스드메·드레스,3
07-honeymoon,07,honeymoon,신혼여행,4
07-gift-money,07,gift-money,예물·혼수,5
07-invitation,07,invitation,청첩·초대,6
07-newlywed-home,07,newlywed-home,신혼집,7
07-parents-meeting,07,parents-meeting,상견례,8
08-divorce-process,08,divorce-process,이혼·절차,1
08-single-life,08,single-life,싱글 라이프,2
08-remarriage,08,remarriage,재혼,3
08-co-parenting,08,co-parenting,양육·공동,4
08-emotional-healing,08,emotional-healing,회복·심리,5
08-legal-basics,08,legal-basics,이혼 법 기초,6
08-dating-after,08,dating-after,재연애,7
08-living-alone,08,living-alone,혼자 살기,8
09-budget,09,budget,가계부·예산,1
09-saving-challenge,09,saving-challenge,절약 챌린지,2
09-frugal-living,09,frugal-living,알뜰 생활,3
09-coupons-deals,09,coupons-deals,쿠폰·할인,4
