l2_id,l1_code,l2_slug,name_ko,description,sort_order,model,generated_at
01-drama,01,drama,드라마,드라마 줄거리·시청·OTT 관련 글,1,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-variety-show,01,variety-show,예능,예능 프로그램 리뷰·정보,2,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-celebrity,01,celebrity,연예인 프로필,연예인 이슈·인터뷰·프로필,3,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-music,01,music,음악,가요·음악 트렌드·신곡 정보,4,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-movie,01,movie,영화,한국 영화 리뷰·정보,5,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-style,01,style,스타일,연예인 패션·뷰티 트렌드,6,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-interview,01,interview,인터뷰,연예인 인터뷰·현장 스토리,7,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-broadcast,01,broadcast,방송,TV 방송 프로그램 리뷰·정보,8,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-fandom,01,fandom,팬덤,아이돌·연예인 팬덤 문화,9,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-event,01,event,이벤트,연예계 행사·이벤트 소식,10,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-photo-essay,01,photo-essay,화보,연예인 화보·사진집,11,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-award,01,award,수상,연예계 시상식·수상 소식,12,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-comeback,01,comeback,컴백,아이돌·연예인 컴백 소식,13,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-stargram,01,stargram,스타 SNS,연예인 SNS·일상·화제 모음,14,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-ent-news,01,ent-news,연예뉴스,연예인 이슈·화제·인터뷰 모음,15,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
01-k-pop,01,k-pop,K-POP,"K-POP 아티스트의 앨범, 콘서트, 활동 소식 등 음악 콘텐츠 정보를 다룹니다.",16,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-ott-recommend,01,ott-recommend,OTT 추천,"넷플릭스, 티빙 등 OTT 플랫폼별 인기 콘텐츠 추천 및 리뷰 정보를 제공합니다.",17,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-webtoon-recommend,01,webtoon-recommend,웹툰 추천,장르별 웹툰 추천과 작가 및 연재 플랫폼 정보를 공유합니다.,18,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-music-chart,01,music-chart,가요 차트,주요 음원 사이트의 가요 차트 순위와 관련 가수 정보를 분석합니다.,20,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-concert-info,01,concert-info,콘서트 정보,"공연 일정, 티켓팅 팁, 관람 후기 등 콘서트 관련 실용 정보를 제공합니다.",21,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-actor-filmography,01,actor-filmography,배우 필모그래피,배우별 출연 영화 및 드라마 작품 활동을 상세히 기록합니다.,25,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-kpop-merchandise,01,kpop-merchandise,아이돌 굿즈,아이돌 공식 굿즈 정보와 구매처 및 언박싱 후기를 다룹니다.,26,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-kpop-fansign,01,kpop-fansign,아이돌 팬사인회,아이돌 팬사인회 응모 방법과 현장 후기 정보를 공유합니다.,27,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-netflix-drama,01,netflix-drama,넷플릭스 드라마,넷플릭스 오리지널 드라마의 정보와 추천 리뷰를 다룹니다.,28,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-ost,01,ost,드라마 OST,드라마의 인기 OST 정보와 가수 및 감상 포인트를 소개합니다.,29,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-reality-show,01,reality-show,리얼리티 예능,관찰 예능 및 리얼리티 프로그램의 출연진과 주요 에피소드를 다룹니다.,30,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-k-movie,01,k-movie,한국 영화,한국 영화의 개봉 소식과 리뷰 및 관련 정보를 다룹니다.,31,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-foreign-drama,01,foreign-drama,해외 드라마,"미드, 일드, 중드 등 해외 드라마의 추천 및 시청 정보를 제공합니다.",32,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-celeb-youtube,01,celeb-youtube,연예인 유튜브,연예인이 운영하는 유튜브 채널의 콘텐츠와 소식을 다룹니다.,33,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-music-show,01,music-show,음악방송,음악방송 출연진과 순위 및 무대 정보를 다룹니다.,34,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-celeb-diet,01,celeb-diet,연예인 다이어트,연예인들의 다이어트 식단과 운동법 등 건강 관리 정보를 다룹니다.,36,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-celeb-wedding,01,celeb-wedding,연예인 결혼,연예인들의 결혼 소식과 웨딩 화보 및 관련 이슈를 다룹니다.,37,scout+gemini,2026-06-05T07:20:10.657415+00:00
01-mc,01,mc,예능 MC,예능 프로그램의 진행자 정보와 활약상을 다룹니다.,39,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-stock-investment,02,stock-investment,주식 투자,주식 시장 분석 및 투자 전략,1,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-real-estate-market,02,real-estate-market,부동산 시장,부동산 시장 동향 및 투자 팁,2,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-interest-rate-info,02,interest-rate-info,금리 정보,금리 변동 및 경제 영향 분석,3,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-inflation,02,inflation,물가 상승,물가 상승률 및 생활 물가 팁,4,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-economic-policy,02,economic-policy,경제 정책,정부 경제 정책 및 영향 분석,5,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-financial-planning-methods,02,financial-planning-methods,재테크 방법,실용적인 재테크 전략,6,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-investment-products,02,investment-products,투자 상품,다양한 투자 상품 분석,7,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-asset-management,02,asset-management,자산 관리,자산 관리 전략 및 팁,8,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-financial-news,02,financial-news,금융 뉴스,최신 금융 뉴스 및 분석,9,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-economic-indicators,02,economic-indicators,경제 지표,주요 경제 지표 분석,10,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-global-economy,02,global-economy,글로벌 경제,글로벌 경제 동향 및 영향,11,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-tax-info,02,tax-info,세금 정보,세금 제도 및 절세 팁,12,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-financial-planning,02,financial-planning,재무 설계,개인의 재무 설계 전략,13,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-economic-knowledge,02,economic-knowledge,경제 상식,알면 좋은 경제 상식 모음,14,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-retech-strategy,02,retech-strategy,재테크 전략,실용적인 재테크 방법과 전략 관련 글,15,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
02-etf-investment,02,etf-investment,ETF 투자,상장지수펀드(ETF)의 개념부터 종목 분석 및 투자 전략을 다룹니다.,17,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-dividend-stocks,02,dividend-stocks,배당주,배당 수익을 목적으로 하는 투자 전략과 우량 배당주 정보를 공유합니다.,18,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-tax-saving-methods,02,tax-saving-methods,절세 방법,금융 및 일상생활에서 활용 가능한 합법적인 세금 절약 노하우를 제공합니다.,20,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-retirement-savings,02,retirement-savings,연금저축,노후 대비를 위한 연금저축 계좌의 운용 및 세액공제 혜택을 설명합니다.,21,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-irp-account,02,irp-account,IRP 계좌,"개인형 퇴직연금(IRP) 계좌의 개설, 운용 및 절세 활용법을 다룹니다.",22,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-real-estate-subscription,02,real-estate-subscription,부동산 청약,아파트 청약 자격 조건과 당첨 전략 및 분양 정보를 안내합니다.,23,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-lease-vs-rent,02,lease-vs-rent,전세 vs 월세,주거 형태별 장단점 비교와 상황에 맞는 임대차 계약 전략을 제시합니다.,24,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-loan-interest-rate,02,loan-interest-rate,대출 금리,주택담보대출 및 신용대출 금리 동향과 이자 부담을 줄이는 방법을 다룹니다.,25,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-credit-score,02,credit-score,신용점수,신용점수 산정 원리와 점수를 올리기 위한 효율적인 관리법을 공유합니다.,26,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-credit-card-benefits,02,credit-card-benefits,카드 혜택,신용카드 및 체크카드의 주요 혜택과 체리피킹 전략을 분석합니다.,27,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-budget-friendly-phone,02,budget-friendly-phone,알뜰폰,통신비 절감을 위한 알뜰폰 요금제 비교 및 가입 정보를 제공합니다.,28,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-communication-cost-saving,02,communication-cost-saving,통신비 절약,결합 할인 및 요금제 최적화를 통해 고정 통신비를 줄이는 팁을 다룹니다.,29,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-living-cost-saving,02,living-cost-saving,생활비 절약,"앱테크, 포인트 활용 등 일상 속에서 생활비를 아끼는 실천법을 공유합니다.",30,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-exchange-rate-info,02,exchange-rate-info,환율 정보,환율 변동 추이와 외화 투자 및 환전 시 유리한 타이밍을 분석합니다.,31,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-cryptocurrency-intro,02,cryptocurrency-intro,코인 입문,가상자산 시장의 기초 개념과 안전한 거래소 이용법을 안내합니다.,32,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-deposit-interest-rate,02,deposit-interest-rate,예적금 정보,은행별 예금 금리 비교와 이자 수익을 극대화하는 예치 전략을 공유합니다.,33,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-consumption-habits,02,consumption-habits,소비습관,지출을 통제하고 올바른 경제 관념을 세우기 위한 소비 습관 교정법을 다룹니다.,35,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-household-book-keeping,02,household-book-keeping,가계부 작성,가계부 작성법과 이를 통한 자산 흐름 파악 및 예산 관리법을 공유합니다.,36,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-us-stocks,02,us-stocks,미국 주식,미국 시장의 주요 지수와 유망 종목 분석 및 투자 정보를 다룹니다.,37,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-kr-stocks,02,kr-stocks,국내 주식,국내 증시 현황과 개별 종목 분석 및 투자 전략을 공유합니다.,38,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-inheritance-donation,02,inheritance-donation,상속 증여,상속세와 증여세의 기본 개념 및 사전 대비를 위한 절세 전략을 안내합니다.,39,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-unemployment-benefits,02,unemployment-benefits,실업급여,실업급여 수급 자격 확인과 신청 절차 및 수령 방법을 상세히 안내합니다.,40,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-youth-jump-account,02,youth-jump-account,청년 도약계좌,청년 도약계좌의 가입 조건과 혜택 및 운용 방법을 정리합니다.,41,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-gov-support-money,02,gov-support-money,정부지원금,개인이 받을 수 있는 각종 정부 보조금과 지원 정책 정보를 제공합니다.,42,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-small-business-support,02,small-business-support,소상공인 지원,소상공인을 위한 정부 지원 정책과 금융 혜택 정보를 다룹니다.,43,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-startup-funding,02,startup-funding,창업 자금,창업을 위한 정부 지원 사업과 대출 및 투자 유치 방법을 안내합니다.,44,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-freelancer-tax,02,freelancer-tax,프리랜서 세금,프리랜서의 종합소득세 신고와 사업소득세 절세 전략을 다룹니다.,45,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-year-end-tax-adjustment,02,year-end-tax-adjustment,연말정산,연말정산 공제 항목 확인과 환급금을 높이는 절세 전략을 공유합니다.,46,scout+gemini,2026-06-05T07:20:10.657415+00:00
02-insurance-info,02,insurance-info,보험 정보,"실손·보장성 보험의 청구, 약관, 비교, 제도 등 보험 일반 정보. 자동차보험(06)·펫보험(13)은 제외.",79,claude_direct,2026-06-12T02:03:49.266181+00:00
02-pension-system,02,pension-system,연금 제도,"국민·퇴직·기초·주택연금 등 연금 제도와 실무 절차. 연금저축 등 금융상품은 02-연금저축, 노후 설계는 02-재무 설계 담당.",80,claude_direct,2026-06-12T02:03:49.266188+00:00
03-diet-meal-plan,03,diet-meal-plan,다이어트 식단,건강한 다이어트를 위한 식단 관리 팁,1,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-exercise-routine,03,exercise-routine,운동 루틴,효과적인 운동 루틴으로 건강한 삶 유지,2,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-supplement-guide,03,supplement-guide,영양제 정보,다양한 영양제에 대한 상세 정보 제공,3,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-disease-prevention,03,disease-prevention,질병 예방,건강한 생활을 위한 질병 예방법 공유,4,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-sleep-health,03,sleep-health,수면 건강,질 좋은 수면을 위한 팁과 정보,5,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-weight-management,03,weight-management,체중 관리,효과적인 체중 관리를 위한 다양한 방법,6,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-fitness,03,fitness,피트니스,전문적인 피트니스 트레이닝과 운동법,8,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-healthy-diet,03,healthy-diet,건강 식단,건강을 위한 균형 잡힌 식단 아이디어,10,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-post-workout-recovery,03,post-workout-recovery,운동 후 회복,운동 후 빠른 회복을 위한 팁과 방법,11,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-mental-wellness,03,mental-wellness,멘탈 케어,정신 건강을 위한 스트레스 관리와 팁,13,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-health-information,03,health-information,건강 상식,다양한 건강 관련 정보와 소식,14,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-lifestyle-habits,03,lifestyle-habits,생활 습관,건강한 생활을 위한 일상 습관 개선 팁,15,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
03-home-training,03,home-training,홈트레이닝,집에서 효율적으로 수행할 수 있는 운동 루틴과 실전 가이드를 제공합니다.,16,scout+gemini,2026-06-05T07:20:10.657415+00:00
03-yoga-beginner,03,yoga-beginner,요가 입문,초보자를 위한 요가 기본 동작과 수련 팁을 체계적으로 안내합니다.,17,scout+gemini,2026-06-05T07:20:10.657415+00:00
03-pilates,03,pilates,필라테스,체형 교정과 근력 강화를 위한 필라테스 동작 및 관련 정보를 공유합니다.,18,scout+gemini,2026-06-05T07:20:10.657415+00:00
03-stretching,03,stretching,스트레칭,부상 방지와 유연성 향상을 위한 부위별 스트레칭 방법을 다룹니다.,19,scout+gemini,2026-06-05T07:20:10.657415+00:00
03-protein-diet,03,protein-diet,단백질 식단,근성장과 체중 조절을 돕는 고단백 식단 구성법과 레시피를 소개합니다.,21,scout+gemini,2026-06-05T07:20:10.657415+00:00
03-intermittent-fasting,03,intermittent-fasting,간헐적 단식,간헐적 단식의 올바른 방법과 주의사항 및 실천 팁을 다룹니다.,22,scout+gemini,2026-06-05T07:20:10.657415+00:00
03-low-sodium-diet,03,low-sodium-diet,저염 식단,나트륨 섭취를 줄이고 건강을 유지하는 저염 식단 관리법을 공유합니다.,23,scout+gemini,2026-06-05T07:20:10.657415+00:00
03-blood-sugar-management,03,blood-sugar-management,혈당 관리,식습관 개선을 통한 혈당 조절 방법과 관련 건강 정보를 제공합니다.,24,scout+gemini,2026-06-05T07:20:10.657415+00:00
03-cholesterol-management,03,cholesterol-management,콜레스테롤 관리,콜레스테롤 수치 개선을 위한 식단 관리와 생활 습관 정보를 다룹니다.,25,scout+gemini,2026-06-05T07:20:10.657415+00:00
03-back-joint-health,03,back-joint-health,허리·관절 건강,허리·무릎·어깨·손목 등 부위별 관절 관리 생활 정보. 자세 습관은 03-바른 자세 교정 담당.,81,claude_direct,2026-06-12T02:03:49.266191+00:00
03-eye-health,03,eye-health,눈 건강,"눈 피로, 건조, 시력 관리, 보호 습관 등 눈 건강 생활 정보.",82,claude_direct,2026-06-12T02:03:49.266193+00:00
03-health-checkup,03,health-checkup,건강검진 가이드,"국가·직장 건강검진의 대상, 준비, 결과 해석, 비용 등 검진 실무 정보.",83,claude_direct,2026-06-12T02:03:49.266195+00:00
03-immunity-care,03,immunity-care,면역력 관리,면역과 생활 요소(수면·스트레스·운동)의 관계 정보. 감염병 예방 수칙은 03-질병 예방 담당.,84,claude_direct,2026-06-12T02:03:49.266198+00:00
03-mens-health,03,mens-health,남성 건강,"남성 갱년기, 전립선, 탈모 등 남성 특화 건강 생활 정보.",85,claude_direct,2026-06-12T02:03:49.266199+00:00
03-oral-health,03,oral-health,구강 건강,"양치, 치실, 스케일링, 치과 검진 등 구강 관리 생활 정보.",86,claude_direct,2026-06-12T02:03:49.266201+00:00
03-posture-care,03,posture-care,바른 자세 교정,"거북목, 라운드숄더, 앉는 자세 등 자세 습관 교정 정보. 부위 통증 관리는 03-허리·관절 담당.",87,claude_direct,2026-06-12T02:03:49.266203+00:00
03-quit-smoking-drinking,03,quit-smoking-drinking,금연·금주,"금연·절주 도전과 지원 제도, 습관 전환 정보.",88,claude_direct,2026-06-12T02:03:49.266205+00:00
03-senior-health,03,senior-health,시니어 건강,"어르신 낙상 예방, 복약 관리, 검진, 돌봄 등 시니어 건강 생활 정보.",89,claude_direct,2026-06-12T02:03:49.266207+00:00
03-womens-health,03,womens-health,여성 건강,"생리 주기, 갱년기, 여성 검진 등 여성 특화 건강 생활 정보.",90,claude_direct,2026-06-12T02:03:49.266209+00:00
04-womens-fashion,04,womens-fashion,여성의류,여성의류 트렌드 및 쇼핑 정보,1,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-mens-fashion,04,mens-fashion,남성의류,남성의류 트렌드 및 쇼핑 정보,2,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-kids-fashion,04,kids-fashion,아동복,아동복 트렌드 및 쇼핑 정보,3,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-handbags,04,handbags,가방,가방 트렌드 및 쇼핑 정보,4,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-shoes,04,shoes,신발,신발 트렌드 및 쇼핑 정보,5,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-accessories,04,accessories,액세서리,액세서리 트렌드 및 쇼핑 정보,6,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-fashion-trends,04,fashion-trends,패션 트렌드,최신 패션 트렌드 및 이슈,8,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-shopping-guide,04,shopping-guide,쇼핑 가이드,패션 쇼핑 가이드 및 추천,9,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-styling,04,styling,스타일링,패션 스타일링 팁 및 아이디어,10,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-fashion-items,04,fashion-items,패션 아이템,패션 아이템 리뷰 및 정보,11,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-brand-reviews,04,brand-reviews,브랜드 리뷰,패션 브랜드 리뷰 및 정보,12,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-fashion-news,04,fashion-news,패션 뉴스,패션 뉴스 및 이슈,13,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-minimal-fashion,04,minimal-fashion,미니멀 패션,미니멀 패션 팁 및 아이디어,14,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-sustainable-fashion,04,sustainable-fashion,지속가능 패션,지속가능 패션 팁 및 아이디어,15,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T08:38:31.955175+00:00
04-spring-outfit,04,spring-outfit,봄 코디,봄 시즌에 어울리는 의류 조합과 스타일링 팁을 공유합니다.,16,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-summer-outfit,04,summer-outfit,여름 코디,여름철 시원하고 세련된 옷차림을 위한 스타일링 가이드를 제공합니다.,17,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-autumn-outfit,04,autumn-outfit,가을 코디,가을 분위기를 살리는 레이어드 및 의류 매치 방법을 제안합니다.,18,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-winter-outfit,04,winter-outfit,겨울 코디,겨울철 보온성과 스타일을 모두 잡는 코디법을 소개합니다.,19,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-transitional-season-outfit,04,transitional-season-outfit,환절기 코디,날씨 변화가 잦은 환절기에 활용하기 좋은 옷차림 전략을 다룹니다.,20,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-office-wear,04,office-wear,오피스룩,직장인을 위한 단정하고 세련된 비즈니스 캐주얼 스타일링을 제안합니다.,21,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-date-night-outfit,04,date-night-outfit,데이트룩,특별한 날 분위기를 돋보이게 할 데이트 스타일링 팁을 공유합니다.,22,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-casual-outfit,04,casual-outfit,캐주얼 코디,일상에서 편안하게 연출할 수 있는 캐주얼 패션 아이디어를 다룹니다.,23,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-street-fashion,04,street-fashion,스트릿 패션,개성 넘치는 스트릿 스타일의 최신 트렌드와 코디법을 소개합니다.,24,scout+gemini,2026-06-05T07:20:10.657415+00:00
04-vintage-fashion,04,vintage-fashion,빈티지 패션,빈티지 아이템을 활용한 감각적인 스타일링 노하우를 공유합니다.,25,scout+gemini,2026-06-05T07:20:10.657415+00:00
