l2_id,l1_code,l2_slug,name_ko,description,sort_order,l2_type,expansion_axis,target_l3,wave,model_scout,model_gemini,generated_at
01-k-pop,01,k-pop,K-POP,"K-POP 아티스트의 앨범, 콘서트, 활동 소식 등 음악 콘텐츠 정보를 다룹니다.",16,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-ott-recommend,01,ott-recommend,OTT 추천,"넷플릭스, 티빙 등 OTT 플랫폼별 인기 콘텐츠 추천 및 리뷰 정보를 제공합니다.",17,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-webtoon-recommend,01,webtoon-recommend,웹툰 추천,장르별 웹툰 추천과 작가 및 연재 플랫폼 정보를 공유합니다.,18,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-idol-news,01,idol-news,아이돌 소식,"아이돌 그룹의 데뷔, 컴백, 활동 등 최신 소식을 전달합니다.",19,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-music-chart,01,music-chart,가요 차트,주요 음원 사이트의 가요 차트 순위와 관련 가수 정보를 분석합니다.,20,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-concert-info,01,concert-info,콘서트 정보,"공연 일정, 티켓팅 팁, 관람 후기 등 콘서트 관련 실용 정보를 제공합니다.",21,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-celebrity-gossip,01,celebrity-gossip,연예 가십,"연예계의 이슈, 스캔들, 루머 등 화제가 되는 소식을 다룹니다.",22,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-awards,01,awards,시상식,국내외 연예계 시상식 소식과 수상자 및 후보 정보를 정리합니다.,23,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-kpop-concert,01,kpop-concert,아이돌 콘서트,아이돌 그룹의 단독 콘서트 일정과 티켓팅 및 관람 가이드를 제공합니다.,24,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-actor-filmography,01,actor-filmography,배우 필모그래피,배우별 출연 영화 및 드라마 작품 활동을 상세히 기록합니다.,25,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-kpop-merchandise,01,kpop-merchandise,아이돌 굿즈,아이돌 공식 굿즈 정보와 구매처 및 언박싱 후기를 다룹니다.,26,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-kpop-fansign,01,kpop-fansign,아이돌 팬사인회,아이돌 팬사인회 응모 방법과 현장 후기 정보를 공유합니다.,27,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-netflix-drama,01,netflix-drama,넷플릭스 드라마,넷플릭스 오리지널 드라마의 정보와 추천 리뷰를 다룹니다.,28,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-ost,01,ost,드라마 OST,드라마의 인기 OST 정보와 가수 및 감상 포인트를 소개합니다.,29,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-reality-show,01,reality-show,리얼리티 예능,관찰 예능 및 리얼리티 프로그램의 출연진과 주요 에피소드를 다룹니다.,30,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-k-movie,01,k-movie,한국 영화,한국 영화의 개봉 소식과 리뷰 및 관련 정보를 다룹니다.,31,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-foreign-drama,01,foreign-drama,해외 드라마,"미드, 일드, 중드 등 해외 드라마의 추천 및 시청 정보를 제공합니다.",32,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-celeb-youtube,01,celeb-youtube,연예인 유튜브,연예인이 운영하는 유튜브 채널의 콘텐츠와 소식을 다룹니다.,33,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-music-show,01,music-show,음악방송,음악방송 출연진과 순위 및 무대 정보를 다룹니다.,34,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
01-variety-highlight,01,variety-highlight,예능 명장면,예능 프로그램의 화제 된 명장면과 클립 정보를 다룹니다.,35,topic,연예 세분,15,3,meta-llama/llama-4-scout-17b-16e-instruct,gemini-3.1-flash-lite,2026-06-05T07:20:10.657415+00:00
