l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at,tier,quality_score,drop_reason
02-budget-friendly-phone-aldeulpon-esim-for-travel,02-budget-friendly-phone,02,aldeulpon-esim-for-travel,여행용 eSIM 알뜰폰,여행용 eSIM 알뜰폰 추천,info,tip,여행용 eSIM 알뜰폰 정보,slot_2step,2026-06-08T12:09:10.286006+00:00,drop,0,korean_english_mix
02-consumption-habits-real-estate-investing-for-beginners,02-consumption-habits,02,real-estate-investing-for-beginners,부동산 투자 beginner,부동산 투자 초보자를 위한 가이드,info,tip,부동산 투자 초보자를 위한 가이드를 제공합니다.,slot_2step,2026-06-08T12:11:26.397866+00:00,drop,0,korean_english_mix
04-spring-outfit-yeohaeng-bom-ot-packing,04-spring-outfit,04,yeohaeng-bom-ot-packing,여행 봄 옷 packing,여행 봄 옷 packing 완벽 가이드,howto,tip,여행을 위한 봄 옷 packing 완벽 가이드,slot_2step,2026-06-08T12:17:31.952349+00:00,drop,0,korean_english_mix
07-chatgpt-tips-chatgpt-business-application-case,07-chatgpt-tips,07,chatgpt-business-application-case,ChatGPT 비즈니스 적용 사례,ChatGPT 비즈니스 활용 사례와 효과적인 적용 방법,info,tip,비즈니스 분야에서 ChatGPT를 성공적으로 적용한 사례와 노하우를 공유합니다.,slot_2step,2026-06-09T02:27:11.106214+00:00,drop,0,korean_english_mix
07-chatgpt-tips-chatgpt-dae-beob-an-gang,07-chatgpt-tips,07,chatgpt-dae-beob-an-gang,ChatGPT 답변 분석하기,ChatGPT 답변 분석하는 법,info,tip,ChatGPT 답변을 효과적으로 분석하는 방법,slot_2step,2026-06-09T02:27:11.106214+00:00,drop,0,korean_english_mix
11-esim-guide-baby-overseas-travel-esim-setup,11-esim-guide,11,baby-overseas-travel-esim-setup,아기 해외여행 esim 설정,아기 해외여행 esim 설정 가이드,howto,tip,아기 해외여행을 위한 esim 설정 방법을 설명합니다.,slot_2step,2026-06-10T06:32:51.930668+00:00,drop,0,korean_english_mix
11-esim-guide-camping-travel-esim-recommendation,11-esim-guide,11,camping-travel-esim-recommendation,캠핑 여행 esim 추천 옵션,캠핑 여행 esim 추천 가이드,info,tip,캠핑 여행을 위한 esim 추천 옵션을 제공합니다.,slot_2step,2026-06-10T06:32:51.930668+00:00,drop,0,korean_english_mix
11-esim-guide-esim-for-senior-travelers,11-esim-guide,11,esim-for-senior-travelers,노인 여행자 esim 추천,노인 여행자를 위한 esim 가이드,info,tip,노인 여행자를 위한 esim 추천 및 가이드를 제공합니다.,slot_2step,2026-06-10T06:32:51.930668+00:00,drop,0,korean_english_mix
11-esim-guide-esim-purchase-checklist,11-esim-guide,11,esim-purchase-checklist,esim 구매전 체크리스트,eSIM 구매 전 체크리스트,info,tip,eSIM 구매 전 확인해야 할 사항을 알려드립니다.,slot_2step,2026-06-09T03:27:04.170652+00:00,drop,0,korean_english_mix
11-esim-guide-guide-to-buying-esim-for-foreign-travel,11-esim-guide,11,guide-to-buying-esim-for-foreign-travel,해외 esim 구매 가이드,해외여행 필수 eSIM 구매 가이드,info,tip,해외여행을 위한 eSIM 구매 방법과 설정법을 상세히 설명합니다.,slot_2step,2026-06-09T03:27:04.170652+00:00,drop,0,korean_english_mix
11-esim-guide-in-flight-esim-usage,11-esim-guide,11,in-flight-esim-usage,기내 esim 사용 방법,기내 esim 사용법 가이드,howto,tip,기내에서 esim을 사용하는 방법을 설명합니다.,slot_2step,2026-06-10T06:32:51.930668+00:00,drop,0,korean_english_mix
11-esim-guide-overseas-travel-esim-preparation,11-esim-guide,11,overseas-travel-esim-preparation,해외여행 esim 준비물 체크,해외여행 esim 준비물 가이드,info,tip,해외여행을 위한 esim 준비물을 상세히 안내합니다.,slot_2step,2026-06-10T06:32:51.930668+00:00,drop,0,korean_english_mix
11-esim-guide-recommended-esim-for-foreign-travel,11-esim-guide,11,recommended-esim-for-foreign-travel,해외여행 esim 추천,해외여행 eSIM 추천합니다,info,tip,해외여행을 위한 최고의 eSIM을 추천해드립니다.,slot_2step,2026-06-09T03:27:04.170652+00:00,drop,0,korean_english_mix
11-esim-guide-travel-esim-rate-plan-comparison,11-esim-guide,11,travel-esim-rate-plan-comparison,여행 esim 요금제 비교분석,여행 esim 요금제 비교 가이드,info,tip,다양한 여행 esim 요금제를 비교 분석하여 제공합니다.,slot_2step,2026-06-10T06:32:51.930668+00:00,drop,0,korean_english_mix
11-esim-guide-travel-insurance-esim-relationship,11-esim-guide,11,travel-insurance-esim-relationship,여행 보험과 esim 관계,여행 보험과 eSIM 관계 알아보기,info,tip,여행 보험과 eSIM의 관계를 이해하고 안전하게 해외여행을 즐기세요.,slot_2step,2026-06-10T06:32:51.930668+00:00,drop,0,korean_english_mix
01-drama-actor-actor-drama-filmography,01-drama-actor,01,actor-drama-filmography,배우 드라마 작품 목록,배우 드라마 필모그래피,info,tip,배우들의 드라마 작품 목록을 제공합니다.,slot_2step,2026-06-08T12:05:06.063696+00:00,drop,62,duplicate_slug
01-kpop-concert-concert-venue-food-policy,01-kpop-concert,01,concert-venue-food-policy,콘서트장 음식물,콘서트장 음식물 반입 가이드,info,tip,콘서트장 음식물 반입 정책을 알려드립니다.,slot_2step,2026-06-08T12:00:58.074169+00:00,drop,57,duplicate_slug
01-kpop-concert-concert-venue-parking-info,01-kpop-concert,01,concert-venue-parking-info,콘서트장 주차,콘서트장 주차 정보 총정리,info,tip,콘서트장 주차 정보를 알려드립니다.,slot_2step,2026-06-08T12:00:58.074169+00:00,drop,57,duplicate_slug
01-ott-recommend-netflix-drama-recommendation,01-ott-recommend,01,netflix-drama-recommendation,넷플릭스 드라마 추천,넷플릭스 신작 드라마 추천 리스트,info,tip,넷플릭스에서 볼 수 있는 최신 드라마 추천 정보를 제공합니다.,slot_2step,2026-06-08T11:59:06.803226+00:00,drop,58,duplicate_slug
