scenario,action,l2_id,l1_code,name_ko,merge_target_l2_id,new_value,note
A,keep,01-drama,01,드라마,,,
A,keep,01-variety-show,01,예능,,,
A,rename,01-celebrity,01,연예인,,연예인 프로필,
A,keep,01-music,01,음악,,,
A,keep,01-movie,01,영화,,,
A,keep,01-style,01,스타일,,,
A,keep,01-interview,01,인터뷰,,,
A,keep,01-broadcast,01,방송,,,
A,keep,01-fandom,01,팬덤,,,
A,keep,01-event,01,이벤트,,,
A,keep,01-photo-essay,01,화보,,,
A,keep,01-award,01,수상,,,
A,keep,01-comeback,01,컴백,,,
A,rename,01-stargram,01,스타그램,,스타 SNS,
A,keep,01-ent-news,01,연예뉴스,,,
A,keep,02-stock-investment,02,주식 투자,,,
A,keep,02-real-estate-market,02,부동산 시장,,,
A,keep,02-interest-rate-info,02,금리 정보,,,
A,keep,02-inflation,02,물가 상승,,,
A,keep,02-economic-policy,02,경제 정책,,,
A,keep,02-financial-planning-methods,02,재테크 방법,,,
A,keep,02-investment-products,02,투자 상품,,,
A,keep,02-asset-management,02,자산 관리,,,
A,keep,02-financial-news,02,금융 뉴스,,,
A,keep,02-economic-indicators,02,경제 지표,,,
A,keep,02-global-economy,02,글로벌 경제,,,
A,keep,02-tax-info,02,세금 정보,,,
A,keep,02-financial-planning,02,재무 설계,,,
A,keep,02-economic-knowledge,02,경제 상식,,,
A,keep,02-retech-strategy,02,재테크 전략,,,
A,keep,03-diet-meal-plan,03,다이어트 식단,,,
A,keep,03-exercise-routine,03,운동 루틴,,,
A,keep,03-supplement-guide,03,영양제 정보,,,
A,keep,03-disease-prevention,03,질병 예방,,,
A,keep,03-sleep-health,03,수면 건강,,,
A,keep,03-weight-management,03,체중 관리,,,
A,merge,03-health-tips,03,건강 팁,03-health-information,,→ 건강 정보로 흡수
A,keep,03-fitness,03,피트니스,,,
A,merge,03-diet-experience,03,다이어트 후기,03-weight-management,,→ 체중 관리로 흡수
A,keep,03-healthy-diet,03,건강 식단,,,
A,keep,03-post-workout-recovery,03,운동 후 회복,,,
A,merge,03-obesity-management,03,비만 관리,03-weight-management,,→ 체중 관리로 흡수
A,rename,03-mental-wellness,03,심신 건강,,멘탈 케어,
A,rename,03-health-information,03,건강 정보,,건강 상식,
A,keep,03-lifestyle-habits,03,생활 습관,,,
A,keep,04-womens-fashion,04,여성의류,,,
A,keep,04-mens-fashion,04,남성의류,,,
A,keep,04-kids-fashion,04,아동복,,,
A,keep,04-handbags,04,가방,,,
A,keep,04-shoes,04,신발,,,
A,keep,04-accessories,04,액세서리,,,
A,merge,04-coordination-tips,04,코디 팁,04-styling,,→ 스타일링로 흡수
A,keep,04-fashion-trends,04,패션 트렌드,,,
A,keep,04-shopping-guide,04,쇼핑 가이드,,,
A,keep,04-styling,04,스타일링,,,
A,keep,04-fashion-items,04,패션 아이템,,,
A,keep,04-brand-reviews,04,브랜드 리뷰,,,
A,keep,04-fashion-news,04,패션 뉴스,,,
A,keep,04-minimal-fashion,04,미니멀 패션,,,
A,keep,04-sustainable-fashion,04,지속가능 패션,,,
A,keep,05-sports-news,05,스포츠 뉴스,,,
A,keep,05-soccer-analysis,05,축구 분석,,,
A,keep,05-baseball-info,05,야구 정보,,,
A,keep,05-international-sports,05,해외 스포츠,,,
A,keep,05-player-profile,05,선수 프로필,,,
A,merge,05-game-highlight,05,경기 하이라이트,05-sports-viewing,,→ 스포츠 시청로 흡수
A,keep,05-sports-issue,05,스포츠 이슈,,,
A,keep,05-soccer-player,05,축구 선수,,,
A,merge,05-baseball-game,05,야구 경기,05-baseball-info,,→ 야구 정보로 흡수
A,keep,05-sports-marketing,05,스포츠 마케팅,,,
A,keep,05-game-schedule,05,경기 일정,,,
A,keep,05-sports-health,05,스포츠 건강,,,
A,merge,05-soccer-league,05,축구 리그,05-overseas-soccer,,→ 해외축구로 흡수
A,keep,05-baseball-analysis,05,야구 분석,,,
A,keep,05-sports-event,05,스포츠 이벤트,,,
A,keep,06-new-car-review,06,신차 리뷰,,,
A,keep,06-used-car-buying,06,중고차 구매,,,
A,keep,06-ev-guide,06,전기차 가이드,,,
A,keep,06-car-maintenance,06,자동차 정비,,,
A,keep,06-car-insurance,06,자동차 보험,,,
A,keep,06-vehicle-management,06,차량 관리,,,
A,keep,06-driving-tips,06,운전 팁,,,
A,keep,06-car-comparison,06,자동차 비교,,,
A,keep,06-car-news,06,자동차 뉴스,,,
A,keep,06-car-accessories,06,자동차 용품,,,
A,keep,06-vehicle-safety,06,차량 안전,,,
A,keep,06-car-taxes,06,자동차 세금,,,
A,keep,06-car-financing,06,자동차 금융,,,
A,keep,06-car-travel,06,자동차 여행,,,
A,keep,06-car-inspection,06,자동차 점검,,,
A,keep,07-smartphone-review,07,스마트폰 리뷰,,,
A,keep,07-ai-trend,07,AI 트렌드,,,
A,keep,07-app-review,07,앱 리뷰,,,
A,keep,07-pc-build-guide,07,PC 빌드 가이드,,,
A,keep,07-gadget-review,07,가젯 리뷰,,,
A,keep,07-digital-trend,07,디지털 트렌드,,,
A,keep,07-it-news,07,IT 뉴스,,,
A,keep,07-iot,07,사물인터넷,,,
A,keep,07-blockchain,07,블록체인,,,
B,move,07-game-review,07,게임 리뷰,,18,확장안 채택 시 L1 18로 이동(보수안에선 keep)
A,keep,07-software-review,07,소프트웨어 리뷰,,,
A,keep,07-hardware-review,07,하드웨어 리뷰,,,
A,keep,07-network-tips,07,네트워크 팁,,,
A,keep,07-security-issue,07,보안 이슈,,,
A,keep,07-digital-security,07,디지털 보안,,,
A,keep,08-skincare-routine,08,스킨케어 루틴,,,
A,keep,08-makeup-tutorial,08,메이크업 튜토리얼,,,
A,keep,08-hair-care-tips,08,헤어 케어 팁,,,
A,keep,08-beauty-product-review,08,뷰티 제품 리뷰,,,
A,keep,08-treatment-review,08,시술 후기,,,
A,keep,08-skin-type-care,08,피부 타입별 케어,,,
A,keep,08-cosmetic-ingredient-analysis,08,화장품 성분 분석,,,
A,keep,08-beauty-trend,08,뷰티 트렌드,,,
A,keep,08-makeup-product-recommendation,08,메이크업 제품 추천,,,
A,keep,08-hair-styling-tips,08,헤어 스타일링 팁,,,
A,keep,08-skincare-product-recommendation,08,스킨케어 제품 추천,,,
A,keep,08-beauty-tips,08,뷰티 팁,,,
A,keep,08-treatment-information,08,시술 정보,,,
A,keep,08-hair-product-review,08,헤어 제품 리뷰,,,
A,keep,08-makeup-art,08,메이크업 아트,,,
A,keep,09-seoul-food,09,서울 맛집,,,
A,keep,09-cafe-recommend,09,카페 추천,,,
A,keep,09-busan-food,09,부산 맛집,,,
A,keep,09-date-course,09,데이트 코스,,,
A,keep,09-gyeonggi-food,09,경기도 맛집,,,
A,keep,09-solo-food,09,혼밥 맛집,,,
A,keep,09-daegu-food,09,대구 맛집,,,
A,keep,09-brunch-cafe,09,브런치 카페,,,
A,keep,09-daejeon-food,09,대전 맛집,,,
A,keep,09-night-view-food,09,야경 맛집,,,
A,keep,09-incheon-food,09,인천 맛집,,,
A,keep,09-handmade-coffee,09,수제 커피,,,
A,keep,09-gwangju-food,09,광주 맛집,,,
A,keep,09-partyroom-cafe,09,파티룸 카페,,,
A,keep,09-gangwon-food,09,강원도 맛집,,,
A,keep,10-korean-recipe,10,한식 레시피,,,
A,keep,10-global-cuisine,10,세계 요리,,,
A,keep,10-food-styling,10,푸드 스타일링,,,
A,keep,10-healthy-convenience-food,10,건강 간편식,,,
A,keep,10-ingredient-info,10,식재료 정보,,,
A,keep,10-restaurant-review,10,레스토랑 리뷰,,,
A,keep,10-cooking-tips,10,요리 팁,,,
A,keep,10-dessert-making,10,디저트 만들기,,,
A,keep,10-food-trend,10,푸드 트렌드,,,
A,keep,10-vegetarian-recipe,10,채식 레시피,,,
A,keep,10-meat-cooking,10,육식 요리,,,
A,keep,10-seafood-cooking,10,해물 요리,,,
A,keep,10-baking-guide,10,베이킹 가이드,,,
A,keep,10-asian-cuisine,10,아시안 요리,,,
A,keep,10-home-party-food,10,홈파티 음식,,,
A,merge,11-domestic-travel-destinations,11,국내여행지,11-domestic-travel,,→ 국내여행로 흡수
A,merge,11-overseas-travel-destinations,11,해외여행지,11-overseas-travel,,→ 해외여행로 흡수
A,keep,11-travel-essentials,11,여행준비물,,,
A,keep,11-travel-itinerary,11,여행일정,,,
A,keep,11-accommodation-recommendations,11,숙소추천,,,
A,keep,11-travel-tips,11,여행꿀팁,,,
A,keep,11-travel-diaries,11,여행기,,,
A,merge,11-travel-information,11,여행정보,11-travel-tips,,→ 여행꿀팁로 흡수
A,keep,11-domestic-travel,11,국내여행,,,
A,keep,11-overseas-travel,11,해외여행,,,
A,keep,11-travel-photography,11,여행사진,,,
A,merge,11-travel-videos,11,여행영상,11-travel-diaries,,→ 여행기로 흡수
A,merge,11-travel-blogging,11,여행블로그,11-travel-diaries,,→ 여행기로 흡수
A,merge,11-travel-english,11,여행영어,11-travel-phrases,,→ 여행 회화로 흡수
A,keep,11-travel-safety,11,여행안전,,,
A,merge,12-history-facts,12,역사 상식,12-history-stories,,→ 역사 이야기로 흡수
A,merge,12-science-knowledge,12,과학 지식,12-science-facts,,→ 과학 상식로 흡수
A,keep,12-culture-criticism,12,문화 비평,,,
A,keep,12-literature-review,12,문학 리뷰,,,
A,keep,12-world-culture,12,세계 문화,,,
A,keep,12-liberal-arts-lecture,12,교양 강의,,,
A,keep,12-knowledge-game,12,지식 놀이,,,
A,keep,12-common-knowledge-dictionary,12,상식 사전,,,
A,keep,12-academic-research,12,학술 연구,,,
A,keep,12-cultural-exploration,12,문화 탐구,,,
A,keep,12-essay-guide,12,논술 가이드,,,
A,merge,12-liberal-arts-reading,12,교양 독서,12-book-recommendations,,→ 독서 추천로 흡수
A,keep,12-humanities-knowledge,12,인문 지식,,,
A,merge,12-knowledge-column,12,지식 칼럼,12-humanities-knowledge,,→ 인문 지식로 흡수
