l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at
01-broadcast-2024-kdrama-schedule,01-broadcast,01,2024-kdrama-schedule,2024년 방송 예정 드라마,2024년 방송 예정 한국 드라마 리스트,info,issue,2024년 방송 예정인 한국 드라마 목록과 방영 일정,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-broadcasting-news,01-broadcast,01,broadcasting-news,방송 뉴스 및 이슈,방송계 뉴스 및 이슈 정리,news,issue,방송계 뉴스 및 이슈 정리 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-cable-drama-recommend,01-broadcast,01,cable-drama-recommend,케이블 드라마 추천,케이블 드라마 추천 BEST 5,review,tip,케이블 드라마 중 추천하는 작품들,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-drama-awards-2023,01-broadcast,01,drama-awards-2023,2023년 드라마 어워즈,2023년 드라마 어워즈 수상작,news,issue,2023년 드라마 어워즈 수상작과 수상자 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-drama-trend-2024,01-broadcast,01,drama-trend-2024,2024 드라마 트렌드 전망,2024 드라마 트렌드 전망과 인기 장르,info,issue,2024년 드라마 트렌드 전망과 인기 장르 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-drama-variety-awards,01-broadcast,01,drama-variety-awards,드라마 및 예능 시상식,드라마 및 예능 시상식 정보,news,issue,드라마 및 예능 시상식 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-drama-variety-show-awards,01-broadcast,01,drama-variety-show-awards,드라마 및 예능 프로그램 시상식,드라마 및 예능 프로그램 시상식 일정과 수상자,info,issue,드라마 및 예능 프로그램 시상식 일정과 수상자 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-jtbc-drama-ratings,01-broadcast,01,jtbc-drama-ratings,JTBC 드라마 시청률,JTBC 드라마 시청률 순위와 분석,info,review,JTBC 드라마 시청률 순위와 분석 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-jtbc-fri-sat-drama-ratings,01-broadcast,01,jtbc-fri-sat-drama-ratings,JTBC 금토 드라마 시청률,JTBC 금토 드라마 시청률 순위와 분석,info,review,JTBC 금토 드라마의 시청률 순위와 분석 자료,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-k-pop-tv-show-info,01-broadcast,01,k-pop-tv-show-info,K-POP 방송 프로그램 정보,K-POP 방송 프로그램 정보와 일정,info,issue,K-POP 방송 프로그램 정보와 일정 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-kbs-drama-2024,01-broadcast,01,kbs-drama-2024,2024년 KBS 드라마 라인업,2024년 KBS 드라마 편성표 및 라인업,info,issue,2024년 KBS 드라마 방영 일정 및 라인업 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-kbs2-drama-ratings-2024,01-broadcast,01,kbs2-drama-ratings-2024,KBS2 드라마 시청률 순위 2024,2024년 KBS2 드라마 시청률 순위와 인기작,info,review,2024년 KBS2 드라마 시청률 순위와 인기 드라마 소개,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-kbs2-drama-recommend-2024,01-broadcast,01,kbs2-drama-recommend-2024,KBS2 드라마 추천 2024,2024년 KBS2 드라마 추천작과 리뷰,info,review,2024년 KBS2 드라마 추천작과 리뷰,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-kbs2-drama-schedule,01-broadcast,01,kbs2-drama-schedule,KBS2 드라마 편성표,KBS2 드라마 편성표 및 방송시간,info,issue,KBS2 드라마 편성표와 방송 시간 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-kbs2-wed-thu-drama,01-broadcast,01,kbs2-wed-thu-drama,KBS2 수목 드라마 추천,KBS2 수목 드라마 시청률과 작품 추천,info,tip,KBS2 수목 드라마의 시청률과 추천 작품 소개,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-kbs2-wed-thu-ratings,01-broadcast,01,kbs2-wed-thu-ratings,KBS2 수목 드라마 시청률,KBS2 수목 드라마 시청률 순위와 분석,info,review,KBS2 수목 드라마의 최신 시청률 순위와 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-kdrama-ott-platform-analysis,01-broadcast,01,kdrama-ott-platform-analysis,한국 드라마 OTT 플랫폼 분석,한국 드라마 OTT 플랫폼 진출 분석,info,tip,한국 드라마 OTT 플랫폼 진출 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-kdrama-ott-strategy,01-broadcast,01,kdrama-ott-strategy,한국 드라마 OTT 진출 전략,한국 드라마 OTT 진출 전략과 성공 사례,howto,tip,한국 드라마의 OTT 진출 전략과 성공 사례 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-korean-drama-endings,01-broadcast,01,korean-drama-endings,한국 드라마 결말,인기 한국 드라마 결말 정리,info,review,인기 한국 드라마의 결말 정리 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-korean-drama-schedule-2024,01-broadcast,01,korean-drama-schedule-2024,2024년 한국 드라마 방영 일정,2024년 한국 드라마 전체 방영 일정표,info,issue,2024년 한국 드라마 방영 일정과 라인업 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-mbc-drama-ratings,01-broadcast,01,mbc-drama-ratings,MBC 드라마 시청률 순위,MBC 드라마 시청률 순위와 인기 작품,info,compare,MBC 드라마 시청률 순위와 인기 드라마 목록,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-mbc-drama-recommend,01-broadcast,01,mbc-drama-recommend,MBC 드라마 추천,MBC 드라마 추천 TOP 5,review,tip,MBC에서 방영한 드라마 중 추천하는 작품들,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-mbc-drama-schedule-2024,01-broadcast,01,mbc-drama-schedule-2024,MBC 드라마 편성표 2024,2024년 MBC 드라마 편성표와 방영 일정,info,howto,2024년 MBC 드라마 방영 일정과 편성표 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-mbc-sat-sun-ratings,01-broadcast,01,mbc-sat-sun-ratings,MBC 주말 드라마 시청률,MBC 주말 드라마 최신 시청률 순위,info,review,MBC 주말 드라마의 최신 시청률 순위와 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-mbc-wed-drama-ratings,01-broadcast,01,mbc-wed-drama-ratings,MBC 수요일 드라마 시청률,MBC 수요일 드라마 시청률 순위,info,review,MBC 수요일 드라마 최신 시청률 순위,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-mbc-wed-thu-drama-2024,01-broadcast,01,mbc-wed-thu-drama-2024,MBC 수목 드라마 추천 2024,2024년 MBC 수목 드라마 추천과 줄거리,howto,tip,2024년 MBC 수목 드라마 추천과 시청 꿀팁,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-mbc-wed-thu-drama-ratings-2024,01-broadcast,01,mbc-wed-thu-drama-ratings-2024,MBC 수목 드라마 시청률 2024,2024년 MBC 수목 드라마 시청률과 인기 드라마,info,review,2024년 MBC 수목 드라마 시청률과 인기 드라마 소개,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-mbc-weekend-drama,01-broadcast,01,mbc-weekend-drama,MBC 주말 드라마 추천,MBC 주말 드라마 추천 순위 2024,review,tip,MBC 주말 드라마 추천 순위와 시청률,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-mbc-weekend-drama-rank,01-broadcast,01,mbc-weekend-drama-rank,MBC 주말 드라마 순위,MBC 주말 드라마 시청률 순위와 인기 이유,info,review,MBC 주말 드라마의 시청률 순위와 인기 요인 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-ott-drama-ratings,01-broadcast,01,ott-drama-ratings,OTT 드라마 시청률,OTT 드라마 시청률 순위와 인기 작품,info,review,OTT 드라마의 시청률 순위와 인기 작품 소개,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-ott-drama-recommend,01-broadcast,01,ott-drama-recommend,OTT 드라마 추천,OTT 드라마 추천 리스트,review,tip,OTT 드라마 추천 리스트 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-reality-tv-review,01-broadcast,01,reality-tv-review,리얼리티 방송 리뷰,리얼리티 방송 리뷰 및 분석,review,review,리얼리티 방송 리뷰와 분석 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-reality-tv-show-recommendation,01-broadcast,01,reality-tv-show-recommendation,리얼리티 방송 프로그램 추천,리얼리티 방송 프로그램 추천과 리뷰,howto,tip,리얼리티 방송 프로그램 추천과 리뷰 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-sbs-drama-ending,01-broadcast,01,sbs-drama-ending,SBS 드라마 결말,SBS 드라마 결말 정리와 리뷰,info,review,SBS 드라마의 결말 정리와 리뷰 자료,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-sbs-drama-ratings,01-broadcast,01,sbs-drama-ratings,SBS 드라마 시청률 순위,SBS 드라마 시청률 순위 TOP 10,info,review,SBS 드라마 최근 시청률 순위와 인기 드라마,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-sbs-drama-recommend,01-broadcast,01,sbs-drama-recommend,SBS 드라마 추천,SBS 드라마 추천 Top 5,info,tip,SBS 드라마 추천과 인기 작품 목록,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-sbs-fri-sat-drama,01-broadcast,01,sbs-fri-sat-drama,SBS 금토 드라마 추천,SBS 금토 드라마 추천 2024,howto,tip,SBS 금토 드라마 시청 가이드,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-sbs-fri-sat-ratings,01-broadcast,01,sbs-fri-sat-ratings,SBS 금토 드라마 시청률 순위,SBS 금토 드라마 최신 시청률 순위,info,review,SBS 금토 드라마의 최신 시청률 순위와 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-sitcom-drama-recommend,01-broadcast,01,sitcom-drama-recommend,시트콤 드라마 추천,시트콤 드라마 추천 리스트,review,tip,시트콤 드라마 추천 리스트 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-terrestrial-drama-competition,01-broadcast,01,terrestrial-drama-competition,지상파 드라마 경쟁률,최근 지상파 드라마 경쟁률 분석,info,issue,최근 지상파 드라마 경쟁률과 분석 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-tv-program-guide,01-broadcast,01,tv-program-guide,TV 프로그램 가이드,TV 프로그램 가이드 및 편성표,info,issue,TV 프로그램 가이드와 편성표 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-tv-program-guide-2,01-broadcast,01,tv-program-guide-2,방송 프로그램 가이드,TV 방송 프로그램 가이드 2024,info,issue,2024년 TV 방송 프로그램 가이드,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-tv-program-review,01-broadcast,01,tv-program-review,방송 프로그램 리뷰,TV 방송 프로그램 리뷰 및 평가,review,review,TV 방송 프로그램 리뷰와 평가 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-tvn-drama-ending,01-broadcast,01,tvn-drama-ending,tvN 드라마 결말,tvN 드라마 결말 및 리뷰,review,review,tvN 드라마 결말 정보 및 리뷰,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-tvn-drama-rankings,01-broadcast,01,tvn-drama-rankings,tvN 드라마 순위,tvN 드라마 순위 및 평가,review,review,tvN 드라마 순위와 작품 평가 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-tvn-drama-ratings,01-broadcast,01,tvn-drama-ratings,tvN 드라마 시청률 순위,tvN 드라마 최신 시청률 순위와 분석,info,review,tvN 드라마의 최신 시청률 순위와 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-tvn-drama-recommend,01-broadcast,01,tvn-drama-recommend,tvN 드라마 추천,tvN 드라마 추천 Top 5,info,tip,tvN 드라마 추천과 인기 작품 목록,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-tvn-fri-sat-drama-2024,01-broadcast,01,tvn-fri-sat-drama-2024,tvN 금토 드라마 추천 2024,2024년 tvN 금토 드라마 추천과 시청률,howto,tip,2024년 tvN 금토 드라마 추천과 시청률 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:37:04.035570+00:00
01-broadcast-tvn-mon-tue-drama-rank,01-broadcast,01,tvn-mon-tue-drama-rank,tvN 월화 드라마 순위,tvN 월화 드라마 시청률 순위와 인기 이유,info,review,tvN 월화 드라마의 시청률 순위와 인기 요인 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-broadcast-variety-show-rankings,01-broadcast,01,variety-show-rankings,예능 프로그램 순위,현재 예능 프로그램 순위,info,review,현재 예능 프로그램 순위 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-celebrity-aespa-music-style,01-celebrity,01,aespa-music-style,에스파 음악 스타일,에스파 음악 스타일과 장르,info,review,그룹 에스파 음악 스타일과 장르,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-celebrity-blackpink-concert-schedule,01-celebrity,01,blackpink-concert-schedule,블랙핑크 콘서트 일정,블랙핑크 콘서트 일정과 티켓팅,info,issue,그룹 블랙핑크 콘서트 일정과 티켓팅 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-celebrity-bts-members-profile,01-celebrity,01,bts-members-profile,BTS 멤버 프로필,BTS 멤버 개별 프로필과 정보,info,review,그룹 BTS 멤버별 프로필과 정보,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-celebrity-celebrity-awards-2024,01-celebrity,01,celebrity-awards-2024,2024 연예인 시상식 일정,2024 연예인 시상식 일정과 수상자,info,issue,2024년 연예인 시상식 일정과 수상자 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-celebrity-celebrity-concerts-2024,01-celebrity,01,celebrity-concerts-2024,2024 연예인 콘서트 일정,2024 연예인 콘서트 일정과 티켓팅 팁,info,issue,2024년 연예인 콘서트 일정과 티켓팅 팁,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-celebrity-celebrity-donations,01-celebrity,01,celebrity-donations,연예인 기부 활동 소개,연예인 기부 활동 소개와 나눔 이야기,info,review,연예인 기부 활동 소개와 나눔 이야기,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-celebrity-celebrity-donations-2024,01-celebrity,01,celebrity-donations-2024,2024 연예인 기부,2024 연예인 기부 소식과 금액,info,issue,2024년 연예인 기부 소식과 금액,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-celebrity-celebrity-fashion-2024,01-celebrity,01,celebrity-fashion-2024,2024 연예인 패션 트렌드,2024 연예인 패션 트렌드와 스타일,info,issue,2024년 연예인 패션 트렌드와 스타일 분석,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-celebrity-celebrity-fashion-brand,01-celebrity,01,celebrity-fashion-brand,연예인 패션 브랜드 추천,연예인 패션 브랜드 추천과 가격대,review,tip,연예인들이 자주 입는 패션 브랜드와 가격대를 소개하는 글,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
01-celebrity-celebrity-fashion-items,01-celebrity,01,celebrity-fashion-items,연예인 패션 아이템 추천,연예인 패션 아이템 추천과 구매 팁,howto,tip,연예인 패션 아이템 추천과 구매 팁,meta-llama/llama-4-scout-17b-16e-instruct,2026-06-01T12:31:11.146046+00:00
