domain_label,l1_code,l1_name,ymyl,model_key,model_label,batch_size,focus_keyword,monthly_total,title_ko,search_intent,topic_angle,description
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,삼성전자주가,35907700,"삼성전자주가 변동 요인 분석, 투자자가 주목해야 할 핵심 지표",info,issue,삼성전자주가의 최근 흐름을 분석하고 시장 상황에 따른 주요 변동 요인을 정리합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,환율,22361600,환율 변동이 경제에 미치는 영향과 개인 자산 관리 전략,info,tip,환율 변화가 가계 경제와 투자 자산에 어떤 영향을 주는지 이해하고 대응 방법을 알아봅니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,금시세,4941100,최근 금시세 변화 추이와 안전자산으로서의 가치 분석,info,issue,변동성 큰 시장에서 금시세가 갖는 의미와 투자 시 고려해야 할 사항을 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,미국증시,4787800,미국증시 주요 지표 읽는 법과 투자 정보 확인하는 방법,howto,howto,미국증시 흐름을 파악하기 위해 반드시 확인해야 할 주요 경제 지표와 사이트를 소개합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,달러환율,4566200,달러환율 전망과 외화 자산 운용 시 체크리스트,checklist,tip,달러환율 추이를 분석하고 외화 예금이나 달러 투자 시 확인해야 할 체크리스트를 제공합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,코스피지수,4213100,코스피지수 흐름으로 보는 국내 증시 현황과 분석 포인트,info,issue,코스피지수의 등락 배경을 살펴보고 국내 주식 시장의 전반적인 흐름을 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,나스닥선물,3699300,나스닥선물 지수의 의미와 미국 증시 선행 지표 활용법,info,tip,나스닥선물이 무엇인지 정의하고 이를 통해 미국 증시의 방향성을 가늠하는 방법을 설명합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,미국환율,3160300,미국환율 변동성 이해하기: 해외 직구와 투자에 미치는 영향,info,tip,미국환율 변화가 실생활 소비와 투자 환경에 어떤 변화를 가져오는지 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,나스닥,2272000,나스닥 시장의 주요 특징과 글로벌 증시 영향력 분석,info,issue,나스닥 지수의 구성과 글로벌 경제에서 차지하는 비중 및 특징을 정리합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,검색상위종목,2216300,검색상위종목 확인하는 법과 시장 관심도 분석하는 노하우,howto,howto,투자자들이 많이 찾는 검색상위종목을 확인하고 시장의 트렌드를 읽는 방법을 공유합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,국제유가,2208800,국제유가 변동 요인과 글로벌 경제에 미치는 영향 분석,info,issue,국제유가 변동을 결정짓는 주요 공급 및 수요 요인과 경제적 파급 효과를 살펴봅니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,코스닥,1760600,코스닥 시장의 최근 흐름과 투자 시 고려해야 할 체크리스트,checklist,tip,변동성이 큰 코스닥 시장에서 투자자가 반드시 확인해야 할 지표와 리스크 관리법을 안내합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,삼성전자주식,1412900,"삼성전자주식 투자, 기업 가치와 향후 성장 동력 분석",info,review,삼성전자주식의 최근 실적과 반도체 시장 환경을 바탕으로 기업의 중장기적 가치를 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,국제금시세,1370900,안전 자산 선호 심리와 최근 국제금시세 추이 분석,info,issue,경제 불확실성 속에서 주목받는 국제금시세의 흐름과 금 투자 시 고려할 점을 정리합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,원달러환율,1349800,원달러환율 변동이 국내 경제와 개인 자산에 미치는 영향,info,tip,최근 원달러환율의 움직임을 분석하고 환율 변동에 따른 재테크 대응 전략을 알아봅니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,주식시세,1293600,주식시세 확인하는 법과 투자 지표 제대로 읽는 가이드,howto,howto,초보 투자자를 위해 정확한 주식시세 확인 방법과 필수 투자 지표 해석법을 설명합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,엔화,1207400,엔화 투자 매력도와 환율 변동에 따른 환테크 전략,howto,tip,엔화 환율 추이를 살펴보고 환차익을 기대하는 투자 방식의 장단점을 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,주가지수,1150200,주가지수란 무엇인가? 시장의 흐름을 읽는 핵심 지표 이해하기,info,start,주가지수의 개념과 투자자가 시장 상황을 판단하기 위해 알아야 할 지수 활용법을 정리합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,증시,1099600,글로벌 증시 현황과 투자자가 주목해야 할 매크로 지표,info,issue,국내외 증시의 주요 흐름을 파악하고 투자 판단에 도움을 주는 경제 지표들을 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,카카오주가,1083800,카카오주가 변동성 분석과 플랫폼 기업의 향후 전망,info,review,카카오주가의 최근 추이를 살펴보고 플랫폼 사업의 성장성과 시장 환경을 객관적으로 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,엔비디아주가,949700,엔비디아주가 변동성 분석: AI 반도체 시장의 현재와 향후 체크포인트,info,issue,엔비디아주가의 최근 흐름을 살펴보고 AI 산업 성장이 주가에 미치는 영향을 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,다우지수,862300,다우지수 구성 종목과 미국 경제 흐름을 읽는 법,info,tip,다우지수의 개념과 구성 종목을 통해 미국 경제의 전반적인 흐름을 파악하는 방법을 설명합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,테슬라주가,854700,테슬라주가 등락의 주요 원인과 전기차 시장의 변화 분석,info,issue,테슬라주가에 영향을 미치는 기업 이슈와 전기차 시장의 거시적 환경을 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,유럽증시,836000,유럽증시 투자 전 알아야 할 주요 국가별 지수와 특징,info,compare,유럽증시를 대표하는 주요 국가별 지수를 비교하고 투자 시 고려할 특징을 정리합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,나스닥종합,800000,나스닥종합 지수 이해하기: 기술주 중심 시장의 투자 지표,info,start,나스닥종합 지수가 의미하는 바와 기술주 중심의 시장 흐름을 확인하는 방법을 안내합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,로컬크리에이터,990,로컬크리에이터란? 지역 가치를 창출하는 창업 지원 제도와 혜택,howto,howto,로컬크리에이터의 정의와 지역 기반 비즈니스를 시작하기 위한 지원 제도 정보를 제공합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,모바일카드,990,"모바일카드 발급부터 사용법까지, 스마트한 결제 생활 가이드",howto,tip,모바일카드의 편리한 발급 절차와 안전하게 결제하는 방법을 단계별로 설명합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,미국주식거래방법,990,초보자를 위한 미국주식거래방법: 계좌 개설부터 주문까지,howto,start,미국주식거래방법을 처음 시작하는 분들을 위해 계좌 개설과 기본 거래 프로세스를 정리합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,미국주식전망,990,2024 하반기 미국주식전망: 주요 경제 지표와 주의할 점,info,issue,현재 경제 상황을 바탕으로 미국주식전망을 분석하고 투자자가 주목해야 할 지표를 공유합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,보험사종류,990,보험사종류별 특징과 나에게 맞는 보험 선택하는 기준,compare,compare,생명보험과 손해보험 등 보험사종류에 따른 차이점을 비교하고 올바른 선택 기준을 제시합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,스마트폰부업,990,스마트폰부업 종류와 현실적인 수익화 가능성 분석,info,tip,재택 부업으로 주목받는 스마트폰부업의 다양한 유형과 시작 전 주의사항을 정리합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,신용보증재단대출,990,신용보증재단대출 신청 자격과 준비 서류 체크리스트,checklist,howto,소상공인을 위한 신용보증재단대출의 신청 절차와 심사 기준을 상세히 안내합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,알뜰폰KT,990,알뜰폰KT 통신망 선택 시 장단점과 요금제 비교 가이드,compare,compare,KT 통신망을 사용하는 알뜰폰의 특징과 합리적인 요금제 선택 방법을 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,임대소득신고,990,주택 임대소득신고 대상과 절세 전략 핵심 정리,howto,tip,임대소득신고 기준을 확인하고 세금 부담을 줄일 수 있는 신고 방법을 알아봅니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,정부대환대출,990,정부대환대출 종류와 나에게 맞는 상품 선택 기준,info,tip,고금리 대출 이자를 낮추기 위한 정부대환대출 프로그램의 자격 요건을 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,주식잘하는법,990,주식잘하는법 기초 다지기: 투자 원칙과 리스크 관리법,info,start,성공적인 투자를 위해 초보자가 반드시 알아야 할 주식 시장의 기본 원칙을 설명합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,증권앱,990,나에게 맞는 증권앱 선택을 위한 주요 기능 비교 분석,compare,review,"국내 주요 증권앱의 수수료와 사용자 편의성, 분석 도구를 비교하여 추천합니다."
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,퇴사후실업급여,990,퇴사후실업급여 수급 자격과 신청 절차 총정리,howto,howto,퇴사 후 실업급여를 받기 위해 꼭 알아야 할 조건과 신청 과정을 체계적으로 안내합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,퇴직연금수익률,990,퇴직연금수익률 높이는 운용 전략과 점검 포인트,info,tip,노후 자산인 퇴직연금의 수익률을 관리하고 효율적으로 운용하는 방법을 제안합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,한국주식거래소,990,한국주식거래소 운영 체계와 투자자가 이해해야 할 시장 구조,info,issue,한국주식거래소(KRX)의 역할과 주식 거래 시스템의 기본 구조를 알기 쉽게 설명합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,고령자계속고용장려금,980,고령자계속고용장려금 지원 대상 및 신청 방법 완벽 정리,howto,howto,고령자계속고용장려금의 지원 요건과 사업주가 챙겨야 할 신청 절차를 상세히 안내합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,근로내용확인신고,980,근로내용확인신고 기한과 과태료 피하는 작성 가이드,howto,tip,일용근로자 근로내용확인신고의 중요성과 실수하기 쉬운 작성 항목을 체크리스트로 확인합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,금융변호사,980,금융변호사 선임이 필요한 상황과 상담 전 준비사항,info,start,금융 분쟁 발생 시 금융변호사의 역할과 초기 대응을 위해 준비해야 할 서류를 정리합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,메타버스관련주,980,메타버스관련주 현황과 산업 성장성 분석 포인트,info,issue,메타버스 산업의 현재 동향과 관련 기업들의 주요 사업 모델을 객관적으로 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,저평가주식,980,저평가주식 찾는 법: 가치 투자자를 위한 지표 분석 방법,howto,tip,"PER, PBR 등 주요 재무 지표를 활용해 저평가주식을 선별하는 기준을 제시합니다."
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,고배당주식,970,고배당주식 투자 시 주의할 점과 배당 수익률 확인법,info,tip,고배당주식 선택 시 배당의 지속 가능성을 판단하는 기준과 유의 사항을 설명합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,뿌리기업,970,뿌리기업 확인서 발급 혜택과 지원 정책 요약,info,issue,제조업의 근간인 뿌리기업이 받을 수 있는 정부 지원 혜택과 확인서 발급 방법을 알아봅니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,서울신축아파트,970,서울신축아파트 공급 현황과 청약 전략 분석,compare,issue,최근 서울신축아파트 시장의 공급 트렌드와 예비 청약자가 고려해야 할 핵심 요소를 분석합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,연금저축이벤트,970,연금저축이벤트 비교: 증권사별 혜택과 가입 시 주의점,compare,compare,연금저축 계좌 개설 시 제공되는 증권사별 이벤트와 수수료 등 비교 포인트를 정리합니다.
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,연말정산세액공제,970,연말정산세액공제 항목 확인하고 13월의 월급 챙기기,checklist,tip,연말정산 시 놓치기 쉬운 세액공제 항목을 정리하고 효율적인 절세 전략을 제안합니다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,삼성전자주가,35907700,삼성전자 주가 전망과 핵심 투자 포인트,info,issue,삼성전자 주가 흐름과 투자자가 알아야 할 분석 포인트를 정리한다.
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,환율,22361600,최근 환율 변동 추이와 경제적 영향 분석,info,issue,현재 환율 변동 추이와 이것이 경제에 미치는 영향을 분석한다.
