l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at,tier,quality_score,drop_reason,pilot_phase,l1_name_ko,l2_name_ko,seo_priority,pick_rank
11-travel-essentials-domestic-travel-essentials,11-travel-essentials,11,domestic-travel-essentials,국내 여행 필수 준비물,국내 여행 필수 준비물 체크리스트와 필수템,checklist,start,국내 여행에 꼭 필요한 준비물 목록과 추천템,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행준비물,S,1
11-travel-essentials-long-trip-essentials,11-travel-essentials,11,long-trip-essentials,장기 여행 준비물,장기 여행 준비물 체크리스트와 팁,checklist,start,장기 여행에 필요한 준비물과 추천 아이템,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행준비물,S,2
11-travel-essentials-overseas-travel-essentials,11-travel-essentials,11,overseas-travel-essentials,해외 여행 필수품,해외 여행 필수품 체크리스트와 팁,checklist,start,해외 여행 시 준비해야 할 필수품 목록과 유용한 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행준비물,S,3
11-travel-essentials-short-trip-essentials,11-travel-essentials,11,short-trip-essentials,단기 여행 준비물,단기 여행 준비물 체크리스트와 필수템,checklist,start,단기 여행에 필요한 준비물과 추천 아이템,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행준비물,S,4
11-travel-essentials-summer-travel-essentials,11-travel-essentials,11,summer-travel-essentials,여름 여행 준비물,여름 여행 준비물 체크리스트와 필수 아이템,checklist,start,여름 여행에 필요한 준비물과 추천 아이템,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행준비물,S,5
11-travel-essentials-travel-medicine-essentials,11-travel-essentials,11,travel-medicine-essentials,여행용 의약품 준비 물품,여행용 의약품 준비 물품과 팁,checklist,start,여행용 의약품 준비 물품과 유용한 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행준비물,S,6
11-travel-essentials-winter-travel-essentials,11-travel-essentials,11,winter-travel-essentials,겨울 여행 준비물,겨울 여행 준비물 체크리스트와 팁,checklist,start,겨울 여행에 필요한 준비물과 추천 아이템,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,,1,여행,여행준비물,S,7
11-travel-essentials-overseas-travel-insurance,11-travel-essentials,11,overseas-travel-insurance,해외 여행 보험 신청 방법,해외 여행 보험 신청 방법과 추천 보험사,howto,howto,해외 여행 보험 신청 방법과 추천 보험사 비교,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행준비물,S,8
11-travel-essentials-travel-cable-recommend,11-travel-essentials,11,travel-cable-recommend,여행용 휴대용 전선 추천,여행용 휴대용 전선 추천과 팩킹 팁,compare,tip,여행용 휴대용 전선 추천과 팩킹 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행준비물,S,9
11-travel-essentials-travel-food-packing-tips,11-travel-essentials,11,travel-food-packing-tips,여행용 간편 식품 포장 팁,여행용 간편 식품 포장 팁과 추천 상품,howto,tip,여행 중 간편하게 먹을 수 있는 음식 포장 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,,1,여행,여행준비물,S,10
