domain_label,l1_code,l1_name,ymyl,model_key,model_label,batch_size,total_input,total_output,retry_count,parse_success_pct,total_calls,parse_ok_calls,title_len_ok_pct,title_len_avg,title_len_min,title_len_max,valid_intent_pct,valid_angle_pct,info_ratio_pct,clickbait_count,kw_in_title_pct,intent_dist,angle_dist
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,10,50,50,0,100.0,5,5,100.0,28.9,23,38,100.0,100.0,58.0,0,100.0,"{""info"": 29, ""howto"": 12, ""compare"": 5, ""checklist"": 4}","{""tip"": 17, ""issue"": 14, ""howto"": 7, ""start"": 5, ""compare"": 4, ""review"": 3}"
finance,02,금융·재테크,True,scout,Groq Scout 17B,10,50,50,0,100.0,5,5,100.0,19.2,14,26,100.0,100.0,72.0,0,32.0,"{""info"": 36, ""howto"": 8, ""compare"": 6}","{""issue"": 17, ""tip"": 9, ""howto"": 9, ""review"": 7, ""compare"": 6, ""start"": 1, ""local"": 1}"
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,10,50,40,10,80.0,5,4,97.5,21.1,11,36,100.0,100.0,72.5,0,17.5,"{""info"": 29, ""howto"": 6, ""compare"": 5}","{""issue"": 24, ""tip"": 11, ""compare"": 3, ""start"": 2}"
finance,02,금융·재테크,True,gemini,Gemini Flash Lite,25,50,50,0,100.0,2,2,100.0,27.7,21,33,100.0,100.0,64.0,0,100.0,"{""info"": 32, ""howto"": 10, ""compare"": 5, ""checklist"": 3}","{""tip"": 16, ""issue"": 15, ""start"": 8, ""howto"": 6, ""compare"": 2, ""local"": 2, ""review"": 1}"
finance,02,금융·재테크,True,scout,Groq Scout 17B,25,50,50,0,100.0,2,2,100.0,17.4,12,22,100.0,100.0,68.0,0,20.0,"{""info"": 34, ""howto"": 13, ""compare"": 2, ""review"": 1}","{""issue"": 19, ""review"": 13, ""tip"": 8, ""howto"": 8, ""compare"": 2}"
finance,02,금융·재테크,True,8b,Groq Llama 3.1 8B,25,50,50,0,100.0,2,2,100.0,22.5,13,33,100.0,100.0,84.0,0,10.0,"{""info"": 42, ""compare"": 8}","{""issue"": 37, ""howto"": 8, ""tip"": 5}"
food,09,맛집·카페,False,gemini,Gemini Flash Lite,10,50,50,0,100.0,5,5,100.0,31.1,26,35,100.0,98.0,46.0,2,100.0,"{""info"": 23, ""howto"": 10, ""review"": 10, ""compare"": 5, ""checklist"": 2}","{""local"": 17, ""tip"": 13, ""review"": 8, ""start"": 4, ""compare"": 4, ""howto"": 3, ""checklist"": 1}"
food,09,맛집·카페,False,scout,Groq Scout 17B,10,50,50,0,100.0,5,5,100.0,19.4,13,30,96.0,96.0,48.0,0,38.0,"{""info"": 24, ""review"": 15, ""howto"": 8, ""recommend"": 2, ""news"": 1}","{""local"": 22, ""review"": 13, ""howto"": 6, ""tip"": 5, ""issue"": 2, ""recommend"": 2}"
food,09,맛집·카페,False,8b,Groq Llama 3.1 8B,10,50,40,10,80.0,5,4,100.0,25.0,16,32,100.0,100.0,40.0,0,22.5,"{""info"": 16, ""review"": 12, ""howto"": 10, ""compare"": 1, ""news"": 1}","{""tip"": 26, ""start"": 8, ""local"": 3, ""review"": 2, ""issue"": 1}"
food,09,맛집·카페,False,gemini,Gemini Flash Lite,25,50,50,0,100.0,2,2,100.0,29.3,21,37,100.0,100.0,62.0,0,100.0,"{""info"": 31, ""howto"": 6, ""compare"": 5, ""checklist"": 4, ""review"": 3, ""cost"": 1}","{""local"": 19, ""tip"": 17, ""start"": 6, ""review"": 4, ""compare"": 3, ""howto"": 1}"
food,09,맛집·카페,False,scout,Groq Scout 17B,25,50,50,0,100.0,2,2,100.0,22.1,17,28,100.0,94.0,44.0,0,20.0,"{""info"": 22, ""review"": 21, ""howto"": 7}","{""review"": 26, ""local"": 13, ""howto"": 5, ""tip"": 3, ""info"": 2, ""news"": 1}"
food,09,맛집·카페,False,8b,Groq Llama 3.1 8B,25,50,0,50,0.0,2,0,,,,,,,,,,{},{}
it,07,IT·테크,False,gemini,Gemini Flash Lite,10,50,50,0,100.0,5,5,100.0,30.7,24,41,100.0,100.0,34.0,2,98.0,"{""info"": 17, ""howto"": 16, ""compare"": 8, ""checklist"": 6, ""review"": 2, ""news"": 1}","{""tip"": 15, ""howto"": 10, ""issue"": 10, ""compare"": 7, ""start"": 6, ""review"": 2}"
it,07,IT·테크,False,scout,Groq Scout 17B,10,50,50,0,100.0,5,5,94.0,17.8,10,25,98.0,98.0,36.0,0,40.0,"{""info"": 18, ""howto"": 17, ""review"": 8, ""compare"": 3, ""cost"": 2, ""news"": 1, ""recommend"": 1}","{""howto"": 16, ""issue"": 12, ""review"": 9, ""tip"": 6, ""compare"": 3, ""start"": 3, ""news"": 1}"
