l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at,tier,quality_score,drop_reason
01-award-award-winning-analysis-method,01-award,01,award-winning-analysis-method,시상식 수상작 작품 분석 방법,시상식 수상작 작품 분석 방법 및 팁,howto,howto,시상식 수상작 작품 분석 방법 및 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,76,
01-award-28th-busang-film-awards,01-award,01,28th-busang-film-awards,제28회 부일영화상 수상작,제28회 부일영화상 수상작 및 수상자 분석,info,review,제28회 부일영화상 수상작 및 수상자 분석,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,edit,62,
01-award-50th-grand-bell-awards,01-award,01,50th-grand-bell-awards,제50회 대종상 영화제 수상자,제50회 대종상 영화제 수상자 및 수상 작품,info,review,제50회 대종상 영화제 수상자 및 수상 작품 정리,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,edit,62,
01-award-59th-baeksang-drama-awards,01-award,01,59th-baeksang-drama-awards,제59회 백상예술대상 드라마 부문,제59회 백상예술대상 드라마 부문 수상자,info,review,제59회 백상예술대상 드라마 부문 수상자 정리,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,edit,62,
01-award-award-interview-summary,01-award,01,award-interview-summary,시상식 수상자 인터뷰 요약,시상식 수상자 인터뷰 요약 및 핵심 메시지,info,review,시상식 수상자 인터뷰 요약 및 핵심 메시지,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,edit,62,
01-award-award-ranking-factors,01-award,01,award-ranking-factors,시상식 수상의 순위 결정 요인,시상식 수상의 순위 결정 요인 및 전략,info,start,시상식 수상의 순위 결정 요인과 전략,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,edit,62,
01-award-commercial-success-factors,01-award,01,commercial-success-factors,시상식 수상작의 상업적 성공 요인,시상식 수상작의 상업적 성공 요인 분석,info,start,시상식 수상작의 상업적 성공 요인 분석,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,edit,62,
01-award-grand-bell-awards-analysis,01-award,01,grand-bell-awards-analysis,대종상 수상 작품 분석,대종상 수상 작품 분석 및 영향력 평가,info,review,대종상 수상 작품 분석 및 영향력 평가,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,edit,62,
01-award-korean-music-awards-winners,01-award,01,korean-music-awards-winners,한국대중음악상 수상 목록,한국대중음악상 수상 목록 및 분석,info,review,한국대중음악상 수상 목록 및 분석,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,edit,62,
01-award-soundtrack-analysis,01-award,01,soundtrack-analysis,시상식 수상작의 사운드트랙 분석,시상식 수상작의 사운드트랙 분석 및 추천,info,review,시상식 수상작의 사운드트랙 분석 및 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,edit,62,
