l3_id,l2_id,l1_code,l3_slug,focus_keyword,title_ko,search_intent,topic_angle,description,model,generated_at,tier,quality_score,semantic_bucket,publish_action,body_exists,merge_target_slug
11-travel-essentials-travel-portable-charger,11-travel-essentials,11,travel-portable-charger,여행용 휴대용 채충기 추천,여행용 휴대용 충전기 추천과 사용법,compare,howto,여행 중 휴대폰과 기기 충전을 위한 제품 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,hold_other,hold,no,
11-travel-essentials-travel-towel-tips,11-travel-essentials,11,travel-towel-tips,여행용 휴대용 손수건 추천,여행용 휴대용 손수건 추천과 사용 팁,compare,tip,여행용 휴대용 손수건 추천과 실용적인 사용 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,hold_other,hold,no,
11-travel-essentials-travel-umbrella-recommend,11-travel-essentials,11,travel-umbrella-recommend,여행용 우산 추천,여행용 우산 추천과 선택 팁,compare,howto,비 오는 날 여행할 때 필요한 우산 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,hold_other,hold,no,
11-travel-essentials-travel-clothing,11-travel-essentials,11,travel-clothing,여행용 간편 의류 추천,여행용 간편 의류 추천과 팁,review,review,여행용 간편 의류 추천 제품과 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,86,hold_other,hold,no,
11-travel-essentials-travel-light-recommend,11-travel-essentials,11,travel-light-recommend,여행용 휴대용 빛 추천,여행용 휴대용 빛 추천과 사용 팁,review,tip,여행용 휴대용 빛 추천과 사용 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,86,hold_other,hold,no,
11-travel-essentials-travel-mirror-tips,11-travel-essentials,11,travel-mirror-tips,여행용 휴대용 거울 추천,여행용 휴대용 거울 추천과 사용 팁,review,tip,여행용 휴대용 거울 추천과 사용 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,86,hold_other,hold,no,
11-travel-essentials-travel-storage-bags,11-travel-essentials,11,travel-storage-bags,여행용 수납백 추천,여행용 수납백 추천과 활용 팁,review,review,여행용 수납백 추천 제품과 활용 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,86,hold_other,hold,no,
11-travel-essentials-travel-portable-table-guide,11-travel-essentials,11,travel-portable-table-guide,여행용 휴대용 테이블 사용법,여행용 휴대용 테이블 사용법과 추천 제품,howto,tip,여행용 휴대용 테이블 사용 팁과 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,84,hold_other,hold,no,
11-travel-essentials-travel-storage-box-tips,11-travel-essentials,11,travel-storage-box-tips,여행용 휴대용 수납박스 사용법,여행용 휴대용 수납박스 효율적인 사용법,howto,tip,여행용 휴대용 수납박스 활용 팁과 사용법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,84,hold_other,hold,no,
11-travel-essentials-travel-mini-fridge-recommend,11-travel-essentials,11,travel-mini-fridge-recommend,여행용 휴대용 미니 냉장고 추천,여행용 휴대용 미니 냉장고 비교와 추천,compare,howto,여행용 휴대용 미니 냉장고 모델 비교와 최적 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,hold_other,hold,no,
11-travel-essentials-travel-simple-accessories,11-travel-essentials,11,travel-simple-accessories,여행용 간편 액세서리 추천,여행용 간편 액세서리 추천과 활용법,compare,howto,여행 중 간편하게 사용할 수 있는 액세서리 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,hold_other,hold,no,
11-travel-essentials-travel-simple-portable-chair,11-travel-essentials,11,travel-simple-portable-chair,여행용 간편 휴대용 의자 추천,여행용 간편 휴대용 의자 추천과 사용법,compare,howto,여행 중 간편하게 사용할 수 있는 휴대용 의자 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,hold_other,hold,no,
11-travel-essentials-travel-simple-portable-light,11-travel-essentials,11,travel-simple-portable-light,여행용 간편 휴대용 빛 추천,여행용 간편 휴대용 빛 추천과 활용법,compare,howto,여행 중 간편하게 사용할 수 있는 휴대용 빛 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,hold_other,hold,no,
11-travel-essentials-travel-simple-portable-mirror,11-travel-essentials,11,travel-simple-portable-mirror,여행용 간편 휴대용 거울 추천,여행용 간편 휴대용 거울 추천과 사용법,compare,howto,여행 중 간편하게 사용할 수 있는 휴대용 거울 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,hold_other,hold,no,
11-travel-essentials-travel-simple-portable-table,11-travel-essentials,11,travel-simple-portable-table,여행용 간편 휴대용 테이블 추천,여행용 간편 휴대용 테이블 추천과 활용법,compare,howto,여행 중 간편하게 사용할 수 있는 휴대용 테이블 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,hold_other,hold,no,
11-travel-essentials-travel-simple-shoes,11-travel-essentials,11,travel-simple-shoes,여행용 간편 신발 추천,여행용 간편 신발 추천과 선택법,compare,howto,여행 중 편안하게 착용할 수 있는 신발 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,hold_other,hold,no,
11-travel-essentials-travel-bedding-pack,11-travel-essentials,11,travel-bedding-pack,여행용 침대용품 팩,여행용 침대용품 팩 추천과 활용법,review,review,여행용 침대용품 팩 추천 제품과 활용법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,78,hold_other,hold,no,
11-travel-essentials-portable-chairs-travel,11-travel-essentials,11,portable-chairs-travel,여행용 휴대용 의자 추천,여행용 휴대용 의자 추천과 활용법,review,review,여행용 휴대용 의자 추천 제품과 활용법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,74,hold_other,hold,no,
11-travel-essentials-travel-accessories,11-travel-essentials,11,travel-accessories,여행용 액세서리 추천,여행용 액세서리 추천과 활용법,review,review,여행용 액세서리 추천 제품과 활용법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,74,hold_other,hold,no,
11-travel-essentials-travel-shoes,11-travel-essentials,11,travel-shoes,여행용 신발 추천,여행용 신발 추천과 선택법,review,review,여행용 신발 추천 제품과 선택법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,74,hold_other,hold,no,
11-travel-essentials-long-trip-essentials,11-travel-essentials,11,long-trip-essentials,장기 여행 준비물,장기 여행 준비물 체크리스트와 팁,checklist,start,장기 여행에 필요한 준비물과 추천 아이템,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,merge_duration,merge,yes,
11-travel-essentials-overseas-travel-essentials,11-travel-essentials,11,overseas-travel-essentials,해외 여행 필수품,해외 여행 필수품 체크리스트와 팁,checklist,start,해외 여행 시 준비해야 할 필수품 목록과 유용한 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,merge_overseas_prep,merge,yes,
11-travel-essentials-short-trip-essentials,11-travel-essentials,11,short-trip-essentials,단기 여행 준비물,단기 여행 준비물 체크리스트와 필수템,checklist,start,단기 여행에 필요한 준비물과 추천 아이템,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,merge_duration,merge,yes,
11-travel-essentials-summer-travel-essentials,11-travel-essentials,11,summer-travel-essentials,여름 여행 준비물,여름 여행 준비물 체크리스트와 필수 아이템,checklist,start,여름 여행에 필요한 준비물과 추천 아이템,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,merge_season,merge,yes,
11-travel-essentials-winter-travel-essentials,11-travel-essentials,11,winter-travel-essentials,겨울 여행 준비물,겨울 여행 준비물 체크리스트와 팁,checklist,start,겨울 여행에 필요한 준비물과 추천 아이템,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,96,merge_season,merge,yes,
11-travel-essentials-travel-makeup-packing,11-travel-essentials,11,travel-makeup-packing,여행용 화장품 포장 팁,여행용 화장품 포장 팁과 추천 용품,howto,tip,여행용 화장품 포장 팁과 추천 용품,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,merge_toiletries,merge,no,
11-travel-essentials-travel-power-right-recommend,11-travel-essentials,11,travel-power-right-recommend,여행용 휴대용 전원 우측 추천,여행용 휴대용 전원 우측 추천과 팩킹 팁,compare,tip,여행용 휴대용 전원 우측 추천과 팩킹 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,merge_electronics,merge,no,travel-cable-recommend
11-travel-essentials-travel-simple-portable-charger,11-travel-essentials,11,travel-simple-portable-charger,여행용 간편 휴대용 충전기 추천,여행용 간편 휴대용 충전기 추천과 사용법,compare,howto,여행 중 간편하게 사용할 수 있는 휴대용 충전기 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,merge_electronics,merge,no,travel-cable-recommend
11-travel-essentials-travel-simple-toiletries,11-travel-essentials,11,travel-simple-toiletries,여행용 간편 세면도구 추천,여행용 간편 세면도구 추천과 수납 팁,compare,howto,여행 중 간편하게 사용할 수 있는 세면도구 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,92,merge_toiletries,merge,no,
11-travel-essentials-travel-charger-compare,11-travel-essentials,11,travel-charger-compare,여행용 휴대용 충전기 비교,여행용 휴대용 충전기 비교와 추천 모델,compare,compare,여행용 휴대용 충전기 비교와 추천 모델 선택,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,90,merge_electronics,merge,no,travel-cable-recommend
11-travel-essentials-travel-sized-makeup,11-travel-essentials,11,travel-sized-makeup,여행용 소형 화장품 추천,여행용 소형 화장품 추천과 팁,review,review,여행용 소형 화장품 추천 제품과 팁,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,86,merge_toiletries,merge,no,
11-travel-essentials-travel-snacks,11-travel-essentials,11,travel-snacks,여행용 간편 식품 추천,여행용 간편 식품 추천과 보관법,review,review,여행용 간편 식품 추천 제품과 보관법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,86,merge_food,merge,no,travel-food-packing-tips
11-travel-essentials-travel-easy-cosmetic-pack,11-travel-essentials,11,travel-easy-cosmetic-pack,여행용 간편 화장품 팩 추천,여행용 간편 화장품 팩 추천 5가지 목록,checklist,howto,여행용 간편 화장품 팩 추천 리스트,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,merge_toiletries,merge,no,
11-travel-essentials-travel-power-left-recommend,11-travel-essentials,11,travel-power-left-recommend,여행용 휴대용 전원 좌측 추천,여행용 휴대용 전원 좌측 추천과 사용법,compare,howto,여행용 휴대용 전원 좌측 추천과 사용법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,merge_electronics,merge,no,travel-cable-recommend
11-travel-essentials-travel-power-recommend,11-travel-essentials,11,travel-power-recommend,여행용 휴대용 전원공급기 추천,여행용 휴대용 전원공급기 추천과 사용법,compare,howto,여행용 휴대용 전원공급기 추천과 사용법,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,merge_electronics,merge,no,travel-cable-recommend
11-travel-essentials-travel-simple-cosmetics,11-travel-essentials,11,travel-simple-cosmetics,여행용 간편 화장품 추천,여행용 간편 화장품 추천 10가지,compare,howto,여행 중 간편하게 사용할 수 있는 화장품 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,merge_toiletries,merge,no,
11-travel-essentials-travel-simple-portable-cable,11-travel-essentials,11,travel-simple-portable-cable,여행용 간편 휴대용 전선 추천,여행용 간편 휴대용 전선 추천과 활용법,compare,howto,여행 중 간편하게 사용할 수 있는 휴대용 전선 추천,mistralai/mistral-nemotron,2026-06-02T02:14:18.684529+00:00,publish,80,merge_electronics,merge,no,travel-cable-recommend
