l2_id,l1_code,name_ko,description
02-insurance-info,02,보험 정보,"실손·보장성 보험의 청구, 약관, 비교, 제도 등 보험 일반 정보. 자동차보험(06)·펫보험(13)은 제외."
02-pension-system,02,연금 제도,"국민·퇴직·기초·주택연금 등 연금 제도와 실무 절차. 연금저축 등 금융상품은 02-연금저축, 노후 설계는 02-재무 설계 담당."
03-back-joint-health,03,허리·관절 건강,허리·무릎·어깨·손목 등 부위별 관절 관리 생활 정보. 자세 습관은 03-바른 자세 교정 담당.
03-eye-health,03,눈 건강,"눈 피로, 건조, 시력 관리, 보호 습관 등 눈 건강 생활 정보."
03-health-checkup,03,건강검진 가이드,"국가·직장 건강검진의 대상, 준비, 결과 해석, 비용 등 검진 실무 정보."
03-immunity-care,03,면역력 관리,면역과 생활 요소(수면·스트레스·운동)의 관계 정보. 감염병 예방 수칙은 03-질병 예방 담당.
03-mens-health,03,남성 건강,"남성 갱년기, 전립선, 탈모 등 남성 특화 건강 생활 정보."
03-oral-health,03,구강 건강,"양치, 치실, 스케일링, 치과 검진 등 구강 관리 생활 정보."
03-posture-care,03,바른 자세 교정,"거북목, 라운드숄더, 앉는 자세 등 자세 습관 교정 정보. 부위 통증 관리는 03-허리·관절 담당."
03-quit-smoking-drinking,03,금연·금주,"금연·절주 도전과 지원 제도, 습관 전환 정보."
03-senior-health,03,시니어 건강,"어르신 낙상 예방, 복약 관리, 검진, 돌봄 등 시니어 건강 생활 정보."
03-womens-health,03,여성 건강,"생리 주기, 갱년기, 여성 검진 등 여성 특화 건강 생활 정보."
04-athleisure,04,애슬레저,"운동복의 일상화 — 레깅스·요가복 코디, 브랜드, 소재 정보. 운동 자체는 03, 일반 코디는 04-스타일링 담당."
04-golf-wear,04,골프웨어,"골프장 복장 — 드레스코드, 계절별 라운딩 복장, 골프화·모자·장갑. 레슨·클럽 등 장비는 05-골프 레슨·장비 담당."
04-guest-look,04,하객룩,결혼식·돌잔치·장례식·상견례 등 경조사 복장과 매너. 임산부 복장은 04-임부복 담당.
04-jewelry-watch,04,주얼리·시계,"귀금속·시계 — 소재, 관리, 선물, 예물. 모자·가방·스카프 등 잡화는 04-액세서리 담당."
04-luxury-resell,04,명품·리셀,"명품 구매·감정·관리와 리셀 시장. 가방 일반은 04-가방, 브랜드 일반은 04-브랜드 리뷰 담당."
04-maternity-wear,04,임부복,"임신 기간 의류 — 시기별 전환, 필수템, 속옷·신발. 육아 생활은 16 담당."
05-badminton,05,배드민턴,"생활체육 배드민턴 — 장비, 규칙, 동호회, 연습법."
05-golf-lesson-gear,05,골프 레슨·장비,"골프 입문 레슨과 클럽·용품. 복장은 04-골프웨어, 대회는 05-골프 대회 담당."
05-running-start,05,러닝 입문,"일상 러닝 입문 — 시작법, 러닝화, 코스, 크루. 대회·풀코스는 05-마라톤 담당."
05-swimming,05,수영,수영장 강습·영법·용품·에티켓. 바다 수상레저는 14 담당.
