l1_code,l1_slug,name_ko,theme,description,sort_order
01,entertainment,이슈/연예,연예·방송·OTT 이슈,드라마·예능·K-POP·연예인 화제와 OTT 콘텐츠 이슈를 다루는 분류,1
02,economy,경제,경제·재테크·시장,주식·부동산·금리·물가·정책 등 경제 정보와 실용 재테크,2
03,health,건강/다이어트,건강·운동·체중관리,운동·식단·질병·영양·다이어트·수면 등 건강 정보,3
04,fashion,패션,코디·트렌드·쇼핑,시즌 코디·브랜드·스타일·패션 쇼핑과 트렌드,4
05,sports,스포츠이슈,국내외 스포츠 화제,축구·야구·해외스포츠·선수·경기 이슈와 분석,5
06,cars,자동차,자동차·운전·정비,신차·중고·EV·정비·보험·비교 등 자동차 정보,6
07,tech,IT/테크,디지털·가젯·AI,스마트폰·AI·앱·PC·가젯 리뷰와 IT 트렌드,7
08,beauty,뷰티,스킨·메이크업·헤어,스킨케어·메이크업·헤어·시술·뷰티 제품 정보,8
09,cafe,맛집/카페,지역 맛집·카페,지역별 맛집·카페·분위기·데이트·후기,9
10,food,푸드,요리·레시피·식재료,레시피·요리·식재료·간편식·푸드 트렌드,10
11,travel,여행,국내·해외 여행,국내·해외 여행·숙소·일정·준비물·꿀팁,11
12,knowledge,지식/교양,교양·상식·문화,역사·과학·문화·상식·독서 등 교양 정보,12
13,pet,펫,반려동물·펫케어,강아지·고양이·사료·훈련·병원·펫 용품,13
14,outdoor,아웃도어,캠핑·등산·아웃도어,캠핑·등산·낚시·차박·아웃도어 장비,14
15,living,생활·리빙,인테리어·정리·청소·자취,인테리어·정리수납·청소·이사·자취·식물 가드닝 등 생활 리빙 정보,15
16,parenting,육아·교육,임신출산·육아·학습,임신·출산·영유아 육아·초등 학습 등 육아와 교육 정보,16
17,career,직장·커리어,취업·이직·부업·재택,취업·이직·부업·재택·공무원 등 직장과 커리어 정보 (돈 관점은 02),17
18,game,게임,게임·e스포츠,PC·모바일·콘솔 게임 공략·리뷰·e스포츠 정보,18
